"Municipal","Fiscal_Year","Residential","Open_Space","Commercial","Industrial","Personal_Property","Total_Levy","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Levy","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property"
"Agawam",2014,31856275,0,6982326,6015547,6884755,51738903,32984464,0,7229605,6228587,7128578,53571235,61.57,0,13.5,11.63,13.31
"Agawam",2015,32368273,0,7078707,6089191,8228598,53764769,33474861,0,7320710,6297365,8509913,55602848,60.2,0,13.17,11.33,15.3
"Agawam",2016,33761538,0,7656694,5631696,8325903,55375831,39406440,0,8936887,6573311,9717987,64634625,60.97,0,13.83,10.17,15.04
"Agawam",2017,34831314,0,7957334,5937890,8754015,57480553,34831314,0,7957334,5937890,8754015,57480553,60.6,0,13.84,10.33,15.23
"Alford",2003,787670,0,10960,140,15272,814042,1049313,0,14601,187,20345,1084446,96.76,0,1.35,0.02,1.88
"Alford",2004,817595,0,9660,140,19996,847391,1060926,0,12535,182,25947,1099590,96.48,0,1.14,0.02,2.36
"Alford",2005,868642,0,9432,0,16564,894638,1090228,0,11838,0,20789,1122855,97.09,0,1.05,0,1.85
"Alford",2006,900134,0,9342,136,17126,926738,1094449,0,11359,165,20823,1126796,97.13,0,1.01,0.01,1.85
"Alford",2007,941894,0,9144,137,20540,971715,1113508,0,10810,162,24282,1148763,96.93,0,0.94,0.01,2.11
"Alford",2008,988956,0,9814,113,14704,1013587,1125915,0,11173,129,16740,1153957,97.57,0,0.97,0.01,1.45
"Alford",2009,1036495,0,8861,117,17525,1062998,1184251,0,10124,134,20023,1214532,97.51,0,0.83,0.01,1.65
"Alford",2010,1093136,0,9233,124,18486,1120979,1228810,0,10379,139,20780,1260109,97.52,0,0.82,0.01,1.65
"Alford",2011,1066414,0,8840,118,16154,1091526,1162090,0,9633,129,17603,1189455,97.7,0,0.81,0.01,1.48
"Alford",2012,1105551,0,7031,121,16660,1129363,1180312,0,7506,129,17787,1205735,97.89,0,0.62,0.01,1.48
"Alford",2013,1116095,0,6967,131,16826,1140019,1174368,0,7331,138,17705,1199541,97.9,0,0.61,0.01,1.48
"Alford",2014,1131870,0,7048,129,17831,1156878,1171955,0,7298,134,18462,1197849,97.84,0,0.61,0.01,1.54
"Alford",2015,1140102,0,7334,129,17908,1165473,1179079,0,7585,133,18520,1205318,97.82,0,0.63,0.01,1.54
"Alford",2016,1229941,0,7774,138,19919,1257772,1435586,0,9074,161,23249,1468070,97.79,0,0.62,0.01,1.58
"Alford",2017,1373164,0,8657,153,23979,1405953,1373164,0,8657,153,23979,1405953,97.67,0,0.62,0.01,1.71
"Amesbury",2003,19756264,0,1949704,1435018,603745,23744731,26318780,0,2597345,1911694,804293,31632111,83.2,0,8.21,6.04,2.54
"Amesbury",2004,21416434,0,1974932,1353037,556162,25300565,27790346,0,2562707,1755725,721686,32830463,84.65,0,7.81,5.35,2.2
"Amesbury",2005,22398003,0,1820710,1231114,455740,25905567,28111615,0,2285164,1545165,571997,32513941,86.46,0,7.03,4.75,1.76
"Amesbury",2006,23970672,0,1830194,1244569,440695,27486130,29145293,0,2225283,1513238,535829,33419644,87.21,0,6.66,4.53,1.6
"Amesbury",2007,24279176,0,2070861,1529001,480759,28359797,28702876,0,2448175,1807587,568354,33526991,85.61,0,7.3,5.39,1.7
"Amesbury",2008,25738160,0,2571805,1747007,550012,30606984,29302600,0,2927971,1988947,626182,34845701,84.09,0,8.4,5.71,1.8
"Amesbury",2009,28053569,0,2411931,1603404,614549,32683453,32052703,0,2755760,1831975,702155,37342594,85.83,0,7.38,4.91,1.88
"Amesbury",2010,29007565,0,2557154,1690962,642237,33897918,32607836,0,2874535,1900836,721948,38105155,85.57,0,7.54,4.99,1.89
"Amesbury",2011,28673425,0,2549108,1802731,1143570,34168834,31245938,0,2777808,1964468,1246168,37234382,83.92,0,7.46,5.28,3.35
"Amesbury",2012,29524649,0,2619994,1804037,1286868,35235548,31521216,0,2797168,1926033,1373891,37618307,83.79,0,7.44,5.12,3.65
"Amesbury",2013,29928804,0,2806127,1926447,1263032,35924410,31491427,0,2952639,2027029,1328977,37800072,83.31,0,7.81,5.36,3.52
"Amesbury",2014,30712526,0,2898136,1994021,1281848,36886531,31800209,0,3000773,2064639,1327245,38192867,83.26,0,7.86,5.41,3.48
"Amesbury",2015,31804273,0,2858016,1970272,1244900,37877461,32891579,0,2955724,2037631,1287460,39172394,83.97,0,7.55,5.2,3.29
"Amesbury",2016,32678536,0,2894160,1980088,1327730,38880514,38142361,0,3378061,2311157,1549725,45381304,84.05,0,7.44,5.09,3.41
"Amesbury",2017,33435063,0,3020389,2012217,1314272,39781941,33435063,0,3020389,2012217,1314272,39781941,84.05,0,7.59,5.06,3.3
"Amherst",2003,21719548,0,2278072,79187,708209,24785016,28934215,0,3034788,105491,943458,33017952,87.63,0,9.19,0.32,2.86
"Amherst",2004,22750342,0,2287047,70117,747955,25855461,29521248,0,2967713,90985,970560,33550506,87.99,0,8.85,0.27,2.89
"Amherst",2005,25641716,0,2270532,74666,615689,28602603,32182783,0,2849733,93713,772748,35898976,89.65,0,7.94,0.26,2.15
"Amherst",2006,27597486,0,2225570,73806,639122,30535984,33555039,0,2706011,89739,777091,37127879,90.38,0,7.29,0.24,2.09
"Amherst",2007,28983904,0,2311801,75446,708900,32080051,34264812,0,2733014,89192,838063,37925081,90.35,0,7.21,0.24,2.21
"Amherst",2008,30228150,0,2287655,77082,802271,33395158,34414403,0,2604469,87757,913376,38020005,90.52,0,6.85,0.23,2.4
"Amherst",2009,31654521,0,2335621,72198,809087,34871427,36166984,0,2668572,82490,924425,39842471,90.77,0,6.7,0.21,2.32
"Amherst",2010,32517975,0,2615297,77355,848380,36059007,36553940,0,2939894,86956,953677,40534467,90.18,0,7.25,0.21,2.35
"Amherst",2011,34807241,0,2724022,78569,922478,38532310,37930065,0,2968415,85618,1005241,41989339,90.33,0,7.07,0.2,2.39
"Amherst",2012,36250802,0,2887813,89955,1115462,40344032,38702216,0,3083098,96038,1190894,43072245,89.85,0,7.16,0.22,2.76
"Amherst",2013,37517255,0,3030827,92917,1158726,41799725,39476082,0,3189071,97768,1219225,43982145,89.75,0,7.25,0.22,2.77
"Amherst",2014,38828700,0,3152389,95560,1177409,43254058,40203818,0,3264031,98944,1219107,44785899,89.77,0,7.29,0.22,2.72
"Amherst",2015,40397178,0,3209819,95909,1290528,44993434,41778253,0,3319554,99188,1334648,46531643,89.78,0,7.13,0.21,2.87
"Amherst",2016,41921414,0,3355912,99085,1317484,46693895,48930640,0,3917018,115652,1537766,54501076,89.78,0,7.19,0.21,2.82
"Amherst",2017,43513963,0,3414442,101933,1775355,48805693,43513963,0,3414442,101933,1775355,48805693,89.16,0,7,0.21,3.64
"Andover",2003,51960392,103870,10605091,11333086,1828662,75831101,69220279,138373,14127826,15097642,2436096,101020215,68.52,0.14,13.99,14.95,2.41
"Andover",2004,54450344,100436,10642004,12021397,1950159,79164340,70655735,130328,13809254,15599179,2530561,102725056,68.78,0.13,13.44,15.19,2.46
"Andover",2005,57782211,108250,10366015,11443486,1967848,81667810,72522148,135864,13010331,14362659,2469836,102500838,70.75,0.13,12.69,14.01,2.41
"Andover",2006,62759119,159337,9990212,11409435,1690901,86009004,76307119,193734,12146829,13872424,2055921,104576027,72.97,0.19,11.62,13.27,1.97
"Andover",2007,65881296,141575,10683126,11734646,1820640,90261283,77884960,167370,12629606,13872715,2152363,106707014,72.99,0.16,11.84,13,2.02
"Andover",2008,67849371,139540,11193954,12287402,2607452,94077719,77245732,158865,12744188,13989066,2968554,107106406,72.12,0.15,11.9,13.06,2.77
"Andover",2009,69977374,136135,11661921,12978067,3223256,97976753,79952894,155542,13324369,14828136,3682742,111943682,71.42,0.14,11.9,13.25,3.29
"Andover",2010,72056708,143330,12081704,13328125,3680249,101290116,81000020,161119,13581224,14982344,4137023,113861729,71.14,0.14,11.93,13.16,3.63
"Andover",2011,74257417,151001,12419187,13308940,4521755,104658300,80919618,164548,13533407,14502987,4927436,114047997,70.95,0.14,11.87,12.72,4.32
"Andover",2012,76984793,113354,12892759,13622414,5260836,108874156,82190791,121019,13764615,14543612,5616593,116236631,70.71,0.1,11.84,12.51,4.83
"Andover",2013,78962157,121766,13197696,13926800,5685094,111893513,83084878,128124,13886766,14653937,5981920,117735625,70.57,0.11,11.79,12.45,5.08
"Andover",2014,83108866,127661,13675812,14606885,5987208,117506432,86052165,132182,14160141,15124187,6199245,121667920,70.73,0.11,11.64,12.43,5.1
"Andover",2015,86725221,119137,14380182,14902209,6107014,122233763,89690133,123210,14871803,15411677,6315797,126412620,70.95,0.1,11.76,12.19,5
"Andover",2016,90553288,107544,14908468,15684344,6443227,127696871,105693724,125525,17401152,18306754,7520529,149047684,70.91,0.08,11.67,12.28,5.05
"Andover",2017,93877838,109976,15278890,15920855,7795802,132983361,93877838,109976,15278890,15920855,7795802,132983361,70.59,0.08,11.49,11.97,5.86
"Aquinnah",2003,1742316,0,7846,0,21347,1771509,2321068,0,10452,0,28438,2359958,98.35,0,0.44,0,1.21
"Aquinnah",2004,1870796,0,8346,0,24048,1903190,2427578,0,10830,0,31205,2469613,98.3,0,0.44,0,1.26
"Aquinnah",2005,1992618,0,8503,0,16146,2017267,2500924,0,10672,0,20265,2531861,98.78,0,0.42,0,0.8
"Aquinnah",2006,2045908,0,10432,0,17126,2073466,2487564,0,12684,0,20823,2521071,98.67,0,0.5,0,0.83
"Aquinnah",2007,2248038,0,11355,0,20327,2279720,2657634,0,13424,0,24031,2695088,98.61,0,0.5,0,0.89
"Aquinnah",2008,2336950,0,22774,0,21255,2380979,2660591,0,25928,0,24199,2710717,98.15,0,0.96,0,0.89
"Aquinnah",2009,2457670,0,24161,0,23460,2505291,2808019,0,27605,0,26804,2862429,98.1,0,0.96,0,0.94
"Aquinnah",2010,2638026,0,25799,0,26990,2690815,2965444,0,29001,0,30340,3024785,98.04,0,0.96,0,1
"Aquinnah",2011,2713155,0,26282,0,26618,2766055,2956573,0,28640,0,29006,3014219,98.09,0,0.95,0,0.96
"Aquinnah",2012,2757053,0,33647,0,29290,2819990,2943495,0,35922,0,31271,3010688,97.77,0,1.19,0,1.04
"Aquinnah",2013,3044306,0,44782,0,34294,3123382,3203253,0,47120,0,36085,3286458,97.47,0,1.43,0,1.1
"Aquinnah",2014,3344009,0,50074,0,40615,3434698,3462437,0,51847,0,42053,3556338,97.36,0,1.46,0,1.18
"Aquinnah",2015,3500339,0,51145,432,43430,3595346,3620007,0,52894,447,44915,3718262,97.36,0,1.42,0.01,1.21
"Aquinnah",2016,3642066,0,54405,430,43034,3739935,4251016,0,63501,502,50229,4365249,97.38,0,1.45,0.01,1.15
"Aquinnah",2017,3791089,0,56094,442,45108,3892733,3791089,0,56094,442,45108,3892733,97.39,0,1.44,0.01,1.16
"Arlington",2003,56962049,1037,3257885,230446,795428,61246845,75883356,1381,4340069,306994,1059648,81591449,93,0,5.32,0.38,1.3
"Arlington",2004,59880691,0,2883991,199945,775513,63740140,77702250,0,3742318,259452,1006319,82710339,93.95,0,4.52,0.31,1.22
"Arlington",2005,61820467,0,2954889,205582,739032,65719970,77590542,0,3708666,258025,927555,82484788,94.07,0,4.5,0.31,1.12
"Arlington",2006,69428973,0,3056013,229044,811771,73525801,84416815,0,3715724,278488,987010,89398037,94.43,0,4.16,0.31,1.1
"Arlington",2007,72656089,0,3171347,238535,712380,76778351,85894129,0,3749171,281996,842177,90767473,94.63,0,4.13,0.31,0.93
"Arlington",2008,74394576,0,3364378,248917,805505,78813376,84697373,0,3830306,283389,917058,89728126,94.39,0,4.27,0.32,1.02
"Arlington",2009,76075616,0,3633624,259705,977062,80946007,86920461,0,4151610,296727,1116346,92485144,93.98,0,4.49,0.32,1.21
"Arlington",2010,78508301,0,3560968,253944,1147823,83471036,88252351,0,4002937,285462,1290285,93831036,94.05,0,4.27,0.3,1.38
"Arlington",2011,80795883,0,3677868,260235,1224988,85958974,88044700,0,4007838,283583,1334891,93671012,93.99,0,4.28,0.3,1.43
"Arlington",2012,89256859,0,4060401,286447,1398787,95002494,95292740,0,4334980,305818,1493378,101426916,93.95,0,4.27,0.3,1.47
"Arlington",2013,91871472,0,4522048,219793,1396068,98009381,96668206,0,4758150,231269,1468959,103126583,93.74,0,4.61,0.22,1.42
"Arlington",2014,95492211,0,4568536,222700,1454062,101737509,98874065,0,4730331,230587,1505558,105340541,93.86,0,4.49,0.22,1.43
"Arlington",2015,99161685,0,4498718,218824,1405794,105285021,102551767,0,4652518,226305,1453854,108884444,94.18,0,4.27,0.21,1.34
"Arlington",2016,102433220,0,4849908,225134,1469639,108977901,119559971,0,5660809,262776,1715361,127198918,93.99,0,4.45,0.21,1.35
"Arlington",2017,105849778,0,4893201,252026,1444833,112439838,105849778,0,4893201,252026,1444833,112439838,94.14,0,4.35,0.22,1.28
"Ashburnham",2003,6226611,3363,138832,53803,45036,6467645,8294929,4480,184948,71675,59996,8616028,96.27,0.05,2.15,0.83,0.7
"Ashburnham",2004,6204785,2905,119078,46990,39611,6413369,8051439,3770,154518,60975,51400,8322102,96.75,0.05,1.86,0.73,0.62
"Ashburnham",2005,7352551,4090,140088,55783,36731,7589243,9228148,5133,175824,70013,46101,9525219,96.88,0.05,1.85,0.74,0.48
"Ashburnham",2006,7722949,4167,145219,63510,44308,7980153,9390125,5067,176568,77220,53873,9702853,96.78,0.05,1.82,0.8,0.56
"Ashburnham",2007,8306316,4258,164384,60299,47927,8583184,9819738,5034,194335,71286,56659,10147052,96.77,0.05,1.92,0.7,0.56
"Ashburnham",2008,8368218,4255,165592,57871,61794,8657730,9527120,4844,188525,65885,70352,9856726,96.66,0.05,1.91,0.67,0.71
"Ashburnham",2009,9208378,0,214045,71700,97181,9591304,10521065,0,244558,81921,111034,10958578,96.01,0,2.23,0.75,1.01
"Ashburnham",2010,9699773,0,234085,79905,120997,10134760,10903659,0,263138,89822,136015,11392635,95.71,0,2.31,0.79,1.19
"Ashburnham",2011,9924890,0,244296,86914,150122,10406222,10815328,0,266214,94712,163591,11339844,95.37,0,2.35,0.84,1.44
"Ashburnham",2012,10060587,0,251420,87520,160122,10559649,10740921,0,268422,93438,170950,11273732,95.27,0,2.38,0.83,1.52
"Ashburnham",2013,10283729,0,262332,86278,164595,10796934,10820656,0,276029,90783,173189,11360657,95.25,0,2.43,0.8,1.52
"Ashburnham",2014,10616311,0,257050,84500,155413,11113274,10992287,0,266153,87493,160917,11506850,95.53,0,2.31,0.76,1.4
"Ashburnham",2015,11945901,0,285275,91600,241485,12564261,12354301,0,295028,94732,249741,12993801,95.08,0,2.27,0.73,1.92
"Ashburnham",2016,12239142,0,302459,93987,237412,12873000,14285517,0,353030,109702,277107,15025355,95.08,0,2.35,0.73,1.84
"Ashburnham",2017,12526220,0,311372,98571,249278,13185441,12526220,0,311372,98571,249278,13185441,95,0,2.36,0.75,1.89
"Ashby",2003,2913873,0,96229,9200,43712,3063014,3881786,0,128194,12256,58232,4080467,95.13,0,3.14,0.3,1.43
"Ashby",2004,3258743,0,100139,11873,48517,3419272,4228603,0,129942,15407,62957,4436908,95.31,0,2.93,0.35,1.42
"Ashby",2005,3319796,0,96319,12657,46218,3474990,4166658,0,120889,15886,58008,4361442,95.53,0,2.77,0.36,1.33
"Ashby",2006,3458279,0,92706,12285,43561,3606831,4204828,0,112719,14937,52965,4385448,95.88,0,2.57,0.34,1.21
"Ashby",2007,3892437,0,142198,13702,46699,4095036,4601644,0,168107,16199,55208,4841157,95.05,0,3.47,0.33,1.14
"Ashby",2008,3837578,0,141788,12710,47884,4039960,4369039,0,161424,14470,54515,4599448,94.99,0,3.51,0.31,1.19
"Ashby",2009,3980782,0,143761,13400,69625,4207568,4548256,0,164255,15310,79550,4807372,94.61,0,3.42,0.32,1.65
"Ashby",2010,4133547,0,122014,13745,84499,4353805,4646582,0,137158,15451,94987,4894177,94.94,0,2.8,0.32,1.94
"Ashby",2011,4261242,0,105894,14188,123270,4504594,4643551,0,115395,15461,134329,4908736,94.6,0,2.35,0.31,2.74
"Ashby",2012,4362101,0,130525,11734,132662,4637022,4657082,0,139352,12527,141633,4950595,94.07,0,2.81,0.25,2.86
"Ashby",2013,4630375,0,151206,12259,148779,4942619,4872133,0,159101,12899,156547,5200680,93.68,0,3.06,0.25,3.01
"Ashby",2014,4750690,0,165335,12226,175148,5103399,4918936,0,171190,12659,181351,5284136,93.09,0,3.24,0.24,3.43
"Ashby",2015,4900580,0,166142,13014,182321,5262057,5068118,0,171822,13459,188554,5441953,93.13,0,3.16,0.25,3.46
"Ashby",2016,5046261,0,172069,13401,191473,5423204,5889992,0,200839,15642,223487,6329959,93.05,0,3.17,0.25,3.53
"Ashby",2017,5266097,0,183478,13887,195624,5659086,5266097,0,183478,13887,195624,5659086,93.06,0,3.24,0.25,3.46
"Ashfield",2003,2001185,0,109753,19306,62234,2192478,2665926,0,146210,25719,82907,2920762,91.28,0,5.01,0.88,2.84
"Ashfield",2004,2050855,0,102840,18195,65351,2237241,2661226,0,133447,23610,84801,2903084,91.67,0,4.6,0.81,2.92
"Ashfield",2005,2183560,0,109212,19133,60117,2372022,2740575,0,137071,24014,75453,2977112,92.05,0,4.6,0.81,2.53
"Ashfield",2006,2240137,0,104356,20865,52720,2418078,2723722,0,126884,25369,64101,2940076,92.64,0,4.32,0.86,2.18
"Ashfield",2007,2372512,0,105776,20662,66156,2565106,2804787,0,125049,24427,78210,3032472,92.49,0,4.12,0.81,2.58
"Ashfield",2008,2624615,0,108758,22794,64176,2820343,2988094,0,123820,25951,73064,3210928,93.06,0,3.86,0.81,2.28
