"Municipal","Fiscal_Year","Residential","Open_Space","Commercial","Industrial","Personal_Property","Total_Levy","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Levy","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property","Total_Levy_Pct_Change","Total_Levy_Million","Residential_Million","Open_Space_Million","Commercial_Million","Industrial_Million","Personal_Property_Million"
"Agawam",2009,27624866,0,6226323,6030292,2740846,42622327,31562887,0,7113907,6889931,3131563,48698289,64.81,0,14.61,14.15,6.43,10.1,48.7,31.56,0,7.11,6.89,3.13
"Agawam",2010,28786614,0,6435977,6236613,2802625,44261829,32359462,0,7234778,7010670,3150473,49755382,65.04,0,14.54,14.09,6.33,12.5,49.76,32.36,0,7.23,7.01,3.15
"Agawam",2011,29881875,0,6454974,6273258,2994978,45605085,32562807,0,7034099,6836080,3263680,49696666,65.52,0,14.15,13.76,6.57,12.4,49.7,32.56,0,7.03,6.84,3.26
"Agawam",2012,30887173,0,6688174,6243820,3314339,47133506,32975878,0,7140453,6666050,3538467,50320849,65.53,0,14.19,13.25,7.03,13.8,50.32,32.98,0,7.14,6.67,3.54
"Agawam",2013,32014931,0,6826799,5985464,5231141,50058335,33686474,0,7183235,6297973,5504266,52671948,63.96,0,13.64,11.96,10.45,19.1,52.67,33.69,0,7.18,6.3,5.5
"Agawam",2014,31856275,0,6982326,6015547,6884755,51738903,32984464,0,7229605,6228587,7128578,53571235,61.57,0,13.5,11.63,13.31,21.1,53.57,32.98,0,7.23,6.23,7.13
"Agawam",2015,32368273,0,7078707,6089191,8228598,53764769,33474861,0,7320710,6297365,8509913,55602848,60.2,0,13.17,11.33,15.3,25.7,55.6,33.47,0,7.32,6.3,8.51
"Agawam",2016,33761538,0,7656694,5631696,8325903,55375831,39406440,0,8936887,6573311,9717987,64634625,60.97,0,13.83,10.17,15.04,46.2,64.63,39.41,0,8.94,6.57,9.72
"Agawam",2017,34831314,0,7957334,5937890,8754015,57480553,34831314,0,7957334,5937890,8754015,57480553,60.6,0,13.84,10.33,15.23,30,57.48,34.83,0,7.96,5.94,8.75
"Alford",2003,787670,0,10960,140,15272,814042,1049313,0,14601,187,20345,1084446,96.76,0,1.35,0.02,1.88,0,1.08,1.05,0,0.01,0,0.02
"Alford",2004,817595,0,9660,140,19996,847391,1060926,0,12535,182,25947,1099590,96.48,0,1.14,0.02,2.36,1.4,1.1,1.06,0,0.01,0,0.03
"Alford",2005,868642,0,9432,0,16564,894638,1090228,0,11838,0,20789,1122855,97.09,0,1.05,0,1.85,3.5,1.12,1.09,0,0.01,0,0.02
"Alford",2006,900134,0,9342,136,17126,926738,1094449,0,11359,165,20823,1126796,97.13,0,1.01,0.01,1.85,3.9,1.13,1.09,0,0.01,0,0.02
"Alford",2007,941894,0,9144,137,20540,971715,1113508,0,10810,162,24282,1148763,96.93,0,0.94,0.01,2.11,5.9,1.15,1.11,0,0.01,0,0.02
"Alford",2008,988956,0,9814,113,14704,1013587,1125915,0,11173,129,16740,1153957,97.57,0,0.97,0.01,1.45,6.4,1.15,1.13,0,0.01,0,0.02
"Alford",2009,1036495,0,8861,117,17525,1062998,1184251,0,10124,134,20023,1214532,97.51,0,0.83,0.01,1.65,12,1.21,1.18,0,0.01,0,0.02
"Alford",2010,1093136,0,9233,124,18486,1120979,1228810,0,10379,139,20780,1260109,97.52,0,0.82,0.01,1.65,16.2,1.26,1.23,0,0.01,0,0.02
"Alford",2011,1066414,0,8840,118,16154,1091526,1162090,0,9633,129,17603,1189455,97.7,0,0.81,0.01,1.48,9.7,1.19,1.16,0,0.01,0,0.02
"Alford",2012,1105551,0,7031,121,16660,1129363,1180312,0,7506,129,17787,1205735,97.89,0,0.62,0.01,1.48,11.2,1.21,1.18,0,0.01,0,0.02
"Alford",2013,1116095,0,6967,131,16826,1140019,1174368,0,7331,138,17705,1199541,97.9,0,0.61,0.01,1.48,10.6,1.2,1.17,0,0.01,0,0.02
"Alford",2014,1131870,0,7048,129,17831,1156878,1171955,0,7298,134,18462,1197849,97.84,0,0.61,0.01,1.54,10.5,1.2,1.17,0,0.01,0,0.02
"Alford",2015,1140102,0,7334,129,17908,1165473,1179079,0,7585,133,18520,1205318,97.82,0,0.63,0.01,1.54,11.1,1.21,1.18,0,0.01,0,0.02
"Alford",2016,1229941,0,7774,138,19919,1257772,1435586,0,9074,161,23249,1468070,97.79,0,0.62,0.01,1.58,35.4,1.47,1.44,0,0.01,0,0.02
"Alford",2017,1373164,0,8657,153,23979,1405953,1373164,0,8657,153,23979,1405953,97.67,0,0.62,0.01,1.71,29.6,1.41,1.37,0,0.01,0,0.02
"Amesbury",2003,19756264,0,1949704,1435018,603745,23744731,26318780,0,2597345,1911694,804293,31632111,83.2,0,8.21,6.04,2.54,0,31.63,26.32,0,2.6,1.91,0.8
"Amesbury",2004,21416434,0,1974932,1353037,556162,25300565,27790346,0,2562707,1755725,721686,32830463,84.65,0,7.81,5.35,2.2,3.8,32.83,27.79,0,2.56,1.76,0.72
"Amesbury",2005,22398003,0,1820710,1231114,455740,25905567,28111615,0,2285164,1545165,571997,32513941,86.46,0,7.03,4.75,1.76,2.8,32.51,28.11,0,2.29,1.55,0.57
"Amesbury",2006,23970672,0,1830194,1244569,440695,27486130,29145293,0,2225283,1513238,535829,33419644,87.21,0,6.66,4.53,1.6,5.7,33.42,29.15,0,2.23,1.51,0.54
"Amesbury",2007,24279176,0,2070861,1529001,480759,28359797,28702876,0,2448175,1807587,568354,33526991,85.61,0,7.3,5.39,1.7,6,33.53,28.7,0,2.45,1.81,0.57
"Amesbury",2008,25738160,0,2571805,1747007,550012,30606984,29302600,0,2927971,1988947,626182,34845701,84.09,0,8.4,5.71,1.8,10.2,34.85,29.3,0,2.93,1.99,0.63
"Amesbury",2009,28053569,0,2411931,1603404,614549,32683453,32052703,0,2755760,1831975,702155,37342594,85.83,0,7.38,4.91,1.88,18.1,37.34,32.05,0,2.76,1.83,0.7
"Amesbury",2010,29007565,0,2557154,1690962,642237,33897918,32607836,0,2874535,1900836,721948,38105155,85.57,0,7.54,4.99,1.89,20.5,38.11,32.61,0,2.87,1.9,0.72
"Amesbury",2011,28673425,0,2549108,1802731,1143570,34168834,31245938,0,2777808,1964468,1246168,37234382,83.92,0,7.46,5.28,3.35,17.7,37.23,31.25,0,2.78,1.96,1.25
"Amesbury",2012,29524649,0,2619994,1804037,1286868,35235548,31521216,0,2797168,1926033,1373891,37618307,83.79,0,7.44,5.12,3.65,18.9,37.62,31.52,0,2.8,1.93,1.37
"Amesbury",2013,29928804,0,2806127,1926447,1263032,35924410,31491427,0,2952639,2027029,1328977,37800072,83.31,0,7.81,5.36,3.52,19.5,37.8,31.49,0,2.95,2.03,1.33
"Amesbury",2014,30712526,0,2898136,1994021,1281848,36886531,31800209,0,3000773,2064639,1327245,38192867,83.26,0,7.86,5.41,3.48,20.7,38.19,31.8,0,3,2.06,1.33
"Amesbury",2015,31804273,0,2858016,1970272,1244900,37877461,32891579,0,2955724,2037631,1287460,39172394,83.97,0,7.55,5.2,3.29,23.8,39.17,32.89,0,2.96,2.04,1.29
"Amesbury",2016,32678536,0,2894160,1980088,1327730,38880514,38142361,0,3378061,2311157,1549725,45381304,84.05,0,7.44,5.09,3.41,43.5,45.38,38.14,0,3.38,2.31,1.55
"Amesbury",2017,33435063,0,3020389,2012217,1314272,39781941,33435063,0,3020389,2012217,1314272,39781941,84.05,0,7.59,5.06,3.3,25.8,39.78,33.44,0,3.02,2.01,1.31
"Amherst",2003,21719548,0,2278072,79187,708209,24785016,28934215,0,3034788,105491,943458,33017952,87.63,0,9.19,0.32,2.86,0,33.02,28.93,0,3.03,0.11,0.94
"Amherst",2004,22750342,0,2287047,70117,747955,25855461,29521248,0,2967713,90985,970560,33550506,87.99,0,8.85,0.27,2.89,1.6,33.55,29.52,0,2.97,0.09,0.97
"Amherst",2005,25641716,0,2270532,74666,615689,28602603,32182783,0,2849733,93713,772748,35898976,89.65,0,7.94,0.26,2.15,8.7,35.9,32.18,0,2.85,0.09,0.77
"Amherst",2006,27597486,0,2225570,73806,639122,30535984,33555039,0,2706011,89739,777091,37127879,90.38,0,7.29,0.24,2.09,12.4,37.13,33.56,0,2.71,0.09,0.78
"Amherst",2007,28983904,0,2311801,75446,708900,32080051,34264812,0,2733014,89192,838063,37925081,90.35,0,7.21,0.24,2.21,14.9,37.93,34.26,0,2.73,0.09,0.84
"Amherst",2008,30228150,0,2287655,77082,802271,33395158,34414403,0,2604469,87757,913376,38020005,90.52,0,6.85,0.23,2.4,15.1,38.02,34.41,0,2.6,0.09,0.91
"Amherst",2009,31654521,0,2335621,72198,809087,34871427,36166984,0,2668572,82490,924425,39842471,90.77,0,6.7,0.21,2.32,20.7,39.84,36.17,0,2.67,0.08,0.92
"Amherst",2010,32517975,0,2615297,77355,848380,36059007,36553940,0,2939894,86956,953677,40534467,90.18,0,7.25,0.21,2.35,22.8,40.53,36.55,0,2.94,0.09,0.95
"Amherst",2011,34807241,0,2724022,78569,922478,38532310,37930065,0,2968415,85618,1005241,41989339,90.33,0,7.07,0.2,2.39,27.2,41.99,37.93,0,2.97,0.09,1.01
"Amherst",2012,36250802,0,2887813,89955,1115462,40344032,38702216,0,3083098,96038,1190894,43072245,89.85,0,7.16,0.22,2.76,30.5,43.07,38.7,0,3.08,0.1,1.19
"Amherst",2013,37517255,0,3030827,92917,1158726,41799725,39476082,0,3189071,97768,1219225,43982145,89.75,0,7.25,0.22,2.77,33.2,43.98,39.48,0,3.19,0.1,1.22
"Amherst",2014,38828700,0,3152389,95560,1177409,43254058,40203818,0,3264031,98944,1219107,44785899,89.77,0,7.29,0.22,2.72,35.6,44.79,40.2,0,3.26,0.1,1.22
"Amherst",2015,40397178,0,3209819,95909,1290528,44993434,41778253,0,3319554,99188,1334648,46531643,89.78,0,7.13,0.21,2.87,40.9,46.53,41.78,0,3.32,0.1,1.33
"Amherst",2016,41921414,0,3355912,99085,1317484,46693895,48930640,0,3917018,115652,1537766,54501076,89.78,0,7.19,0.21,2.82,65.1,54.5,48.93,0,3.92,0.12,1.54
"Amherst",2017,43513963,0,3414442,101933,1775355,48805693,43513963,0,3414442,101933,1775355,48805693,89.16,0,7,0.21,3.64,47.8,48.81,43.51,0,3.41,0.1,1.78
"Andover",2003,51960392,103870,10605091,11333086,1828662,75831101,69220279,138373,14127826,15097642,2436096,101020215,68.52,0.14,13.99,14.95,2.41,0,101.02,69.22,0.14,14.13,15.1,2.44
"Andover",2004,54450344,100436,10642004,12021397,1950159,79164340,70655735,130328,13809254,15599179,2530561,102725056,68.78,0.13,13.44,15.19,2.46,1.7,102.73,70.66,0.13,13.81,15.6,2.53
"Andover",2005,57782211,108250,10366015,11443486,1967848,81667810,72522148,135864,13010331,14362659,2469836,102500838,70.75,0.13,12.69,14.01,2.41,1.5,102.5,72.52,0.14,13.01,14.36,2.47
"Andover",2006,62759119,159337,9990212,11409435,1690901,86009004,76307119,193734,12146829,13872424,2055921,104576027,72.97,0.19,11.62,13.27,1.97,3.5,104.58,76.31,0.19,12.15,13.87,2.06
"Andover",2007,65881296,141575,10683126,11734646,1820640,90261283,77884960,167370,12629606,13872715,2152363,106707014,72.99,0.16,11.84,13,2.02,5.6,106.71,77.88,0.17,12.63,13.87,2.15
"Andover",2008,67849371,139540,11193954,12287402,2607452,94077719,77245732,158865,12744188,13989066,2968554,107106406,72.12,0.15,11.9,13.06,2.77,6,107.11,77.25,0.16,12.74,13.99,2.97
"Andover",2009,69977374,136135,11661921,12978067,3223256,97976753,79952894,155542,13324369,14828136,3682742,111943682,71.42,0.14,11.9,13.25,3.29,10.8,111.94,79.95,0.16,13.32,14.83,3.68
"Andover",2010,72056708,143330,12081704,13328125,3680249,101290116,81000020,161119,13581224,14982344,4137023,113861729,71.14,0.14,11.93,13.16,3.63,12.7,113.86,81,0.16,13.58,14.98,4.14
"Andover",2011,74257417,151001,12419187,13308940,4521755,104658300,80919618,164548,13533407,14502987,4927436,114047997,70.95,0.14,11.87,12.72,4.32,12.9,114.05,80.92,0.16,13.53,14.5,4.93
"Andover",2012,76984793,113354,12892759,13622414,5260836,108874156,82190791,121019,13764615,14543612,5616593,116236631,70.71,0.1,11.84,12.51,4.83,15.1,116.24,82.19,0.12,13.76,14.54,5.62
"Andover",2013,78962157,121766,13197696,13926800,5685094,111893513,83084878,128124,13886766,14653937,5981920,117735625,70.57,0.11,11.79,12.45,5.08,16.5,117.74,83.08,0.13,13.89,14.65,5.98
"Andover",2014,83108866,127661,13675812,14606885,5987208,117506432,86052165,132182,14160141,15124187,6199245,121667920,70.73,0.11,11.64,12.43,5.1,20.4,121.67,86.05,0.13,14.16,15.12,6.2
"Andover",2015,86725221,119137,14380182,14902209,6107014,122233763,89690133,123210,14871803,15411677,6315797,126412620,70.95,0.1,11.76,12.19,5,25.1,126.41,89.69,0.12,14.87,15.41,6.32
"Andover",2016,90553288,107544,14908468,15684344,6443227,127696871,105693724,125525,17401152,18306754,7520529,149047684,70.91,0.08,11.67,12.28,5.05,47.5,149.05,105.69,0.13,17.4,18.31,7.52
"Andover",2017,93877838,109976,15278890,15920855,7795802,132983361,93877838,109976,15278890,15920855,7795802,132983361,70.59,0.08,11.49,11.97,5.86,31.6,132.98,93.88,0.11,15.28,15.92,7.8
"Aquinnah",2003,1742316,0,7846,0,21347,1771509,2321068,0,10452,0,28438,2359958,98.35,0,0.44,0,1.21,0,2.36,2.32,0,0.01,0,0.03
"Aquinnah",2004,1870796,0,8346,0,24048,1903190,2427578,0,10830,0,31205,2469613,98.3,0,0.44,0,1.26,4.6,2.47,2.43,0,0.01,0,0.03
"Aquinnah",2005,1992618,0,8503,0,16146,2017267,2500924,0,10672,0,20265,2531861,98.78,0,0.42,0,0.8,7.3,2.53,2.5,0,0.01,0,0.02
"Aquinnah",2006,2045908,0,10432,0,17126,2073466,2487564,0,12684,0,20823,2521071,98.67,0,0.5,0,0.83,6.8,2.52,2.49,0,0.01,0,0.02
"Aquinnah",2007,2248038,0,11355,0,20327,2279720,2657634,0,13424,0,24031,2695088,98.61,0,0.5,0,0.89,14.2,2.7,2.66,0,0.01,0,0.02
"Aquinnah",2008,2336950,0,22774,0,21255,2380979,2660591,0,25928,0,24199,2710717,98.15,0,0.96,0,0.89,14.9,2.71,2.66,0,0.03,0,0.02
"Aquinnah",2009,2457670,0,24161,0,23460,2505291,2808019,0,27605,0,26804,2862429,98.1,0,0.96,0,0.94,21.3,2.86,2.81,0,0.03,0,0.03
"Aquinnah",2010,2638026,0,25799,0,26990,2690815,2965444,0,29001,0,30340,3024785,98.04,0,0.96,0,1,28.2,3.02,2.97,0,0.03,0,0.03
"Aquinnah",2011,2713155,0,26282,0,26618,2766055,2956573,0,28640,0,29006,3014219,98.09,0,0.95,0,0.96,27.7,3.01,2.96,0,0.03,0,0.03
