"Municipal","F_year","Total.Budget","Residential","Open.Space","Commercial","Industrial","Personal.Property","Total.Levy","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Levy","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property"
"Amesbury",2012,57004210.83,29524649,0,2619994,1804037,1286868,35235548,29957114,0,2658371,1830462,1305718,35751664,83.79,0,7.44,5.12,3.65
"Amesbury",2013,58162402.83,29928804,0,2806127,1926447,1263032,35924410,29928804,0,2806127,1926447,1263032,35924410,83.31,0,7.81,5.36,3.52
"Amherst",2003,56672544.6,21719548,0,2278072,79187,708209,24785016,27498482,0,2884200,100256,896643,31379581,87.63,0,9.19,0.32,2.86
"Amherst",2004,59485598.4,22750342,0,2287047,70117,747955,25855461,28056387,0,2820453,86470,922400,31885710,87.99,0,8.85,0.27,2.89
"Amherst",2005,59718854.65,25641716,0,2270532,74666,615689,28602603,30585854,0,2708327,89063,734404,34117648,89.65,0,7.94,0.26,2.15
"Amherst",2006,63824132.74,27597486,0,2225570,73806,639122,30535984,31890018,0,2571737,85286,738531,35285572,90.38,0,7.29,0.24,2.09
"Amherst",2007,67403878.16,28983904,0,2311801,75446,708900,32080051,32564571,0,2597401,84767,796477,36043216,90.35,0,7.21,0.24,2.21
"Amherst",2008,70166213.39,30228150,0,2287655,77082,802271,33395158,32706740,0,2475234,83402,868054,36133430,90.52,0,6.85,0.23,2.4
"Amherst",2009,73422737.42,31654521,0,2335621,72198,809087,34871427,34372357,0,2536156,78397,878555,37865464,90.77,0,6.7,0.21,2.32
"Amherst",2010,71427931.42,32517975,0,2615297,77355,848380,36059007,34740112,0,2794015,82641,906355,38523123,90.18,0,7.25,0.21,2.35
"Amherst",2011,72456981.18,34807241,0,2724022,78569,922478,38532310,36047953,0,2821120,81370,955360,39905803,90.33,0,7.07,0.2,2.39
"Amherst",2012,75179227.65,36250802,0,2887813,89955,1115462,40344032,36781789,0,2930113,91273,1131801,40934975,89.85,0,7.16,0.22,2.76
"Amherst",2013,77689577.51,37517255,0,3030827,92917,1158726,41799725,37517255,0,3030827,92917,1158726,41799725,89.75,0,7.25,0.22,2.77
"Andover",2003,110625297.17,51960392,103870,10605091,11333086,1828662,75831101,65785527,131507,13426794,14348488,2315215,96007531,68.52,0.14,13.99,14.95,2.41
"Andover",2004,111810612.84,54450344,100436,10642004,12021397,1950159,79164340,67149755,123861,13124030,14825138,2404993,97627777,68.78,0.13,13.44,15.19,2.46
"Andover",2005,114893386.36,57782211,108250,10366015,11443486,1967848,81667810,68923556,129122,12364750,13649975,2347281,97414685,70.75,0.13,12.69,14.01,2.41
"Andover",2006,120383474.27,62759119,159337,9990212,11409435,1690901,86009004,72520715,184120,11544096,13184066,1953905,99386903,72.97,0.19,11.62,13.27,1.97
"Andover",2007,128185806.23,65881296,141575,10683126,11734646,1820640,90261283,74020262,159065,12002918,13184342,2045562,101412149,72.99,0.16,11.84,13,2.02
"Andover",2008,133966088.52,67849371,139540,11193954,12287402,2607452,94077719,73412753,150982,12111814,13294921,2821253,101791722,72.12,0.15,11.9,13.06,2.77
"Andover",2009,138674534.66,69977374,136135,11661921,12978067,3223256,97976753,75985583,147823,12663206,14092355,3500003,106388970,71.42,0.14,11.9,13.25,3.29
"Andover",2010,136619405.38,72056708,143330,12081704,13328125,3680249,101290116,76980750,153125,12907315,14238911,3931741,108211843,71.14,0.14,11.93,13.16,3.63
"Andover",2011,139893172.31,74257417,151001,12419187,13308940,4521755,104658300,76904339,156383,12861872,13783340,4682934,108388868,70.95,0.14,11.87,12.72,4.32
"Andover",2012,144409828.95,76984793,113354,12892759,13622414,5260836,108874156,78112435,115014,13081607,13821950,5337895,110468901,70.71,0.1,11.84,12.51,4.83
"Andover",2013,146746402.17,78962157,121766,13197696,13926800,5685094,111893513,78962157,121766,13197696,13926800,5685094,111893513,70.57,0.11,11.79,12.45,5.08
"Aquinnah",2003,2341062.95,1742316,0,7846,0,21347,1771509,2205895,0,9934,0,27027,2242856,98.35,0,0.44,0,1.21
"Aquinnah",2004,2649841.16,1870796,0,8346,0,24048,1903190,2307120,0,10293,0,29657,2347070,98.3,0,0.44,0,1.26
"Aquinnah",2005,2664053.4,1992618,0,8503,0,16146,2017267,2376827,0,10143,0,19259,2406229,98.78,0,0.42,0,0.8
"Aquinnah",2006,2966591.41,2045908,0,10432,0,17126,2073466,2364130,0,12055,0,19790,2395974,98.67,0,0.5,0,0.83
"Aquinnah",2007,3079136.27,2248038,0,11355,0,20327,2279720,2525760,0,12758,0,22838,2561356,98.61,0,0.5,0,0.89
"Aquinnah",2008,3293944,2336950,0,22774,0,21255,2380979,2528571,0,24641,0,22998,2576210,98.15,0,0.96,0,0.89
"Aquinnah",2009,3315700.54,2457670,0,24161,0,23460,2505291,2668684,0,26235,0,25474,2720394,98.1,0,0.96,0,0.94
"Aquinnah",2010,3471698.63,2638026,0,25799,0,26990,2690815,2818297,0,27562,0,28834,2874694,98.04,0,0.96,0,1
"Aquinnah",2011,3614605.59,2713155,0,26282,0,26618,2766055,2809866,0,27219,0,27567,2864652,98.09,0,0.95,0,0.96
"Aquinnah",2012,3733149.87,2757053,0,33647,0,29290,2819990,2797437,0,34140,0,29719,2861296,97.77,0,1.19,0,1.04
"Aquinnah",2013,3751536.14,3044306,0,44782,0,34294,3123382,3044306,0,44782,0,34294,3123382,97.47,0,1.43,0,1.1
"Arlington",2003,101306287.95,56962049,1037,3257885,230446,795428,61246845,72117979,1313,4124713,291761,1007068,77542833,93,0,5.32,0.38,1.3
"Arlington",2004,101870637.04,59880691,0,2883991,199945,775513,63740140,73846618,0,3556622,246578,956385,78606203,93.95,0,4.52,0.31,1.22
"Arlington",2005,106195893.6,61820467,0,2954889,205582,739032,65719970,73740453,0,3524639,245222,881529,78391844,94.07,0,4.5,0.31,1.12
"Arlington",2006,112407733.36,69428973,0,3056013,229044,811771,73525801,80228002,0,3531347,264670,938034,84962054,94.43,0,4.16,0.31,1.1
"Arlington",2007,116958837.64,72656089,0,3171347,238535,712380,76778351,81632011,0,3563135,268004,800387,86263537,94.63,0,4.13,0.31,0.93
"Arlington",2008,119641220.06,74394576,0,3364378,248917,805505,78813376,80494639,0,3640244,269327,871553,85275763,94.39,0,4.27,0.32,1.02
"Arlington",2009,124071338.33,76075616,0,3633624,259705,977062,80946007,82607416,0,3945604,282003,1060952,87895976,93.98,0,4.49,0.32,1.21
"Arlington",2010,125265218.07,78508301,0,3560968,253944,1147823,83471036,83873217,0,3804309,271297,1226260,89175084,94.05,0,4.27,0.3,1.38
"Arlington",2011,127089727.41,80795883,0,3677868,260235,1224988,85958974,83675870,0,3808966,269511,1268653,89023000,93.99,0,4.28,0.3,1.43
"Arlington",2012,135505942.79,89256859,0,4060401,286447,1398787,95002494,90564257,0,4119876,290643,1419276,96394052,93.95,0,4.27,0.3,1.47
"Arlington",2013,144445396.08,91871472,0,4522048,219793,1396068,98009381,91871472,0,4522048,219793,1396068,98009381,93.74,0,4.61,0.22,1.42
"Ashburnham",2003,10062464.41,6226611,3363,138832,53803,45036,6467645,7883329,4258,175771,68118,57019,8188496,96.27,0.05,2.15,0.83,0.7
"Ashburnham",2004,9760805.85,6204785,2905,119078,46990,39611,6413369,7651922,3583,146850,57949,48849,7909154,96.75,0.05,1.86,0.73,0.62
"Ashburnham",2005,11230059.84,7352551,4090,140088,55783,36731,7589243,8770242,4879,167099,66539,43813,9052572,96.88,0.05,1.85,0.74,0.48
"Ashburnham",2006,12563265.76,7722949,4167,145219,63510,44308,7980153,8924182,4815,167806,73388,51200,9221391,96.78,0.05,1.82,0.8,0.56
"Ashburnham",2007,13540799.77,8306316,4258,164384,60299,47927,8583184,9332477,4784,184692,67748,53848,9643549,96.77,0.05,1.92,0.7,0.56
"Ashburnham",2008,14106906.62,8368218,4255,165592,57871,61794,8657730,9054379,4604,179170,62616,66861,9367630,96.66,0.05,1.91,0.67,0.71
"Ashburnham",2009,15008209.26,9208378,0,214045,71700,97181,9591304,9999003,0,232423,77856,105525,10414807,96.01,0,2.23,0.75,1.01
"Ashburnham",2010,14652663.02,9699773,0,234085,79905,120997,10134760,10362613,0,250081,85365,129265,10827325,95.71,0,2.31,0.79,1.19
"Ashburnham",2011,15159819.9,9924890,0,244296,86914,150122,10406222,10278665,0,253004,90012,155473,10777154,95.37,0,2.35,0.84,1.44
"Ashburnham",2012,15029837.66,10060587,0,251420,87520,160122,10559649,10207950,0,255103,88802,162467,10714322,95.27,0,2.38,0.83,1.52
"Ashburnham",2013,15687703.54,10283729,0,262332,86278,164595,10796934,10283729,0,262332,86278,164595,10796934,95.25,0,2.43,0.8,1.52
"Ashby",2003,4541128.71,2913873,0,96229,9200,43712,3063014,3689169,0,121833,11648,55342,3877992,95.13,0,3.14,0.3,1.43
"Ashby",2004,4766204.39,3258743,0,100139,11873,48517,3419272,4018777,0,123494,14642,59833,4216746,95.31,0,2.93,0.35,1.42
"Ashby",2005,4855776.19,3319796,0,96319,12657,46218,3474990,3959906,0,114891,15097,55130,4145024,95.53,0,2.77,0.36,1.33
"Ashby",2006,5281087.64,3458279,0,92706,12285,43561,3606831,3996182,0,107126,14196,50337,4167840,95.88,0,2.57,0.34,1.21
"Ashby",2007,5289637.7,3892437,0,142198,13702,46699,4095036,4373308,0,159765,15395,52468,4600936,95.05,0,3.47,0.33,1.14
"Ashby",2008,5430887.4,3837578,0,141788,12710,47884,4039960,4152244,0,153414,13752,51810,4371221,94.99,0,3.51,0.31,1.19
"Ashby",2009,5563246.89,3980782,0,143761,13400,69625,4207568,4322569,0,156104,14551,75603,4568827,94.61,0,3.42,0.32,1.65
"Ashby",2010,5546027.57,4133547,0,122014,13745,84499,4353805,4416016,0,130352,14684,90273,4651325,94.94,0,2.8,0.32,1.94
"Ashby",2011,5748964.33,4261242,0,105894,14188,123270,4504594,4413135,0,109669,14694,127664,4665161,94.6,0,2.35,0.31,2.74
"Ashby",2012,6058979.83,4362101,0,130525,11734,132662,4637022,4425995,0,132437,11906,134605,4704943,94.07,0,2.81,0.25,2.86
"Ashby",2013,6483730.98,4630375,0,151206,12259,148779,4942619,4630375,0,151206,12259,148779,4942619,93.68,0,3.06,0.25,3.01
"Ashfield",2003,3129475.82,2001185,0,109753,19306,62234,2192478,2533642,0,138955,24443,78793,2775832,91.28,0,5.01,0.88,2.84
"Ashfield",2004,3153072.57,2050855,0,102840,18195,65351,2237241,2529174,0,126825,22439,80593,2759031,91.67,0,4.6,0.81,2.92
"Ashfield",2005,3361023.74,2183560,0,109212,19133,60117,2372022,2604586,0,130270,22822,71709,2829386,92.05,0,4.6,0.81,2.53
"Ashfield",2006,3659763.37,2240137,0,104356,20865,52720,2418078,2588569,0,120588,24110,60920,2794187,92.64,0,4.32,0.86,2.18
"Ashfield",2007,3791815.22,2372512,0,105776,20662,66156,2565106,2665612,0,118844,23215,74329,2881999,92.49,0,4.12,0.81,2.58
"Ashfield",2008,3899102.5,2624615,0,108758,22794,64176,2820343,2839823,0,117676,24663,69438,3051600,93.06,0,3.86,0.81,2.28
"Ashfield",2009,4156249.81,2698856,0,125543,22604,87705,2934708,2930578,0,136322,24545,95235,3186680,91.96,0,4.28,0.77,2.99
"Ashfield",2010,4138174.6,2778461,0,117194,13125,84953,2993733,2968329,0,125203,14022,90758,3198312,92.81,0,3.91,0.44,2.84
"Ashfield",2011,4097552.5,2868833,0,118441,13513,97775,3098562,2971093,0,122663,13995,101260,3209011,92.59,0,3.82,0.44,3.16
"Ashfield",2012,4009913.78,2979425,0,123406,14432,112088,3229351,3023066,0,125214,14643,113730,3276653,92.26,0,3.82,0.45,3.47
"Ashfield",2013,4203641.8,3074613,0,125920,14363,110780,3325676,3074613,0,125920,14363,110780,3325676,92.45,0,3.79,0.43,3.33
"Ashland",2003,38620704.24,20496271,160320,1041760,715336,344957,22758644,25949727,202976,1318942,905666,436740,28814051,90.06,0.7,4.58,3.14,1.52
"Ashland",2004,42526569.63,22117139,130489,1124044,728673,406784,24507129,27275502,160923,1386204,898621,501658,30222908,90.25,0.53,4.59,2.97,1.66
"Ashland",2005,45643635.75,24364998,138752,1254631,743688,430510,26932579,29062964,165506,1496544,887083,513519,32125616,90.47,0.52,4.66,2.76,1.6
"Ashland",2006,53707166.54,26715212,17892,1439795,519113,443952,29135964,30870514,20675,1663742,599856,513005,33667791,91.69,0.06,4.94,1.78,1.52
"Ashland",2007,57086449.38,27736859,10522,1473193,553352,455225,30229151,31163466,11822,1655191,621713,511463,33963656,91.76,0.03,4.87,1.83,1.51
"Ashland",2008,55153330.55,28491786,9525,1518064,575094,506950,31101419,30828000,10306,1642539,622249,548518,33651613,91.61,0.03,4.88,1.85,1.63
"Ashland",2009,56084055.81,29444493,5853,1621680,614978,527540,32214544,31972577,6356,1760916,667780,572834,34980463,91.4,0.02,5.03,1.91,1.64
"Ashland",2010,56083552.19,30300762,4852,1686157,635156,601286,33228213,32371384,5184,1801382,678560,642375,35498885,91.19,0.01,5.07,1.91,1.81
"Ashland",2011,58064806.31,31141214,5010,1742102,637649,677070,34203045,32251249,5189,1804200,660378,701204,35422220,91.05,0.01,5.09,1.86,1.98
"Ashland",2012,57718026.08,31979376,5218,1807273,643824,746453,35182144,32447797,5294,1833745,653254,757387,35697478,90.9,0.01,5.14,1.83,2.12
"Ashland",2013,60476531.05,32670338,5397,1870320,661148,804897,36012100,32670338,5397,1870320,661148,804897,36012100,90.72,0.01,5.19,1.84,2.24
"Athol",2003,13140863.94,5356790,0,509638,198021,215770,6280219,6782075,0,645238,250709,273180,7951201,85.3,0,8.11,3.15,3.44
"Athol",2004,12551794.96,5699227,0,482291,175577,145852,6502947,7028453,0,594775,216527,179869,8019624,87.64,0,7.42,2.7,2.24
"Athol",2005,12721291.69,6035581,0,464821,161159,128711,6790272,7199339,0,554446,192233,153529,8099546,88.89,0,6.85,2.37,1.9
"Athol",2006,13918029.85,6427899,0,464889,155889,124352,7173029,7427699,0,537198,180136,143694,8288727,89.61,0,6.48,2.17,1.73
"Athol",2007,16581318.1,7791608,0,547023,167683,143795,8650109,8754182,0,614602,188399,161559,9718742,90.08,0,6.32,1.94,1.66
"Athol",2008,17595559.62,8016593,0,558640,174437,148377,8898047,8673922,0,604446,188740,160543,9627652,90.09,0,6.28,1.96,1.67
"Athol",2009,19947617.95,8378969,0,597290,190345,211306,9377910,9098382,0,648573,206688,229449,10183091,89.35,0,6.37,2.03,2.25
"Athol",2010,18528975.55,8507215,0,677786,203032,246527,9634560,9088561,0,724103,216906,263374,10292944,88.3,0,7.03,2.11,2.56
"Athol",2011,18866734.85,8740593,0,695082,216541,274181,9926397,9052153,0,719858,224260,283954,10280226,88.05,0,7,2.18,2.76
"Athol",2012,19062878.25,8907898,0,746779,241558,297355,10193590,9038377,0,757718,245096,301711,10342902,87.39,0,7.33,2.37,2.92
"Athol",2013,19019017.45,8534594,0,751105,240346,297851,9823896,8534594,0,751105,240346,297851,9823896,86.88,0,7.65,2.45,3.03
"Attleboro",2003,96152626.04,27509015,0,5149700,2834671,1433789,36927175,34828357,0,6519884,3588894,1815278,46752413,74.5,0,13.95,7.68,3.88
"Attleboro",2004,97254600.22,29337020,0,5459142,3095722,1770164,39662048,36179270,0,6732373,3817735,2183018,48912397,73.97,0,13.76,7.81,4.46
"Attleboro",2005,103199588.89,32895710,0,5151125,2847511,1364553,42258899,39238535,0,6144345,3396557,1627661,50407098,77.84,0,12.19,6.74,3.23
"Attleboro",2006,108476248.71,35245075,0,4937233,2751639,1362674,44296621,40727118,0,5705174,3179631,1574625,51186547,79.57,0,11.15,6.21,3.08
"Attleboro",2007,116655681.11,36796938,0,5166491,3352272,1438056,46753757,41342826,0,5804759,3766411,1615713,52529709,78.7,0,11.05,7.17,3.08
"Attleboro",2008,118490121.9,37641578,0,5910779,3544414,1599650,48696421,40728039,0,6395440,3835042,1730815,52689336,77.3,0,12.14,7.28,3.28
"Attleboro",2009,121386003.49,38547814,0,6526926,3969603,1962943,51007286,41857503,0,7087323,4310430,2131480,55386737,75.57,0,12.8,7.78,3.85
"Attleboro",2010,122568954.1,39747140,0,6805701,4176850,2160011,52889702,42463287,0,7270773,4462278,2307617,56503955,75.15,0,12.87,7.9,4.08
"Attleboro",2011,121188968.13,40491512,0,7399157,4483344,2235393,54609406,41934841,0,7662902,4643154,2315074,56555970,74.15,0,13.55,8.21,4.09
