"","Municipal","County","State","Region","Five_Year_Range","Total_Pop","Pov_Pop","Percent_Pov","Margin_Error_Percent"
"23","Alford","Berkshire County","MA","Alford","2007-2011",501,18,3.6,2.3
"24","Alford","Berkshire County","MA","Alford","2008-2012",469,20,4.3,2.5
"25","Amesbury","Essex County","MA","Amesbury","2005-2009",16221,631,3.9,1.2
"26","Amesbury","Essex County","MA","Amesbury","2006-2010",15949,595,3.7,1.4
"27","Amesbury","Essex County","MA","Amesbury","2007-2011",15979,630,3.9,1.1
"28","Amesbury","Essex County","MA","Amesbury","2008-2012",16073,761,4.7,1.1
"29","Amherst","Hampshire County","MA","Amherst","2005-2009",21016,6150,29.3,3.7
"30","Amherst","Hampshire County","MA","Amherst","2006-2010",21415,6113,28.5,3.3
"31","Amherst","Hampshire County","MA","Amherst","2007-2011",21007,5726,27.3,2.8
"32","Amherst","Hampshire County","MA","Amherst","2008-2012",21399,6222,29.1,3.4
"33","Andover","Essex County","MA","Andover","2005-2009",32056,892,2.8,1.1
"34","Andover","Essex County","MA","Andover","2006-2010",32239,1193,3.7,1
"35","Andover","Essex County","MA","Andover","2007-2011",32343,1197,3.7,1
"36","Andover","Essex County","MA","Andover","2008-2012",32649,1381,4.2,1.1
"37","Aquinnah","Dukes County","MA","Aquinnah","2005-2009",456,64,14,9
"38","Aquinnah","Dukes County","MA","Aquinnah","2006-2010",404,41,10.1,6.9
"39","Aquinnah","Dukes County","MA","Aquinnah","2007-2011",466,61,13.1,11
"40","Aquinnah","Dukes County","MA","Aquinnah","2008-2012",385,37,9.6,6.7
"41","Arlington","Middlesex County","MA","Arlington","2005-2009",41158,1869,4.5,1
"42","Arlington","Middlesex County","MA","Arlington","2006-2010",42195,2052,4.9,1.1
"43","Arlington","Middlesex County","MA","Arlington","2007-2011",42421,1861,4.4,0.9
"44","Arlington","Middlesex County","MA","Arlington","2008-2012",42816,1929,4.5,0.8
"45","Ashburnham","Worcester County","MA","Ashburnham","2005-2009",6006,267,4.4,2.9
"46","Ashburnham","Worcester County","MA","Ashburnham","2006-2010",5991,325,5.4,3.9
"47","Ashburnham","Worcester County","MA","Ashburnham","2007-2011",5987,430,7.2,4.3
"48","Ashburnham","Worcester County","MA","Ashburnham","2008-2012",6015,344,5.7,2.5
"49","Ashby","Middlesex County","MA","Ashby","2005-2009",2997,149,5,2.1
"50","Ashby","Middlesex County","MA","Ashby","2006-2010",2951,123,4.2,2
"51","Ashby","Middlesex County","MA","Ashby","2007-2011",2993,119,4,2
"52","Ashby","Middlesex County","MA","Ashby","2008-2012",3066,108,3.5,1.6
"53","Ashfield","Franklin County","MA","Ashfield","2005-2009",1664,115,6.9,5.5
"54","Ashfield","Franklin County","MA","Ashfield","2006-2010",1732,159,9.2,4.7
"55","Ashfield","Franklin County","MA","Ashfield","2007-2011",1769,192,10.9,5.4
"56","Ashfield","Franklin County","MA","Ashfield","2008-2012",1603,109,6.8,2.7
"57","Ashland","Middlesex County","MA","Ashland","2005-2009",15093,426,2.8,1.1
"58","Ashland","Middlesex County","MA","Ashland","2006-2010",16021,496,3.1,1.4
"59","Ashland","Middlesex County","MA","Ashland","2007-2011",16254,646,4,1.8
"60","Ashland","Middlesex County","MA","Ashland","2008-2012",16531,723,4.4,2
"61","Athol","Worcester County","MA","Athol","2005-2009",11590,980,8.5,2.6
"62","Athol","Worcester County","MA","Athol","2006-2010",11270,1021,9.1,3
"63","Athol","Worcester County","MA","Athol","2007-2011",11328,1233,10.9,4.3
"64","Athol","Worcester County","MA","Athol","2008-2012",11372,1596,14,3.9
"65","Attleboro","Bristol County","MA","Attleboro","2005-2009",42820,3328,7.8,1.6
"66","Attleboro","Bristol County","MA","Attleboro","2006-2010",42866,3094,7.2,1.4
"67","Attleboro","Bristol County","MA","Attleboro","2007-2011",42963,2770,6.4,1.2
"68","Attleboro","Bristol County","MA","Attleboro","2008-2012",43117,3556,8.2,1.5
"69","Auburn","Worcester County","MA","Auburn","2005-2009",16422,999,6.1,2.1
"70","Auburn","Worcester County","MA","Auburn","2006-2010",16131,930,5.8,2.2
"71","Auburn","Worcester County","MA","Auburn","2007-2011",15993,848,5.3,1.9
"72","Auburn","Worcester County","MA","Auburn","2008-2012",16019,1000,6.2,2.2
"73","Avon","Norfolk County","MA","Avon","2005-2009",4349,150,3.4,2.1
"74","Avon","Norfolk County","MA","Avon","2006-2010",4335,135,3.1,2
"75","Avon","Norfolk County","MA","Avon","2007-2011",4341,99,2.3,1.5
"76","Avon","Norfolk County","MA","Avon","2008-2012",4349,62,1.4,1.1
"77","Ayer","Middlesex County","MA","Ayer","2005-2009",7308,891,12.2,5.8
"78","Ayer","Middlesex County","MA","Ayer","2006-2010",7073,1215,17.2,8.8
"79","Ayer","Middlesex County","MA","Ayer","2007-2011",7169,917,12.8,4.9
"80","Ayer","Middlesex County","MA","Ayer","2008-2012",7339,967,13.2,5.7
"81","Barnstable","Barnstable County","MA","Barnstable","2005-2009",46432,3124,6.7,1.7
"82","Barnstable","Barnstable County","MA","Barnstable","2006-2010",45389,3211,7.1,1.5
"83","Barnstable","Barnstable County","MA","Barnstable","2007-2011",45111,3849,8.5,1.5
"84","Barnstable","Barnstable County","MA","Barnstable","2008-2012",44753,4752,10.6,1.7
"85",NA,"Barnstable County","MA","Barnstable County","2005-2009",218388,14124,6.5,0.6
"86",NA,"Barnstable County","MA","Barnstable County","2006-2010",213500,15284,7.2,0.6
"87",NA,"Barnstable County","MA","Barnstable County","2007-2011",212789,17884,8.4,0.5
"88",NA,"Barnstable County","MA","Barnstable County","2008-2012",212567,19204,9,0.7
"89","Barre","Worcester County","MA","Barre","2005-2009",5564,381,6.8,4.3
"90","Barre","Worcester County","MA","Barre","2006-2010",5335,399,7.5,4.3
"91","Barre","Worcester County","MA","Barre","2007-2011",5364,223,4.2,2.1
"92","Barre","Worcester County","MA","Barre","2008-2012",5353,237,4.4,1.9
"93","Becket","Berkshire County","MA","Becket","2005-2009",1658,252,15.2,6
"94","Becket","Berkshire County","MA","Becket","2006-2010",1593,219,13.7,7.2
"95","Becket","Berkshire County","MA","Becket","2007-2011",1739,255,14.7,7.9
"96","Becket","Berkshire County","MA","Becket","2008-2012",1859,248,13.3,6.4
"97","Bedford","Middlesex County","MA","Bedford","2005-2009",12716,517,4.1,2.5
"98","Bedford","Middlesex County","MA","Bedford","2006-2010",12581,580,4.6,2.5
"99","Bedford","Middlesex County","MA","Bedford","2007-2011",12658,571,4.5,2.6
"100","Bedford","Middlesex County","MA","Bedford","2008-2012",12904,666,5.2,2.6
"101","Belchertown","Hampshire County","MA","Belchertown","2005-2009",14014,697,5,1.9
"102","Belchertown","Hampshire County","MA","Belchertown","2006-2010",14196,814,5.7,2.2
"103","Belchertown","Hampshire County","MA","Belchertown","2007-2011",14329,660,4.6,1.9
"104","Belchertown","Hampshire County","MA","Belchertown","2008-2012",14471,870,6,2.5
"105","Bellingham","Norfolk County","MA","Bellingham","2005-2009",15682,763,4.9,1.9
"106","Bellingham","Norfolk County","MA","Bellingham","2006-2010",15977,780,4.9,1.9
"107","Bellingham","Norfolk County","MA","Bellingham","2007-2011",16136,631,3.9,1.9
"108","Bellingham","Norfolk County","MA","Bellingham","2008-2012",16283,520,3.2,1.5
"109","Belmont","Middlesex County","MA","Belmont","2005-2009",23025,708,3.1,0.9
"110","Belmont","Middlesex County","MA","Belmont","2006-2010",24106,1174,4.9,1.5
"111","Belmont","Middlesex County","MA","Belmont","2007-2011",24315,1272,5.2,1.8
"112","Belmont","Middlesex County","MA","Belmont","2008-2012",24524,1333,5.4,1.5
"113","Berkley","Bristol County","MA","Berkley","2005-2009",6402,313,4.9,3
"114","Berkley","Bristol County","MA","Berkley","2006-2010",6301,392,6.2,3.4
"115","Berkley","Bristol County","MA","Berkley","2007-2011",6334,322,5.1,3.5
"116","Berkley","Bristol County","MA","Berkley","2008-2012",6407,428,6.7,3.9
"117",NA,"Berkshire County","MA","Berkshire County","2005-2009",124991,14274,11.4,1
"118",NA,"Berkshire County","MA","Berkshire County","2006-2010",126219,14598,11.6,1.1
"119",NA,"Berkshire County","MA","Berkshire County","2007-2011",125881,14915,11.8,0.9
"120",NA,"Berkshire County","MA","Berkshire County","2008-2012",125353,15533,12.4,0.9
"121","Berlin","Worcester County","MA","Berlin","2005-2009",2785,42,1.5,0.9
"122","Berlin","Worcester County","MA","Berlin","2006-2010",2786,50,1.8,1
"123","Berlin","Worcester County","MA","Berlin","2007-2011",2819,44,1.6,1
"124","Berlin","Worcester County","MA","Berlin","2008-2012",2856,66,2.3,1.1
"125","Bernardston","Franklin County","MA","Bernardston","2005-2009",2336,131,5.6,2.9
"126","Bernardston","Franklin County","MA","Bernardston","2006-2010",2235,91,4.1,2.3
"127","Bernardston","Franklin County","MA","Bernardston","2007-2011",2187,122,5.6,2.7
"128","Bernardston","Franklin County","MA","Bernardston","2008-2012",2116,131,6.2,3.4
"129","Beverly","Essex County","MA","Beverly","2005-2009",37139,3033,8.2,1.6
"130","Beverly","Essex County","MA","Beverly","2006-2010",37010,3345,9,1.7
"131","Beverly","Essex County","MA","Beverly","2007-2011",36483,3227,8.8,1.6
"132","Beverly","Essex County","MA","Beverly","2008-2012",36679,3169,8.6,1.7
"133","Billerica","Middlesex County","MA","Billerica","2005-2009",38448,946,2.5,0.9
"134","Billerica","Middlesex County","MA","Billerica","2006-2010",38797,1284,3.3,1.1
"135","Billerica","Middlesex County","MA","Billerica","2007-2011",39192,1848,4.7,1.7
"136","Billerica","Middlesex County","MA","Billerica","2008-2012",39554,2512,6.4,2.3
"137","Blackstone","Worcester County","MA","Blackstone","2005-2009",9161,450,4.9,2.6
"138","Blackstone","Worcester County","MA","Blackstone","2006-2010",8884,334,3.8,2.2
"139","Blackstone","Worcester County","MA","Blackstone","2007-2011",8997,260,2.9,1.7
"140","Blackstone","Worcester County","MA","Blackstone","2008-2012",8972,353,3.9,1.8
"141","Blandford","Hampden County","MA","Blandford","2005-2009",1206,62,5.1,3.3
"142","Blandford","Hampden County","MA","Blandford","2006-2010",1184,65,5.5,2.5
"143","Blandford","Hampden County","MA","Blandford","2007-2011",1174,44,3.7,2.5
"144","Blandford","Hampden County","MA","Blandford","2008-2012",1129,35,3.1,1.9
"145","Bolton","Worcester County","MA","Bolton","2005-2009",4529,74,1.6,1.4
"146","Bolton","Worcester County","MA","Bolton","2006-2010",4779,112,2.3,1.8
"147","Bolton","Worcester County","MA","Bolton","2007-2011",4814,131,2.7,1.8
"148","Bolton","Worcester County","MA","Bolton","2008-2012",4893,137,2.8,1.6
"149","Boston","Suffolk County","MA","Boston","2005-2009",591056,112677,19.1,0.7
"150","Boston","Suffolk County","MA","Boston","2006-2010",566783,120413,21.2,0.7
"151","Boston","Suffolk County","MA","Boston","2007-2011",571827,122358,21.4,0.6
"152","Boston","Suffolk County","MA","Boston","2008-2012",580337,123132,21.2,0.6
"153","Bourne","Barnstable County","MA","Bourne","2005-2009",17925,1183,6.6,1.9
"154","Bourne","Barnstable County","MA","Bourne","2006-2010",17994,1479,8.2,2.3
"155","Bourne","Barnstable County","MA","Bourne","2007-2011",18424,1644,8.9,2.1
"156","Bourne","Barnstable County","MA","Bourne","2008-2012",18686,2057,11,2.7
"157","Boxborough","Middlesex County","MA","Boxborough","2005-2009",5101,261,5.1,3.1
"158","Boxborough","Middlesex County","MA","Boxborough","2006-2010",4908,312,6.4,3.5
"159","Boxborough","Middlesex County","MA","Boxborough","2007-2011",4957,239,4.8,3.1
"160","Boxborough","Middlesex County","MA","Boxborough","2008-2012",5017,163,3.2,2.2
"161","Boxford","Essex County","MA","Boxford","2005-2009",8175,136,1.7,2.3
"162","Boxford","Essex County","MA","Boxford","2006-2010",7917,167,2.1,2
"163","Boxford","Essex County","MA","Boxford","2007-2011",7950,181,2.3,2.3
"164","Boxford","Essex County","MA","Boxford","2008-2012",7990,207,2.6,2.9
"165","Boylston","Worcester County","MA","Boylston","2005-2009",4352,66,1.5,1.3
"166","Boylston","Worcester County","MA","Boylston","2006-2010",4294,47,1.1,0.9
"167","Boylston","Worcester County","MA","Boylston","2007-2011",4315,48,1.1,0.9
"168","Boylston","Worcester County","MA","Boylston","2008-2012",4336,57,1.3,0.9
"169","Braintree","Norfolk County","MA","Braintree","2005-2009",33979,1776,5.2,1.3
"170","Braintree","Norfolk County","MA","Braintree","2006-2010",34720,1822,5.2,1.5
"171","Braintree","Norfolk County","MA","Braintree","2007-2011",34869,1911,5.5,1.3
"172","Braintree","Norfolk County","MA","Braintree","2008-2012",35202,1797,5.1,1
"173","Brewster","Barnstable County","MA","Brewster","2005-2009",9755,849,8.7,2.8
"174","Brewster","Barnstable County","MA","Brewster","2006-2010",9602,938,9.8,2.8
"175","Brewster","Barnstable County","MA","Brewster","2007-2011",9464,1036,10.9,3
"176","Brewster","Barnstable County","MA","Brewster","2008-2012",9461,966,10.2,3.4
"177","Bridgewater","Plymouth County","MA","Bridgewater","2005-2009",21381,1143,5.3,1.9
"178","Bridgewater","Plymouth County","MA","Bridgewater","2006-2010",21169,1265,6,2.2
"179","Bridgewater","Plymouth County","MA","Bridgewater","2007-2011",21767,1261,5.8,2
"180","Bridgewater","Plymouth County","MA","Bridgewater","2008-2012",21996,1228,5.6,2.2
"181","Brimfield","Hampden County","MA","Brimfield","2005-2009",3785,152,4,2.9
"182","Brimfield","Hampden County","MA","Brimfield","2006-2010",3544,124,3.5,2.8
"183","Brimfield","Hampden County","MA","Brimfield","2007-2011",3554,130,3.7,2.9
"184","Brimfield","Hampden County","MA","Brimfield","2008-2012",3593,159,4.4,3.6
"185",NA,"Bristol County","MA","Bristol County","2005-2009",530074,56875,10.7,0.5
"186",NA,"Bristol County","MA","Bristol County","2006-2010",531848,60215,11.3,0.6
"187",NA,"Bristol County","MA","Bristol County","2007-2011",534131,60607,11.3,0.5
"188",NA,"Bristol County","MA","Bristol County","2008-2012",534527,64191,12,0.4
"189","Brockton","Plymouth County","MA","Brockton","2005-2009",91549,12037,13.1,1.5
"190","Brockton","Plymouth County","MA","Brockton","2006-2010",92468,13513,14.6,1.2
"191","Brockton","Plymouth County","MA","Brockton","2007-2011",92333,14376,15.6,1.6
"192","Brockton","Plymouth County","MA","Brockton","2008-2012",92495,15790,17.1,1.4
"193","Brookfield","Worcester County","MA","Brookfield","2005-2009",3399,80,2.4,1.4
"194","Brookfield","Worcester County","MA","Brookfield","2006-2010",3334,70,2.1,1.7
"195","Brookfield","Worcester County","MA","Brookfield","2007-2011",3355,44,1.3,1.1
"196","Brookfield","Worcester County","MA","Brookfield","2008-2012",3361,87,2.6,1.9
"197","Brookline","Norfolk County","MA","Brookline","2005-2009",54282,7042,13,1.8
"198","Brookline","Norfolk County","MA","Brookline","2006-2010",56440,7405,13.1,1.9
"199","Brookline","Norfolk County","MA","Brookline","2007-2011",56947,6557,11.5,1.5
"200","Brookline","Norfolk County","MA","Brookline","2008-2012",57088,6990,12.2,1.5
"201","Buckland","Franklin County","MA","Buckland","2005-2009",2113,171,8.1,4.6
"202","Buckland","Franklin County","MA","Buckland","2006-2010",2068,214,10.3,5.8
"203","Buckland","Franklin County","MA","Buckland","2007-2011",2297,227,9.9,5.9
"204","Buckland","Franklin County","MA","Buckland","2008-2012",2110,237,11.2,5.9
"205","Burlington","Middlesex County","MA","Burlington","2005-2009",24983,579,2.3,0.9
"206","Burlington","Middlesex County","MA","Burlington","2006-2010",23899,662,2.8,0.9
"207","Burlington","Middlesex County","MA","Burlington","2007-2011",24142,777,3.2,0.9
"208","Burlington","Middlesex County","MA","Burlington","2008-2012",24516,970,4,1.2
"209","Cambridge","Middlesex County","MA","Cambridge","2005-2009",98866,14789,15,1.3
"210","Cambridge","Middlesex County","MA","Cambridge","2006-2010",94746,14202,15,1.3
"211","Cambridge","Middlesex County","MA","Cambridge","2007-2011",93399,14111,15.1,1.2
"212","Cambridge","Middlesex County","MA","Cambridge","2008-2012",92157,12841,13.9,1.1
"213","Canton","Norfolk County","MA","Canton","2005-2009",21181,1078,5.1,1.7
"214","Canton","Norfolk County","MA","Canton","2006-2010",20411,885,4.3,1.4
"215","Canton","Norfolk County","MA","Canton","2007-2011",21018,883,4.2,1.2
"216","Canton","Norfolk County","MA","Canton","2008-2012",21264,1173,5.5,1.7
"217","Carlisle","Middlesex County","MA","Carlisle","2005-2009",4817,132,2.7,2.2
"218","Carlisle","Middlesex County","MA","Carlisle","2006-2010",4766,287,6,3.9
"219","Carlisle","Middlesex County","MA","Carlisle","2007-2011",4814,337,7,4.1
"220","Carlisle","Middlesex County","MA","Carlisle","2008-2012",4870,293,6,3.7
"221","Carver","Plymouth County","MA","Carver","2005-2009",11734,507,4.3,2
"222","Carver","Plymouth County","MA","Carver","2006-2010",11411,643,5.6,2.7
"223","Carver","Plymouth County","MA","Carver","2007-2011",11435,602,5.3,3
"224","Carver","Plymouth County","MA","Carver","2008-2012",11476,770,6.7,3.1
"225","Charlemont","Franklin County","MA","Charlemont","2005-2009",1130,116,10.3,5.1
"226","Charlemont","Franklin County","MA","Charlemont","2006-2010",1199,122,10.2,4.4
"227","Charlemont","Franklin County","MA","Charlemont","2007-2011",1160,127,10.9,6.3
"228","Charlemont","Franklin County","MA","Charlemont","2008-2012",1292,121,9.4,5.3
"229","Charlton","Worcester County","MA","Charlton","2005-2009",12354,438,3.5,1.5
"230","Charlton","Worcester County","MA","Charlton","2006-2010",12535,440,3.5,1.9
"231","Charlton","Worcester County","MA","Charlton","2007-2011",12662,502,4,1.8
"232","Charlton","Worcester County","MA","Charlton","2008-2012",12777,610,4.8,2.3
"233","Chatham","Barnstable County","MA","Chatham","2005-2009",6269,413,6.6,2.8
"234","Chatham","Barnstable County","MA","Chatham","2006-2010",5905,416,7,2.6
"235","Chatham","Barnstable County","MA","Chatham","2007-2011",5949,475,8,2.3
"236","Chatham","Barnstable County","MA","Chatham","2008-2012",6004,568,9.5,3.2
"237","Chelmsford","Middlesex County","MA","Chelmsford","2005-2009",33529,1346,4,1.9
"238","Chelmsford","Middlesex County","MA","Chelmsford","2006-2010",33212,1281,3.9,1.7
"239","Chelmsford","Middlesex County","MA","Chelmsford","2007-2011",33445,1310,3.9,1.8
"240","Chelmsford","Middlesex County","MA","Chelmsford","2008-2012",33779,1366,4,2.1
"241","Chelsea","Suffolk County","MA","Chelsea","2005-2009",35549,8501,23.9,3.2
"242","Chelsea","Suffolk County","MA","Chelsea","2006-2010",33988,8236,24.2,3.7
"243","Chelsea","Suffolk County","MA","Chelsea","2007-2011",34380,8006,23.3,3.5
"244","Chelsea","Suffolk County","MA","Chelsea","2008-2012",35038,8753,25,3.8
"245","Cheshire","Berkshire County","MA","Cheshire","2005-2009",3311,407,12.3,7.6
"246","Cheshire","Berkshire County","MA","Cheshire","2006-2010",3255,394,12.1,6.2
"247","Cheshire","Berkshire County","MA","Cheshire","2007-2011",3245,405,12.5,7.9
"248","Cheshire","Berkshire County","MA","Cheshire","2008-2012",3212,408,12.7,8.2
"249","Chester","Hampden County","MA","Chester","2005-2009",1251,71,5.7,2.6
"250","Chester","Hampden County","MA","Chester","2006-2010",1275,91,7.1,3.6
"251","Chester","Hampden County","MA","Chester","2007-2011",1320,105,8,3.1
"252","Chester","Hampden County","MA","Chester","2008-2012",1383,117,8.5,3.6
"253","Chesterfield","Hampshire County","MA","Chesterfield","2005-2009",1103,40,3.6,2.8
"254","Chesterfield","Hampshire County","MA","Chesterfield","2006-2010",1013,44,4.3,2.4
"255","Chesterfield","Hampshire County","MA","Chesterfield","2007-2011",1043,70,6.7,2.9
"256","Chesterfield","Hampshire County","MA","Chesterfield","2008-2012",1112,59,5.3,2.7
"257","Chicopee","Hampden County","MA","Chicopee","2005-2009",55046,8464,15.4,1.8
"258","Chicopee","Hampden County","MA","Chicopee","2006-2010",54234,8369,15.4,2
"259","Chicopee","Hampden County","MA","Chicopee","2007-2011",54483,7542,13.8,2
"260","Chicopee","Hampden County","MA","Chicopee","2008-2012",54631,7473,13.7,1.6
"261","Chilmark","Dukes County","MA","Chilmark","2005-2009",1028,94,9.1,7.1
"262","Chilmark","Dukes County","MA","Chilmark","2006-2010",1014,82,8.1,5.8
"263","Chilmark","Dukes County","MA","Chilmark","2007-2011",790,135,17.1,11
"264","Chilmark","Dukes County","MA","Chilmark","2008-2012",846,165,19.5,9.9
"265","Clarksburg","Berkshire County","MA","Clarksburg","2005-2009",1881,75,4,1.4
"266","Clarksburg","Berkshire County","MA","Clarksburg","2006-2010",1886,60,3.2,1.3
"267","Clarksburg","Berkshire County","MA","Clarksburg","2007-2011",1844,53,2.9,1.6
"268","Clarksburg","Berkshire County","MA","Clarksburg","2008-2012",1805,108,6,3.9
"269","Clinton","Worcester County","MA","Clinton","2005-2009",13819,970,7,2.2
"270","Clinton","Worcester County","MA","Clinton","2006-2010",13330,1138,8.5,2.7
"271","Clinton","Worcester County","MA","Clinton","2007-2011",13394,1298,9.7,2.9
"272","Clinton","Worcester County","MA","Clinton","2008-2012",13430,1275,9.5,3
"273","Cohasset","Norfolk County","MA","Cohasset","2005-2009",7213,79,1.1,1
"274","Cohasset","Norfolk County","MA","Cohasset","2006-2010",7290,87,1.2,1.1
"275","Cohasset","Norfolk County","MA","Cohasset","2007-2011",7422,196,2.6,1.6
"276","Cohasset","Norfolk County","MA","Cohasset","2008-2012",7695,293,3.8,2.2
"277","Colrain","Franklin County","MA","Colrain","2005-2009",1815,115,6.3,2.2
"278","Colrain","Franklin County","MA","Colrain","2006-2010",1811,143,7.9,3.4
"279","Colrain","Franklin County","MA","Colrain","2007-2011",1727,152,8.8,3.3
"280","Colrain","Franklin County","MA","Colrain","2008-2012",1669,151,9,3.4
"281","Concord","Middlesex County","MA","Concord","2005-2009",15664,815,5.2,2
"282","Concord","Middlesex County","MA","Concord","2006-2010",15631,678,4.3,1.7
"283","Concord","Middlesex County","MA","Concord","2007-2011",15841,638,4,1.6
"284","Concord","Middlesex County","MA","Concord","2008-2012",16408,740,4.5,1.7
"285","Conway","Franklin County","MA","Conway","2005-2009",1911,159,8.3,3.1
"286","Conway","Franklin County","MA","Conway","2006-2010",1911,132,6.9,2.7
"287","Conway","Franklin County","MA","Conway","2007-2011",1790,108,6,2.4
"288","Conway","Franklin County","MA","Conway","2008-2012",1825,108,5.9,2.4
"289","Cummington","Hampshire County","MA","Cummington","2005-2009",938,138,14.7,5.7
"290","Cummington","Hampshire County","MA","Cummington","2006-2010",917,124,13.5,5.5
"291","Cummington","Hampshire County","MA","Cummington","2007-2011",974,153,15.7,5.7
"292","Cummington","Hampshire County","MA","Cummington","2008-2012",945,118,12.5,4.8
"293","Dalton","Berkshire County","MA","Dalton","2005-2009",6358,614,9.7,4.3
"294","Dalton","Berkshire County","MA","Dalton","2006-2010",6608,438,6.6,2.9
"295","Dalton","Berkshire County","MA","Dalton","2007-2011",6650,476,7.2,3.6
"296","Dalton","Berkshire County","MA","Dalton","2008-2012",6647,596,9,3.3
"297","Danvers","Essex County","MA","Danvers","2005-2009",26419,1316,5,1.5
"298","Danvers","Essex County","MA","Danvers","2006-2010",25816,1475,5.7,1.8
"299","Danvers","Essex County","MA","Danvers","2007-2011",25859,1478,5.7,1.8
"300","Danvers","Essex County","MA","Danvers","2008-2012",26095,1390,5.3,1.3
"301","Dartmouth","Bristol County","MA","Dartmouth","2005-2009",30327,1407,4.6,1
"302","Dartmouth","Bristol County","MA","Dartmouth","2006-2010",30102,1394,4.6,0.9
"303","Dartmouth","Bristol County","MA","Dartmouth","2007-2011",31011,1454,4.7,1.1
"304","Dartmouth","Bristol County","MA","Dartmouth","2008-2012",30249,1595,5.3,1.3
"305","Dedham","Norfolk County","MA","Dedham","2005-2009",23279,1162,5,1.4
"306","Dedham","Norfolk County","MA","Dedham","2006-2010",23323,1140,4.9,1.3
"307","Dedham","Norfolk County","MA","Dedham","2007-2011",23588,1102,4.7,1.2
"308","Dedham","Norfolk County","MA","Dedham","2008-2012",23720,1183,5,1.3
"309","Deerfield","Franklin County","MA","Deerfield","2005-2009",4688,393,8.4,4.6
"310","Deerfield","Franklin County","MA","Deerfield","2006-2010",5032,354,7,4.5
"311","Deerfield","Franklin County","MA","Deerfield","2007-2011",5050,432,8.6,4.8
"312","Deerfield","Franklin County","MA","Deerfield","2008-2012",5044,264,5.2,3.3
"313","Dennis","Barnstable County","MA","Dennis","2005-2009",15556,1086,7,2
"314","Dennis","Barnstable County","MA","Dennis","2006-2010",14538,1730,11.9,3.5
"315","Dennis","Barnstable County","MA","Dennis","2007-2011",14364,2053,14.3,3.6
"316","Dennis","Barnstable County","MA","Dennis","2008-2012",14226,2095,14.7,3.7
"317","Dighton","Bristol County","MA","Dighton","2005-2009",6645,159,2.4,1.5
"318","Dighton","Bristol County","MA","Dighton","2006-2010",6917,244,3.5,2.7
"319","Dighton","Bristol County","MA","Dighton","2007-2011",6971,247,3.5,1.8
"320","Dighton","Bristol County","MA","Dighton","2008-2012",7008,232,3.3,1.9
"321","Douglas","Worcester County","MA","Douglas","2005-2009",8020,166,2.1,1.3
"322","Douglas","Worcester County","MA","Douglas","2006-2010",8239,175,2.1,1.4
"323","Douglas","Worcester County","MA","Douglas","2007-2011",8342,285,3.4,2.1
"324","Douglas","Worcester County","MA","Douglas","2008-2012",8418,289,3.4,2.1
