29,AT001_025,Num,8,BEST12.,BEST32.,AT001_025 Below poverty level; Estimate; Population for whom poverty status is determined - AGE - 18 to 64 years
30,AT001_026,Num,8,BEST12.,BEST32.,AT001_026 Below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - 18 to 64 years
31,AT001_027,Char,4,$4.00 ,$4.00 ,AT001_027 Percent below poverty level; Estimate; Population for whom poverty status is determined - AGE - 18 to 64 years
32,AT001_028,Char,3,$3.00 ,$3.00 ,AT001_028 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - 18 to 64 years
33,AT001_029,Num,8,BEST12.,BEST32.,AT001_029 Total; Estimate; Population for whom poverty status is determined - AGE - 65 years and over
34,AT001_030,Num,8,BEST12.,BEST32.,AT001_030 Total; Margin of Error; Population for whom poverty status is determined - AGE - 65 years and over
35,AT001_031,Num,8,BEST12.,BEST32.,AT001_031 Below poverty level; Estimate; Population for whom poverty status is determined - AGE - 65 years and over
36,AT001_032,Num,8,BEST12.,BEST32.,AT001_032 Below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - 65 years and over
37,AT001_033,Char,4,$4.00 ,$4.00 ,AT001_033 Percent below poverty level; Estimate; Population for whom poverty status is determined - AGE - 65 years and over
38,AT001_034,Char,3,$3.00 ,$3.00 ,AT001_034 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - 65 years and over
39,AT001_035,Num,8,BEST12.,BEST32.,AT001_035 Total; Estimate; Population for whom poverty status is determined - SEX - Male
40,AT001_036,Num,8,BEST12.,BEST32.,AT001_036 Total; Margin of Error; Population for whom poverty status is determined - SEX - Male
41,AT001_037,Num,8,BEST12.,BEST32.,AT001_037 Below poverty level; Estimate; Population for whom poverty status is determined - SEX - Male
42,AT001_038,Num,8,BEST12.,BEST32.,AT001_038 Below poverty level; Margin of Error; Population for whom poverty status is determined - SEX - Male
43,AT001_039,Char,4,$4.00 ,$4.00 ,AT001_039 Percent below poverty level; Estimate; Population for whom poverty status is determined - SEX - Male
44,AT001_040,Char,3,$3.00 ,$3.00 ,AT001_040 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - SEX - Male
45,AT001_041,Num,8,BEST12.,BEST32.,AT001_041 Total; Estimate; Population for whom poverty status is determined - SEX - Female
46,AT001_042,Num,8,BEST12.,BEST32.,AT001_042 Total; Margin of Error; Population for whom poverty status is determined - SEX - Female
47,AT001_043,Num,8,BEST12.,BEST32.,AT001_043 Below poverty level; Estimate; Population for whom poverty status is determined - SEX - Female
48,AT001_044,Num,8,BEST12.,BEST32.,AT001_044 Below poverty level; Margin of Error; Population for whom poverty status is determined - SEX - Female
49,AT001_045,Char,4,$4.00 ,$4.00 ,AT001_045 Percent below poverty level; Estimate; Population for whom poverty status is determined - SEX - Female
50,AT001_046,Char,3,$3.00 ,$3.00 ,AT001_046 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - SEX - Female
51,AT001_047,Num,8,BEST12.,BEST32.,AT001_047 Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
52,AT001_048,Num,8,BEST12.,BEST32.,AT001_048 Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
53,AT001_049,Num,8,BEST12.,BEST32.,AT001_049 Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
54,AT001_050,Num,8,BEST12.,BEST32.,AT001_050 Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
55,AT001_051,Char,4,$4.00 ,$4.00 ,AT001_051 Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
56,AT001_052,Char,3,$3.00 ,$3.00 ,AT001_052 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race
57,AT001_053,Num,8,BEST12.,BEST32.,AT001_053 Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
58,AT001_054,Num,8,BEST12.,BEST32.,AT001_054 Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
59,AT001_055,Num,8,BEST12.,BEST32.,AT001_055 Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
60,AT001_056,Num,8,BEST12.,BEST32.,AT001_056 Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
61,AT001_057,Char,4,$4.00 ,$4.00 ,AT001_057 Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
62,AT001_058,Char,3,$3.00 ,$3.00 ,AT001_058 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - White
63,AT001_059,Num,8,BEST12.,BEST32.,AT001_059 Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
64,AT001_060,Num,8,BEST12.,BEST32.,AT001_060 Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
65,AT001_061,Num,8,BEST12.,BEST32.,AT001_061 Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
66,AT001_062,Num,8,BEST12.,BEST32.,AT001_062 Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
67,AT001_063,Char,4,$4.00 ,$4.00 ,AT001_063 Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
68,AT001_064,Char,4,$4.00 ,$4.00 ,AT001_064 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
69,AT001_065,Num,8,BEST12.,BEST32.,AT001_065 Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
70,AT001_066,Num,8,BEST12.,BEST32.,AT001_066 Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
71,AT001_067,Num,8,BEST12.,BEST32.,AT001_067 Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
72,AT001_068,Num,8,BEST12.,BEST32.,AT001_068 Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
73,AT001_069,Char,4,$4.00 ,$4.00 ,AT001_069 Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
74,AT001_070,Char,4,$4.00 ,$4.00 ,AT001_070 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
75,AT001_071,Num,8,BEST12.,BEST32.,AT001_071 Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
76,AT001_072,Num,8,BEST12.,BEST32.,AT001_072 Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
77,AT001_073,Num,8,BEST12.,BEST32.,AT001_073 Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
78,AT001_074,Num,8,BEST12.,BEST32.,AT001_074 Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
79,AT001_075,Char,4,$4.00 ,$4.00 ,AT001_075 Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
80,AT001_076,Char,4,$4.00 ,$4.00 ,AT001_076 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
81,AT001_077,Num,8,BEST12.,BEST32.,AT001_077 Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
82,AT001_078,Num,8,BEST12.,BEST32.,AT001_078 Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
83,AT001_079,Num,8,BEST12.,BEST32.,AT001_079 Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
84,AT001_080,Num,8,BEST12.,BEST32.,AT001_080 Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
85,AT001_081,Char,4,$4.00 ,$4.00 ,AT001_081 Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
86,AT001_082,Char,4,$4.00 ,$4.00 ,AT001_082 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
87,AT001_083,Num,8,BEST12.,BEST32.,AT001_083 Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
88,AT001_084,Num,8,BEST12.,BEST32.,AT001_084 Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
89,AT001_085,Num,8,BEST12.,BEST32.,AT001_085 Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
90,AT001_086,Num,8,BEST12.,BEST32.,AT001_086 Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
91,AT001_087,Char,4,$4.00 ,$4.00 ,AT001_087 Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
92,AT001_088,Char,4,$4.00 ,$4.00 ,AT001_088 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
93,AT001_089,Num,8,BEST12.,BEST32.,AT001_089 Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
94,AT001_090,Num,8,BEST12.,BEST32.,AT001_090 Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
95,AT001_091,Num,8,BEST12.,BEST32.,AT001_091 Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
96,AT001_092,Num,8,BEST12.,BEST32.,AT001_092 Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
97,AT001_093,Char,4,$4.00 ,$4.00 ,AT001_093 Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
98,AT001_094,Char,4,$4.00 ,$4.00 ,AT001_094 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
99,AT001_095,Num,8,BEST12.,BEST32.,AT001_095 Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
100,AT001_096,Num,8,BEST12.,BEST32.,AT001_096 Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
101,AT001_097,Num,8,BEST12.,BEST32.,AT001_097 Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
102,AT001_098,Num,8,BEST12.,BEST32.,AT001_098 Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
103,AT001_099,Char,4,$4.00 ,$4.00 ,AT001_099 Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
104,AT001_100,Char,4,$4.00 ,$4.00 ,AT001_100 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino origin (of any race)
105,AT001_101,Num,8,BEST12.,BEST32.,"AT001_101 Total; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
106,AT001_102,Num,8,BEST12.,BEST32.,"AT001_102 Total; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
107,AT001_103,Num,8,BEST12.,BEST32.,"AT001_103 Below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
108,AT001_104,Num,8,BEST12.,BEST32.,"AT001_104 Below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
109,AT001_105,Char,4,$4.00 ,$4.00 ,"AT001_105 Percent below poverty level; Estimate; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
110,AT001_106,Char,3,$3.00 ,$3.00 ,"AT001_106 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino"
111,AT001_107,Num,8,BEST12.,BEST32.,AT001_107 Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
112,AT001_108,Num,8,BEST12.,BEST32.,AT001_108 Total; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
113,AT001_109,Num,8,BEST12.,BEST32.,AT001_109 Below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
114,AT001_110,Num,8,BEST12.,BEST32.,AT001_110 Below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
115,AT001_111,Char,4,$4.00 ,$4.00 ,AT001_111 Percent below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
116,AT001_112,Char,3,$3.00 ,$3.00 ,AT001_112 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over
117,AT001_113,Num,8,BEST12.,BEST32.,AT001_113 Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
118,AT001_114,Num,8,BEST12.,BEST32.,AT001_114 Total; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
119,AT001_115,Num,8,BEST12.,BEST32.,AT001_115 Below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
120,AT001_116,Num,8,BEST12.,BEST32.,AT001_116 Below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
121,AT001_117,Char,4,$4.00 ,$4.00 ,AT001_117 Percent below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
122,AT001_118,Char,4,$4.00 ,$4.00 ,AT001_118 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school graduate
123,AT001_119,Num,8,BEST12.,BEST32.,AT001_119 Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
124,AT001_120,Num,8,BEST12.,BEST32.,AT001_120 Total; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
125,AT001_121,Num,8,BEST12.,BEST32.,AT001_121 Below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
126,AT001_122,Num,8,BEST12.,BEST32.,AT001_122 Below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
127,AT001_123,Char,4,$4.00 ,$4.00 ,AT001_123 Percent below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
128,AT001_124,Char,3,$3.00 ,$3.00 ,AT001_124 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency)
129,AT001_125,Num,8,BEST12.,BEST32.,"AT001_125 Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
130,AT001_126,Num,8,BEST12.,BEST32.,"AT001_126 Total; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
131,AT001_127,Num,8,BEST12.,BEST32.,"AT001_127 Below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
132,AT001_128,Num,8,BEST12.,BEST32.,"AT001_128 Below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
133,AT001_129,Char,4,$4.00 ,$4.00 ,"AT001_129 Percent below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
134,AT001_130,Char,3,$3.00 ,$3.00 ,"AT001_130 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, associate's degree"
135,AT001_131,Num,8,BEST12.,BEST32.,AT001_131 Total; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
136,AT001_132,Num,8,BEST12.,BEST32.,AT001_132 Total; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
137,AT001_133,Num,8,BEST12.,BEST32.,AT001_133 Below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
138,AT001_134,Num,8,BEST12.,BEST32.,AT001_134 Below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
139,AT001_135,Char,3,$3.00 ,$3.00 ,AT001_135 Percent below poverty level; Estimate; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
140,AT001_136,Char,3,$3.00 ,$3.00 ,AT001_136 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree or higher
141,AT001_137,Num,8,BEST12.,BEST32.,AT001_137 Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
142,AT001_138,Num,8,BEST12.,BEST32.,AT001_138 Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
143,AT001_139,Num,8,BEST12.,BEST32.,AT001_139 Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
144,AT001_140,Num,8,BEST12.,BEST32.,AT001_140 Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
145,AT001_141,Char,3,$3.00 ,$3.00 ,AT001_141 Percent below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
146,AT001_142,Char,3,$3.00 ,$3.00 ,AT001_142 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over
147,AT001_143,Num,8,BEST12.,BEST32.,AT001_143 Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
148,AT001_144,Num,8,BEST12.,BEST32.,AT001_144 Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
149,AT001_145,Num,8,BEST12.,BEST32.,AT001_145 Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
150,AT001_146,Num,8,BEST12.,BEST32.,AT001_146 Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
151,AT001_147,Char,3,$3.00 ,$3.00 ,AT001_147 Percent below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
152,AT001_148,Char,3,$3.00 ,$3.00 ,AT001_148 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed
153,AT001_149,Num,8,BEST12.,BEST32.,AT001_149 Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
154,AT001_150,Num,8,BEST12.,BEST32.,AT001_150 Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
155,AT001_151,Num,8,BEST12.,BEST32.,AT001_151 Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
156,AT001_152,Num,8,BEST12.,BEST32.,AT001_152 Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
157,AT001_153,Char,3,$3.00 ,$3.00 ,AT001_153 Percent below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
158,AT001_154,Char,3,$3.00 ,$3.00 ,AT001_154 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Male
159,AT001_155,Num,8,BEST12.,BEST32.,AT001_155 Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
160,AT001_156,Num,8,BEST12.,BEST32.,AT001_156 Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
161,AT001_157,Num,8,BEST12.,BEST32.,AT001_157 Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
162,AT001_158,Num,8,BEST12.,BEST32.,AT001_158 Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
163,AT001_159,Char,3,$3.00 ,$3.00 ,AT001_159 Percent below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
164,AT001_160,Char,3,$3.00 ,$3.00 ,AT001_160 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Employed - Female
165,AT001_161,Num,8,BEST12.,BEST32.,AT001_161 Total; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
166,AT001_162,Num,8,BEST12.,BEST32.,AT001_162 Total; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
167,AT001_163,Num,8,BEST12.,BEST32.,AT001_163 Below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
168,AT001_164,Num,8,BEST12.,BEST32.,AT001_164 Below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
169,AT001_165,Char,4,$4.00 ,$4.00 ,AT001_165 Percent below poverty level; Estimate; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
170,AT001_166,Char,4,$4.00 ,$4.00 ,AT001_166 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - EMPLOYMENT STATUS - Civilian labor force 16 years and over - Unemployed
