"Municipal","County","State","Year","Residential","Open.Space","Commercial","Industrial","Personal.Property","Total.Assessed","R/O as % of Total Value","CIP as % of Total Value","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Assessed","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property","Total_Assessed_Pct_Change","Total_Assessed_Million","Residential_Million","Open_Space_Million","Commercial_Million","Industrial_Million","Personal_Property_Million"
"Bourne","Barnstable","MA",2011,3870024721,0,391147829,33203910,99747500,4394123960,88.07,11.93,4129266260,0,417349668,35428142,106429291,4688473361,88.07,0,8.9,0.76,2.27,21.8,4688.47,4129.27,0,417.35,35.43,106.43
"Bourne","Barnstable","MA",2012,3578236558,0,378290712,31454500,100014230,4087996000,87.53,12.47,3740523801,0,395447699,32881087,104550273,4273402859,87.53,0,9.25,0.77,2.45,11.1,4273.4,3740.52,0,395.45,32.88,104.55
"Bourne","Barnstable","MA",2013,3577954295,0,374249795,31253700,99433210,4082891000,87.63,12.37,3686234268,0,385575752,32199534,102442367,4206451921,87.63,0,9.17,0.77,2.44,9.3,4206.45,3686.23,0,385.58,32.2,102.44
"Bourne","Barnstable","MA",2014,3604363498,0,367127612,29950790,104563070,4106004970,87.78,12.22,3654165273,0,372200243,30364622,106007826,4162737965,87.78,0,8.94,0.73,2.55,8.2,4162.74,3654.17,0,372.2,30.36,106.01
"Bourne","Barnstable","MA",2015,3586158706,0,355805834,33561700,119995720,4095521960,87.56,12.44,3631398560,0,360294370,33985085,121509481,4147187497,87.56,0,8.69,0.82,2.93,7.8,4147.19,3631.4,0,360.29,33.99,121.51
"Bourne","Barnstable","MA",2016,3698572542,0,355887798,33951500,131102370,4219514210,87.65,12.35,3698572542,0,355887798,33951500,131102370,4219514210,87.65,0,8.43,0.8,3.11,9.7,4219.51,3698.57,0,355.89,33.95,131.1
"Bourne","Barnstable","MA",2017,3847498941,0,353622119,35127500,138205200,4374453760,87.95,12.05,3847498941,0,353622119,35127500,138205200,4374453760,87.95,0,8.08,0.8,3.16,13.7,4374.45,3847.5,0,353.62,35.13,138.21
"Brewster","Barnstable","MA",2003,2105255727,0,115858013,5405000,43301830,2269820570,92.75,7.25,2746065822,0,151123555,7050206,56482295,2960721878,92.75,0,5.1,0.24,1.91,0,2960.72,2746.07,0,151.12,7.05,56.48
"Brewster","Barnstable","MA",2004,2412448967,0,122625053,9865600,47489480,2592429100,93.06,6.94,3065138376,0,155801329,12534744,60337785,3293812234,93.06,0,4.73,0.38,1.83,11.3,3293.81,3065.14,0,155.8,12.53,60.34
"Brewster","Barnstable","MA",2005,3026822332,0,127322428,10423700,55439560,3220008020,94,6,3719705824,0,156468377,12809836,68130479,3957114515,94,0,3.95,0.32,1.72,33.7,3957.11,3719.71,0,156.47,12.81,68.13
"Brewster","Barnstable","MA",2006,3446053665,0,141716615,8155000,56318470,3652243750,94.35,5.65,4102564494,0,168715177,9708616,67047753,4348036040,94.35,0,3.88,0.22,1.54,46.9,4348.04,4102.56,0,168.72,9.71,67.05
"Brewster","Barnstable","MA",2007,3663604330,0,156038020,9314100,32062000,3861018450,94.89,5.11,4240774587,0,180620507,10781459,37113100,4469289653,94.89,0,4.04,0.24,0.83,51,4469.29,4240.77,0,180.62,10.78,37.11
"Brewster","Barnstable","MA",2008,3659276435,0,159793855,9391500,30530330,3858992120,94.82,5.18,4079144087,0,178128701,10469087,34033399,4301775274,94.82,0,4.14,0.24,0.79,45.3,4301.78,4079.14,0,178.13,10.47,34.03
"Brewster","Barnstable","MA",2009,3587865966,0,161870154,10129700,33795470,3793661290,94.58,5.42,4013820212,0,181087505,11332306,37807695,4244047718,94.58,0,4.27,0.27,0.89,43.3,4244.05,4013.82,0,181.09,11.33,37.81
"Brewster","Barnstable","MA",2010,3539749545,0,164629445,10086100,38376280,3752841370,94.32,5.68,3896084809,0,181202165,11101435,42239497,4130627906,94.32,0,4.39,0.27,1.02,39.5,4130.63,3896.08,0,181.2,11.1,42.24
"Brewster","Barnstable","MA",2011,3227010196,0,151680284,9300200,39616660,3427607340,94.15,5.85,3443178089,0,161840899,9923193,42270463,3657212644,94.15,0,4.43,0.27,1.16,23.5,3657.21,3443.18,0,161.84,9.92,42.27
"Brewster","Barnstable","MA",2012,3153569867,0,146327053,8886500,37398990,3346182410,94.24,5.76,3296596789,0,152963566,9289538,39095183,3497945076,94.24,0,4.37,0.27,1.12,18.1,3497.95,3296.6,0,152.96,9.29,39.1
"Brewster","Barnstable","MA",2013,3062749028,0,141858222,9755400,37604460,3251967110,94.18,5.82,3155437295,0,146151291,10050629,38742487,3350381702,94.18,0,4.36,0.3,1.16,13.2,3350.38,3155.44,0,146.15,10.05,38.74
"Brewster","Barnstable","MA",2014,3117618427,0,147017123,9128100,39350890,3313114540,94.1,5.9,3160694807,0,149048470,9254224,39894604,3358892105,94.1,0,4.44,0.28,1.19,13.4,3358.89,3160.69,0,149.05,9.25,39.89
"Brewster","Barnstable","MA",2015,3180645100,0,147080880,9188400,42830310,3379744690,94.11,5.89,3220769348,0,148936324,9304313,43370620,3422380605,94.11,0,4.35,0.27,1.27,15.6,3422.38,3220.77,0,148.94,9.3,43.37
"Brewster","Barnstable","MA",2016,3269388067,0,150511013,10683200,44071390,3474653670,94.09,5.91,3269388067,0,150511013,10683200,44071390,3474653670,94.09,0,4.33,0.31,1.27,17.4,3474.65,3269.39,0,150.51,10.68,44.07
"Brewster","Barnstable","MA",2017,3410315173,0,147314177,11642000,49886920,3619158270,94.23,5.77,3410315173,0,147314177,11642000,49886920,3619158270,94.23,0,4.07,0.32,1.38,22.2,3619.16,3410.32,0,147.31,11.64,49.89
"Chatham","Barnstable","MA",2003,2776375719,0,214719273,10624808,25229879,3026949679,91.72,8.28,3621465256,0,280076786,13858849,32909498,3948310389,91.72,0,7.09,0.35,0.83,0,3948.31,3621.47,0,280.08,13.86,32.91
"Chatham","Barnstable","MA",2004,4185750418,0,242724514,13741782,31752057,4473968771,93.56,6.44,5318207520,0,308393766,17459629,40342594,5684403509,93.56,0,5.43,0.31,0.71,44,5684.4,5318.21,0,308.39,17.46,40.34
"Chatham","Barnstable","MA",2005,4958749595,0,257174782,15806944,37296723,5269028044,94.11,5.89,6093879232,0,316045816,19425383,45834483,6475184914,94.11,0,4.88,0.3,0.71,64,6475.18,6093.88,0,316.05,19.43,45.83
"Chatham","Barnstable","MA",2006,5451938845,0,289532590,17502565,45418605,5804392605,93.93,6.07,6490592690,0,344691708,20836995,54071345,6910192738,93.93,0,4.99,0.3,0.78,75,6910.19,6490.59,0,344.69,20.84,54.07
"Chatham","Barnstable","MA",2007,6090554615,0,313558515,26341470,22308418,6452763018,94.39,5.61,7050070615,0,362957040,30491349,25822923,7469341926,94.39,0,4.86,0.41,0.35,89.2,7469.34,7050.07,0,362.96,30.49,25.82
"Chatham","Barnstable","MA",2008,5990905365,0,320954765,30436670,25254372,6367551172,94.08,5.92,6678305569,0,357781314,33928992,28152074,7098167950,94.08,0,5.04,0.48,0.4,79.8,7098.17,6678.31,0,357.78,33.93,28.15
"Chatham","Barnstable","MA",2009,6004324648,0,347582892,30881660,28908316,6411697516,93.65,6.35,6717162754,0,388848204,34547955,32340334,7172899247,93.65,0,5.42,0.48,0.45,81.7,7172.9,6717.16,0,388.85,34.55,32.34
"Chatham","Barnstable","MA",2010,5949895817,0,347898048,35056635,31198734,6364049234,93.49,6.51,6548852796,0,382919832,38585674,34339411,7004697713,93.49,0,5.47,0.55,0.49,77.4,7004.7,6548.85,0,382.92,38.59,34.34
"Chatham","Barnstable","MA",2011,5440065307,0,342716473,35972020,33322350,5852076150,92.96,7.04,5804479233,0,365674038,38381679,35554516,6244089467,92.96,0,5.86,0.61,0.57,58.1,6244.09,5804.48,0,365.67,38.38,35.55
"Chatham","Barnstable","MA",2012,5459707886,0,339064694,36444220,34877010,5870093810,93.01,6.99,5707327328,0,354442625,38097110,36458821,6136325884,93.01,0,5.78,0.62,0.59,55.4,6136.33,5707.33,0,354.44,38.1,36.46
"Chatham","Barnstable","MA",2013,5380886064,0,355685721,20640735,34676510,5791889030,92.9,7.1,5543728334,0,366449872,21265388,35725929,5967169522,92.9,0,6.14,0.36,0.6,51.1,5967.17,5543.73,0,366.45,21.27,35.73
"Chatham","Barnstable","MA",2014,5372769946,0,349059609,20766215,35667540,5778263310,92.98,7.02,5447005932,0,353882593,21053143,36160361,5858102030,92.98,0,6.04,0.36,0.62,48.4,5858.1,5447.01,0,353.88,21.05,36.16
"Chatham","Barnstable","MA",2015,5541766223,0,348162632,20852715,38615420,5949396990,93.15,6.85,5611676318,0,352554748,21115775,39102558,6024449400,93.15,0,5.85,0.35,0.65,52.6,6024.45,5611.68,0,352.55,21.12,39.1
"Chatham","Barnstable","MA",2016,5778932039,0,359039486,25188055,40156880,6203316460,93.16,6.84,5778932039,0,359039486,25188055,40156880,6203316460,93.16,0,5.79,0.41,0.65,57.1,6203.32,5778.93,0,359.04,25.19,40.16
"Chatham","Barnstable","MA",2017,5998136930,0,370959845,25807625,43681800,6438586200,93.16,6.84,5998136930,0,370959845,25807625,43681800,6438586200,93.16,0,5.76,0.4,0.68,63.1,6438.59,5998.14,0,370.96,25.81,43.68
"Dennis","Barnstable","MA",2003,3666004438,722400,232608952,15080600,102233860,4016650250,91.29,8.71,4781884387,942288,303411830,19670922,133352402,5239261829,91.27,0.02,5.79,0.38,2.55,0,5239.26,4781.88,0.94,303.41,19.67,133.35
"Dennis","Barnstable","MA",2004,4691564860,846700,263784150,16723200,86093430,5059012340,92.75,7.25,5960870341,1075775,335151098,21247671,109386055,6427730941,92.74,0.02,5.21,0.33,1.7,22.7,6427.73,5960.87,1.08,335.15,21.25,109.39
"Dennis","Barnstable","MA",2005,5218353458,817200,300671472,19965800,53752018,5593559948,93.31,6.69,6412910181,1004269,369499529,24536261,66056634,6874006874,93.29,0.01,5.38,0.36,0.96,31.2,6874.01,6412.91,1,369.5,24.54,66.06
"Dennis","Barnstable","MA",2006,5816462064,1150500,348175836,23850800,57212810,6246852010,93.13,6.87,6924561560,1369683,414507132,28394638,68112475,7436945488,93.11,0.02,5.57,0.38,0.92,41.9,7436.95,6924.56,1.37,414.51,28.39,68.11
"Dennis","Barnstable","MA",2007,6200949945,995500,368213355,23761800,59883330,6653803930,93.21,6.79,7177857807,1152333,426222293,27505273,69317448,7702055154,93.19,0.01,5.53,0.36,0.9,47,7702.06,7177.86,1.15,426.22,27.51,69.32
"Dennis","Barnstable","MA",2008,6239624772,711900,375053658,24657600,64537400,6704585330,93.08,6.92,6955563195,793584,418087548,27486828,71942461,7473873617,93.07,0.01,5.59,0.37,0.96,42.7,7473.87,6955.56,0.79,418.09,27.49,71.94
"Dennis","Barnstable","MA",2009,6112060169,643000,374631391,24667700,73257800,6585260060,92.82,7.18,6837688720,719337,419107922,27596269,81955023,7367067271,92.81,0.01,5.69,0.37,1.11,40.6,7367.07,6837.69,0.72,419.11,27.6,81.96
"Dennis","Barnstable","MA",2010,5841481823,596600,370363207,23827200,75170130,6311438960,92.56,7.44,6429525112,656658,407646486,26225808,82737267,6946791331,92.55,0.01,5.87,0.38,1.19,32.6,6946.79,6429.53,0.66,407.65,26.23,82.74
"Dennis","Barnstable","MA",2011,5590054555,618100,369666405,23750200,77341010,6061430270,92.23,7.77,5964515818,659505,394429267,25341156,82521856,6467467601,92.22,0.01,6.1,0.39,1.28,23.4,6467.47,5964.52,0.66,394.43,25.34,82.52
"Dennis","Barnstable","MA",2012,5398029939,603400,358649671,24683000,76212090,5858178100,92.16,7.84,5642852041,630767,374915858,25802472,79668611,6123869749,92.15,0.01,6.12,0.42,1.3,16.9,6123.87,5642.85,0.63,374.92,25.8,79.67
"Dennis","Barnstable","MA",2013,5385094151,595200,354865229,23894000,76659520,5841108100,92.2,7.8,5548063771,613213,365604549,24617106,78979474,6017878114,92.19,0.01,6.08,0.41,1.31,14.9,6017.88,5548.06,0.61,365.6,24.62,78.98
"Dennis","Barnstable","MA",2014,5430544151,671578,358198771,25236700,75750260,5890401460,92.2,7.8,5505578408,680857,363148032,25585397,76796907,5971789602,92.19,0.01,6.08,0.43,1.29,14,5971.79,5505.58,0.68,363.15,25.59,76.8
"Dennis","Barnstable","MA",2015,5608073468,703392,365293280,32016700,78768840,6084855680,92.18,7.82,5678820038,712265,369901502,32420595,79762519,6161616919,92.16,0.01,6,0.53,1.29,17.6,6161.62,5678.82,0.71,369.9,32.42,79.76
"Dennis","Barnstable","MA",2016,5659961512,731492,368379876,29239500,79580670,6137893050,92.23,7.77,5659961512,731492,368379876,29239500,79580670,6137893050,92.21,0.01,6,0.48,1.3,17.2,6137.89,5659.96,0.73,368.38,29.24,79.58
"Dennis","Barnstable","MA",2017,5974715354,660063,368556883,39058000,98591030,6481581330,92.19,7.81,5974715354,660063,368556883,39058000,98591030,6481581330,92.18,0.01,5.69,0.6,1.52,23.7,6481.58,5974.72,0.66,368.56,39.06,98.59
"Eastham","Barnstable","MA",2003,1130571770,0,41588160,3867100,32884110,1208911140,93.52,6.48,1474701841,0,54247008,5044191,42893568,1576886609,93.52,0,3.44,0.32,2.72,0,1576.89,1474.7,0,54.25,5.04,42.89
"Eastham","Barnstable","MA",2004,2227075828,0,71684342,5140700,33706460,2337607330,95.27,4.73,2829612431,0,91078581,6531519,42825761,2970048292,95.27,0,3.07,0.22,1.44,88.3,2970.05,2829.61,0,91.08,6.53,42.83
"Eastham","Barnstable","MA",2005,2371353615,0,76009385,5523500,33640829,2486527329,95.37,4.63,2914190820,0,93409035,6787909,41341702,3055729466,95.37,0,3.06,0.22,1.35,93.8,3055.73,2914.19,0,93.41,6.79,41.34
"Eastham","Barnstable","MA",2006,2767099470,0,78692740,6194400,39140070,2891126680,95.71,4.29,3294262116,0,93684566,7374501,46596680,3441917863,95.71,0,2.72,0.21,1.35,118.3,3441.92,3294.26,0,93.68,7.37,46.6
"Eastham","Barnstable","MA",2007,2914772131,0,83187389,6474800,20691470,3025125790,96.35,3.65,3373970131,0,96292867,7494851,23951238,3501709087,96.35,0,2.75,0.21,0.68,122.1,3501.71,3373.97,0,96.29,7.49,23.95
"Eastham","Barnstable","MA",2008,2889346584,0,81671456,8515900,22104760,3001638700,96.26,3.74,3220872006,0,91042490,9493020,24641074,3346048590,96.26,0,2.72,0.28,0.74,112.2,3346.05,3220.87,0,91.04,9.49,24.64
"Eastham","Barnstable","MA",2009,2814907929,0,80024771,8223800,23942760,2927099260,96.17,3.83,3149095994,0,89525374,9200136,26785263,3274606768,96.17,0,2.73,0.28,0.82,107.7,3274.61,3149.1,0,89.53,9.2,26.79
"Eastham","Barnstable","MA",2010,2780889462,0,83440708,8149000,25383070,2897862240,95.96,4.04,3060832709,0,91840417,8969334,27938302,3189580762,95.96,0,2.88,0.28,0.88,102.3,3189.58,3060.83,0,91.84,8.97,27.94
"Eastham","Barnstable","MA",2011,2646405606,0,79825324,7879300,26141630,2760251860,95.88,4.12,2823680510,0,85172587,8407111,27892781,2945152989,95.88,0,2.89,0.29,0.95,86.8,2945.15,2823.68,0,85.17,8.41,27.89
"Eastham","Barnstable","MA",2012,2600605580,0,76951430,7665500,25725850,2710948360,95.93,4.07,2718553374,0,80441483,8013161,26892619,2833900638,95.93,0,2.84,0.28,0.95,79.7,2833.9,2718.55,0,80.44,8.01,26.89
"Eastham","Barnstable","MA",2013,2571863541,0,75497179,7808600,25322040,2680491360,95.95,4.05,2649696094,0,77781957,8044912,26088363,2761611327,95.95,0,2.82,0.29,0.94,75.1,2761.61,2649.7,0,77.78,8.04,26.09
"Eastham","Barnstable","MA",2014,2536458084,0,73438386,7674100,25219880,2642790450,95.98,4.02,2571504526,0,74453090,7780134,25568345,2679306094,95.98,0,2.78,0.29,0.95,69.9,2679.31,2571.5,0,74.45,7.78,25.57
"Eastham","Barnstable","MA",2015,2552517311,0,71861939,7629800,25985340,2657994390,96.03,3.97,2584717646,0,72768487,7726051,26313148,2691525332,96.03,0,2.7,0.29,0.98,70.7,2691.53,2584.72,0,72.77,7.73,26.31
"Eastham","Barnstable","MA",2016,2619816974,0,71980916,7640300,26098990,2725537180,96.12,3.88,2619816974,0,71980916,7640300,26098990,2725537180,96.12,0,2.64,0.28,0.96,72.8,2725.54,2619.82,0,71.98,7.64,26.1
"Eastham","Barnstable","MA",2017,2673655590,0,72583420,9341700,27257050,2782837760,96.08,3.92,2673655590,0,72583420,9341700,27257050,2782837760,96.08,0,2.61,0.34,0.98,76.5,2782.84,2673.66,0,72.58,9.34,27.26
"Falmouth","Barnstable","MA",2003,6264933373,1252400,368669777,40830300,105301207,6780987057,92.41,7.59,8171890566,1633613,480887648,53258466,137353406,8845023699,92.39,0.02,5.44,0.6,1.55,0,8845.02,8171.89,1.63,480.89,53.26,137.35
"Falmouth","Barnstable","MA",2004,6942896293,1222400,399394792,43988300,120445775,7507947560,92.49,7.51,8821300744,1553121,507451275,55889359,153032446,9539226946,92.47,0.02,5.32,0.59,1.6,7.8,9539.23,8821.3,1.55,507.45,55.89,153.03
"Falmouth","Barnstable","MA",2005,9479964258,1830600,579542007,67068900,136301470,10264707235,92.37,7.63,11650065446,2249651,712207570,82421943,167502852,12614447462,92.35,0.02,5.65,0.65,1.33,42.6,12614.45,11650.07,2.25,712.21,82.42,167.5
"Falmouth","Barnstable","MA",2006,10458674310,2530300,615703183,70771100,152775550,11300454443,92.57,7.43,12451165898,3012350,733001358,84253767,181880959,13453314333,92.55,0.02,5.45,0.63,1.35,52.1,13453.31,12451.17,3.01,733,84.25,181.88
"Falmouth","Barnstable","MA",2007,11425681586,2777100,640047878,75112600,162771218,12306390382,92.87,7.13,13225702272,3214609,740882074,86945963,188414464,14245159381,92.84,0.02,5.2,0.61,1.32,61.1,14245.16,13225.7,3.21,740.88,86.95,188.41
"Falmouth","Barnstable","MA",2008,11307501583,5732500,678241088,82961700,179101752,12253538623,92.33,7.67,12604931341,6390251,756062892,92480777,199651998,13659517258,92.28,0.05,5.54,0.68,1.46,54.4,13659.52,12604.93,6.39,756.06,92.48,199.65
"Falmouth","Barnstable","MA",2009,10899153336,5316700,670114194,80525000,193049863,11848159093,92.04,7.96,12193109322,5947903,749670674,90084991,215968893,13254781783,91.99,0.04,5.66,0.68,1.63,49.9,13254.78,12193.11,5.95,749.67,90.08,215.97
"Falmouth","Barnstable","MA",2010,10288846988,3877700,611416088,76338300,195273690,11175752766,92.1,7.9,11324592302,4268056,672965390,84023032,214931268,12300780048,92.06,0.03,5.47,0.68,1.75,39.1,12300.78,11324.59,4.27,672.97,84.02,214.93
"Falmouth","Barnstable","MA",2011,10196026282,3504000,590585951,72056800,183094344,11045267377,92.34,7.66,10879028003,3738723,630147562,76883672,195359294,11785157253,92.31,0.03,5.35,0.65,1.66,33.2,11785.16,10879.03,3.74,630.15,76.88,195.36
"Falmouth","Barnstable","MA",2012,9758565141,3314900,568619409,70768200,178594045,10579861695,92.27,7.73,10201154838,3465244,594408558,73977819,186693994,11059700453,92.24,0.03,5.37,0.67,1.69,25,11059.7,10201.15,3.47,594.41,73.98,186.69
"Falmouth","Barnstable","MA",2013,9783235733,3289200,574980651,72537600,180898159,10614941343,92.2,7.8,10079306733,3388741,592381346,74732812,186372697,10936182329,92.16,0.03,5.42,0.68,1.7,23.6,10936.18,10079.31,3.39,592.38,74.73,186.37
"Falmouth","Barnstable","MA",2014,9926397342,3248800,578777042,73842400,178513638,10760779222,92.28,7.72,10063551158,3293689,586774050,74862686,180980175,10909461758,92.25,0.03,5.38,0.69,1.66,23.3,10909.46,10063.55,3.29,586.77,74.86,180.98
"Falmouth","Barnstable","MA",2015,10163699470,3425200,605660141,79392800,193320043,11045497654,92.05,7.95,10291915849,3468409,613300622,80394350,195758800,11184838030,92.02,0.03,5.48,0.72,1.75,26.5,11184.84,10291.92,3.47,613.3,80.39,195.76
"Falmouth","Barnstable","MA",2016,10268959256,3232100,604755692,77683600,239818381,11194449029,91.76,8.24,10268959256,3232100,604755692,77683600,239818381,11194449029,91.73,0.03,5.4,0.69,2.14,26.6,11194.45,10268.96,3.23,604.76,77.68,239.82
"Falmouth","Barnstable","MA",2017,10384849550,3251100,607421068,80184800,244381580,11320088098,91.77,8.23,10384849550,3251100,607421068,80184800,244381580,11320088098,91.74,0.03,5.37,0.71,2.16,28,11320.09,10384.85,3.25,607.42,80.18,244.38
"Harwich","Barnstable","MA",2003,3040782578,0,191782642,19158400,82046670,3333770290,91.21,8.79,3966353827,0,250158568,24989946,107020517,4348522859,91.21,0,5.75,0.57,2.46,0,4348.52,3966.35,0,250.16,24.99,107.02
"Harwich","Barnstable","MA",2004,3901234657,0,217336943,22042600,70760200,4211374400,92.64,7.36,4956715862,0,276137574,28006238,89904411,5350764085,92.64,0,5.16,0.52,1.68,23,5350.76,4956.72,0,276.14,28.01,89.9
"Harwich","Barnstable","MA",2005,4237802944,0,236309606,25151700,75104258,4574368508,92.64,7.36,5207897446,0,290404299,30909289,92296711,5621507744,92.64,0,5.17,0.55,1.64,29.3,5621.51,5207.9,0,290.4,30.91,92.3
"Harwich","Barnstable","MA",2006,4669815549,0,256590121,27914000,76029550,5030349220,92.83,7.17,5559466371,0,305473339,33231922,90514009,5988685641,92.83,0,5.1,0.55,1.51,37.7,5988.69,5559.47,0,305.47,33.23,90.51
