"Municipal","State","Year","Average_Monthly_Employment","Average_Weekly_Wage","Number_of_Employer_Establishments","Total_Wages_Paid_to_All_Workers","Inflation_Adjusted_Average_Weekly_Wage","Change","Employment_Change_Pct","Establishment_Change","Establishment_Change_Pct","Average_Weekly_Wage_Change","Average_Weekly_Wage_Change_Pct","Employment_difference","Establishment_difference","Average_Weekly_Wage_difference"
"Acushnet","MA",2008,1340,665,201,46336756,709,0.633270321361059,63.3,1.06914893617021,106.9,0.812142038946163,81.2,-36.7,6.9,-18.8
"Acushnet","MA",2009,1102,664,193,38025581,711,0.520793950850662,52.1,1.02659574468085,102.7,0.814432989690722,81.4,-47.9,2.7,-18.6
"Acushnet","MA",2010,1130,704,203,41376889,741,0.534026465028355,53.4,1.07978723404255,108,0.848797250859107,84.9,-46.6,8,-15.1
"Acushnet","MA",2011,1130,727,198,42729419,742,0.534026465028355,53.4,1.0531914893617,105.3,0.849942726231386,85,-46.6,5.3,-15
"Acushnet","MA",2012,1177,707,190,43249021,707,0.556238185255199,55.6,1.01063829787234,101.1,0.809851088201604,81,-44.4,1.1,-19
"Adams","MA",2003,2061,596,200,63830678,744,1,100,1,100,1,100,0,0,0
"Adams","MA",2004,1912,613,205,60922310,745,0.927704997573993,92.8,1.025,102.5,1.00134408602151,100.1,-7.2,2.5,0.1
"Adams","MA",2005,1894,612,196,60296646,719,0.918971373119845,91.9,0.98,98,0.966397849462366,96.6,-8.1,-2,-3.4
"Adams","MA",2006,1920,662,207,66105937,754,0.931586608442504,93.2,1.035,103.5,1.01344086021505,101.3,-6.8,3.5,1.3
"Adams","MA",2007,1833,666,206,63502061,737,0.889374090247453,88.9,1.03,103,0.990591397849462,99.1,-11.1,3,-0.9
"Adams","MA",2008,1824,688,207,65232780,734,0.885007278020378,88.5,1.035,103.5,0.986559139784946,98.7,-11.5,3.5,-1.3
"Adams","MA",2009,1719,696,211,62184244,745,0.834061135371179,83.4,1.055,105.5,1.00134408602151,100.1,-16.6,5.5,0.1
"Adams","MA",2010,1756,701,223,64007346,738,0.85201358563804,85.2,1.115,111.5,0.991935483870968,99.2,-14.8,11.5,-0.8
"Adams","MA",2011,1759,703,227,64288690,718,0.853469189713731,85.3,1.135,113.5,0.96505376344086,96.5,-14.7,13.5,-3.5
"Adams","MA",2012,1813,731,227,68917185,731,0.879670063076177,88,1.135,113.5,0.98252688172043,98.3,-12,13.5,-1.7
"Agawam","MA",2003,11301,599,733,352278838,747,1,100,1,100,1,100,0,0,0
"Agawam","MA",2004,11823,622,753,382434722,756,1.04619060260154,104.6,1.02728512960437,102.7,1.01204819277108,101.2,4.6,2.7,1.2
"Agawam","MA",2005,12125,640,755,403762427,752,1.07291390142465,107.3,1.0300136425648,103,1.00669344042838,100.7,7.3,3,0.7
"Agawam","MA",2006,12130,671,768,423115065,764,1.07335634014689,107.3,1.04774897680764,104.8,1.02275769745649,102.3,7.3,4.8,2.3
"Agawam","MA",2007,12020,713,772,445779786,790,1.06362268825768,106.4,1.05320600272851,105.3,1.05756358768407,105.8,6.4,5.3,5.8
"Agawam","MA",2008,12091,729,760,458526302,777,1.06990531811344,107,1.03683492496589,103.7,1.04016064257028,104,7,3.7,4
"Agawam","MA",2009,11562,727,754,436884798,778,1.02309530130077,102.3,1.02864938608458,102.9,1.04149933065596,104.1,2.3,2.9,4.1
"Agawam","MA",2010,11637,744,769,450296454,783,1.02973188213432,103,1.04911323328786,104.9,1.04819277108434,104.8,3,4.9,4.8
"Agawam","MA",2011,11823,755,775,463958090,771,1.04619060260154,104.6,1.05729877216917,105.7,1.03212851405622,103.2,4.6,5.7,3.2
"Agawam","MA",2012,11953,806,772,500699686,806,1.0576940093797,105.8,1.05320600272851,105.3,1.07898259705489,107.9,5.8,5.3,7.9
"Alford","MA",2003,41,542,11,1164553,676,1,100,1,100,1,100,0,0,0
"Alford","MA",2004,38,635,10,1246274,772,0.926829268292683,92.7,0.909090909090909,90.9,1.14201183431953,114.2,-7.3,-9.1,14.2
"Alford","MA",2005,35,563,8,1023873,662,0.853658536585366,85.4,0.727272727272727,72.7,0.979289940828402,97.9,-14.6,-27.3,-2.1
"Alford","MA",2006,37,559,10,1074792,637,0.902439024390244,90.2,0.909090909090909,90.9,0.942307692307692,94.2,-9.8,-9.1,-5.8
"Alford","MA",2007,38,747,11,1476379,827,0.926829268292683,92.7,1,100,1.22337278106509,122.3,-7.3,0,22.3
"Alford","MA",2008,28,1007,12,1466091,1074,0.682926829268293,68.3,1.09090909090909,109.1,1.5887573964497,158.9,-31.7,9.1,58.9
"Alford","MA",2009,34,681,11,1203910,729,0.829268292682927,82.9,1,100,1.07840236686391,107.8,-17.1,0,7.8
"Alford","MA",2010,24,424,10,529429,446,0.585365853658537,58.5,0.909090909090909,90.9,0.659763313609467,66,-41.5,-9.1,-34
"Amesbury","MA",2003,4551,690,409,163366551,861,1,100,1,100,1,100,0,0,0
"Amesbury","MA",2004,4700,713,426,174236890,867,1.0327400571303,103.3,1.04156479217604,104.2,1.00696864111498,100.7,3.3,4.2,0.7
"Amesbury","MA",2005,4727,724,421,177897929,851,1.03867281916062,103.9,1.02933985330073,102.9,0.988385598141696,98.8,3.9,2.9,-1.2
"Amesbury","MA",2006,4715,738,428,181006411,840,1.03603603603604,103.6,1.04645476772616,104.6,0.975609756097561,97.6,3.6,4.6,-2.4
"Amesbury","MA",2007,4709,751,437,183819088,832,1.03471764447374,103.5,1.06845965770171,106.8,0.966318234610918,96.6,3.5,6.8,-3.4
"Amesbury","MA",2008,4657,766,453,185474432,817,1.02329158426719,102.3,1.10757946210269,110.8,0.948896631823461,94.9,2.3,10.8,-5.1
"Amesbury","MA",2009,4587,767,468,182983772,821,1.00791034937376,100.8,1.14425427872861,114.4,0.953542392566783,95.4,0.8,14.4,-4.6
"Amesbury","MA",2010,4707,785,474,192048675,827,1.03427818061964,103.4,1.15892420537897,115.9,0.960511033681765,96.1,3.4,15.9,-3.9
"Amesbury","MA",2011,4730,789,466,194073069,805,1.03933201494177,103.9,1.13936430317848,113.9,0.934959349593496,93.5,3.9,13.9,-6.5
"Amesbury","MA",2012,4778,822,462,204237627,822,1.04987914744012,105,1.12958435207824,113,0.954703832752613,95.5,5,13,-4.5
"Amherst","MA",2003,12545,804,744,524694883,1003,1,100,1,100,1,100,0,0,0
"Amherst","MA",2004,14156,761,755,559955833,925,1.12841769629334,112.8,1.01478494623656,101.5,0.922233300099701,92.2,12.8,1.5,-7.8
"Amherst","MA",2005,13986,800,750,581877901,940,1.11486648066959,111.5,1.00806451612903,100.8,0.937188434695912,93.7,11.5,0.8,-6.3
"Amherst","MA",2006,14266,773,742,573067397,880,1.13718612993224,113.7,0.997311827956989,99.7,0.877367896311067,87.7,13.7,-0.3,-12.3
"Amherst","MA",2007,14617,827,777,628568962,916,1.16516540454364,116.5,1.04435483870968,104.4,0.913260219341974,91.3,16.5,4.4,-8.7
"Amherst","MA",2008,14651,858,1010,653396530,915,1.16787564766839,116.8,1.35752688172043,135.8,0.912263210368893,91.2,16.8,35.8,-8.8
"Amherst","MA",2009,14606,877,1057,665959589,939,1.16428856117975,116.4,1.42069892473118,142.1,0.936191425722832,93.6,16.4,42.1,-6.4
"Amherst","MA",2010,14820,843,1042,649951571,888,1.18134715025907,118.1,1.4005376344086,140.1,0.885343968095713,88.5,18.1,40.1,-11.5
"Amherst","MA",2011,15207,848,1009,670959296,866,1.21219609406138,121.2,1.35618279569892,135.6,0.863409770687936,86.3,21.2,35.6,-13.7
"Amherst","MA",2012,15595,868,952,703879125,868,1.24312475089677,124.3,1.27956989247312,128,0.865403788634098,86.5,24.3,28,-13.5
"Andover","MA",2003,31769,1110,1108,1833764007,1385,1,100,1,100,1,100,0,0,0
"Andover","MA",2004,31600,1154,1148,1895886217,1403,0.994680348767667,99.5,1.03610108303249,103.6,1.0129963898917,101.3,-0.5,3.6,1.3
"Andover","MA",2005,31907,1199,1104,1989296815,1410,1.0043438572193,100.4,0.996389891696751,99.6,1.01805054151625,101.8,0.4,-0.4,1.8
"Andover","MA",2006,31843,1287,1119,2131460627,1466,1.00232931474079,100.2,1.00992779783393,101,1.05848375451264,105.8,0.2,1,5.8
"Andover","MA",2007,32440,1350,1135,2277119921,1495,1.0211212187982,102.1,1.02436823104693,102.4,1.07942238267148,107.9,2.1,2.4,7.9
"Andover","MA",2008,32769,1369,1123,2332833133,1460,1.03147722622682,103.1,1.01353790613718,101.4,1.05415162454874,105.4,3.1,1.4,5.4
"Andover","MA",2009,31840,1440,1122,2383395873,1541,1.0022348830621,100.2,1.01263537906137,101.3,1.11263537906137,111.3,0.2,1.3,11.3
"Andover","MA",2010,31613,1498,1167,2463133945,1577,0.995089552708615,99.5,1.05324909747292,105.3,1.13862815884477,113.9,-0.5,5.3,13.9
"Andover","MA",2011,32326,1562,1195,2625047003,1594,1.01753281500834,101.8,1.07851985559567,107.9,1.15090252707581,115.1,1.8,7.9,15.1
"Andover","MA",2012,33916,1612,1195,2842281090,1612,1.06758160470899,106.8,1.07851985559567,107.9,1.16389891696751,116.4,6.8,7.9,16.4
"Aquinnah","MA",2003,71,580,11,2135288,724,1,100,1,100,1,100,0,0,0
"Aquinnah","MA",2004,87,492,10,2214689,598,1.22535211267606,122.5,0.909090909090909,90.9,0.825966850828729,82.6,22.5,-9.1,-17.4
"Aquinnah","MA",2005,89,503,6,2327616,591,1.25352112676056,125.4,0.545454545454545,54.5,0.816298342541437,81.6,25.4,-45.5,-18.4
"Aquinnah","MA",2006,78,577,8,2341494,657,1.09859154929577,109.9,0.727272727272727,72.7,0.907458563535912,90.7,9.9,-27.3,-9.3
"Aquinnah","MA",2007,73,660,7,2504698,731,1.02816901408451,102.8,0.636363636363636,63.6,1.00966850828729,101,2.8,-36.4,1
"Aquinnah","MA",2008,73,653,6,2479730,696,1.02816901408451,102.8,0.545454545454545,54.5,0.961325966850829,96.1,2.8,-45.5,-3.9
"Aquinnah","MA",2009,82,613,6,2615005,656,1.15492957746479,115.5,0.545454545454545,54.5,0.906077348066298,90.6,15.5,-45.5,-9.4
"Aquinnah","MA",2010,88,701,10,3208035,738,1.23943661971831,123.9,0.909090909090909,90.9,1.01933701657459,101.9,23.9,-9.1,1.9
"Aquinnah","MA",2011,92,706,11,3376992,721,1.29577464788732,129.6,1,100,0.99585635359116,99.6,29.6,0,-0.4
"Aquinnah","MA",2012,81,820,8,3452921,820,1.14084507042254,114.1,0.727272727272727,72.7,1.13259668508287,113.3,14.1,-27.3,13.3
"Arlington","MA",2003,7861,724,973,295975032,903,1,100,1,100,1,100,0,0,0
"Arlington","MA",2004,7913,758,981,311768678,921,1.00661493448671,100.7,1.0082219938335,100.8,1.01993355481728,102,0.7,0.8,2
"Arlington","MA",2005,8084,764,962,321255966,898,1.02836789212568,102.8,0.988694758478931,98.9,0.994462901439646,99.4,2.8,-1.1,-0.6
"Arlington","MA",2006,7956,777,941,321426996,885,1.0120849764661,101.2,0.967112024665981,96.7,0.980066445182724,98,1.2,-3.3,-2
"Arlington","MA",2007,7997,800,949,332509527,886,1.01730059788831,101.7,0.975334018499486,97.5,0.981173864894795,98.1,1.7,-2.5,-1.9
"Arlington","MA",2008,7972,814,967,337423595,868,1.01412034092355,101.4,0.993833504624872,99.4,0.961240310077519,96.1,1.4,-0.6,-3.9
"Arlington","MA",2009,8123,818,984,345678509,875,1.03332909299071,103.3,1.01130524152107,101.1,0.968992248062015,96.9,3.3,1.1,-3.1
"Arlington","MA",2010,8009,807,1011,336276840,850,1.0188271212314,101.9,1.03905447070915,103.9,0.941306755260244,94.1,1.9,3.9,-5.9
"Arlington","MA",2011,8166,834,1031,354072292,851,1.03879913497011,103.9,1.05960945529291,106,0.942414174972315,94.2,3.9,6,-5.8
"Arlington","MA",2012,8432,844,1038,369901469,844,1.07263706907518,107.3,1.06680369989723,106.7,0.934662236987818,93.5,7.3,6.7,-6.5
"Ashburnham","MA",2003,1088,630,111,35640182,786,1,100,1,100,1,100,0,0,0
"Ashburnham","MA",2004,1125,635,121,37169648,772,1.03400735294118,103.4,1.09009009009009,109,0.982188295165394,98.2,3.4,9,-1.8
"Ashburnham","MA",2005,1135,668,123,39404148,785,1.04319852941176,104.3,1.10810810810811,110.8,0.998727735368957,99.9,4.3,10.8,-0.1
"Ashburnham","MA",2006,1136,712,128,42085223,811,1.04411764705882,104.4,1.15315315315315,115.3,1.03180661577608,103.2,4.4,15.3,3.2
"Ashburnham","MA",2007,1089,697,127,39459479,772,1.00091911764706,100.1,1.14414414414414,114.4,0.982188295165394,98.2,0.1,14.4,-1.8
"Ashburnham","MA",2008,1069,732,126,40687024,781,0.982536764705882,98.3,1.13513513513514,113.5,0.993638676844784,99.4,-1.7,13.5,-0.6
"Ashburnham","MA",2009,1012,764,121,40201384,818,0.930147058823529,93,1.09009009009009,109,1.04071246819338,104.1,-7,9,4.1
"Ashburnham","MA",2010,1006,751,125,39303371,791,0.924632352941177,92.5,1.12612612612613,112.6,1.00636132315522,100.6,-7.5,12.6,0.6
"Ashburnham","MA",2011,984,763,124,39019741,779,0.904411764705882,90.4,1.11711711711712,111.7,0.991094147582697,99.1,-9.6,11.7,-0.9
"Ashburnham","MA",2012,982,797,118,40702842,797,0.902573529411765,90.3,1.06306306306306,106.3,1.01399491094148,101.4,-9.7,6.3,1.4
"Ashby","MA",2003,251,574,64,7486807,716,1,100,1,100,1,100,0,0,0
"Ashby","MA",2004,270,572,70,8017757,695,1.07569721115538,107.6,1.09375,109.4,0.970670391061452,97.1,7.6,9.4,-2.9
"Ashby","MA",2005,268,570,71,7947730,670,1.06772908366534,106.8,1.109375,110.9,0.935754189944134,93.6,6.8,10.9,-6.4
"Ashby","MA",2006,300,589,77,9190697,671,1.19521912350598,119.5,1.203125,120.3,0.937150837988827,93.7,19.5,20.3,-6.3
"Ashby","MA",2007,308,589,78,9432599,652,1.22709163346614,122.7,1.21875,121.9,0.910614525139665,91.1,22.7,21.9,-8.9
"Ashby","MA",2008,279,640,76,9282774,682,1.11155378486056,111.2,1.1875,118.8,0.952513966480447,95.3,11.2,18.8,-4.7
"Ashby","MA",2009,285,638,77,9450207,683,1.13545816733068,113.5,1.203125,120.3,0.95391061452514,95.4,13.5,20.3,-4.6
"Ashby","MA",2010,278,667,82,9644769,702,1.10756972111554,110.8,1.28125,128.1,0.980446927374302,98,10.8,28.1,-2
"Ashby","MA",2011,280,691,82,10057859,705,1.11553784860558,111.6,1.28125,128.1,0.98463687150838,98.5,11.6,28.1,-1.5
"Ashby","MA",2012,312,606,77,9836939,606,1.24302788844622,124.3,1.203125,120.3,0.846368715083799,84.6,24.3,20.3,-15.4
"Ashfield","MA",2003,241,363,43,4549251,453,1,100,1,100,1,100,0,0,0
"Ashfield","MA",2004,230,477,49,5710523,580,0.954356846473029,95.4,1.13953488372093,114,1.280353200883,128,-4.6,14,28
"Ashfield","MA",2005,228,520,43,6160253,611,0.946058091286307,94.6,1,100,1.34878587196468,134.9,-5.4,0,34.9
"Ashfield","MA",2006,241,462,38,5784728,526,1,100,0.883720930232558,88.4,1.16114790286976,116.1,0,-11.6,16.1
"Ashfield","MA",2007,245,443,40,5647795,491,1.01659751037344,101.7,0.930232558139535,93,1.08388520971302,108.4,1.7,-7,8.4
"Ashfield","MA",2008,240,468,41,5838652,499,0.995850622406639,99.6,0.953488372093023,95.3,1.10154525386313,110.2,-0.4,-4.7,10.2
"Ashfield","MA",2009,245,454,42,5784900,486,1.01659751037344,101.7,0.976744186046512,97.7,1.07284768211921,107.3,1.7,-2.3,7.3
"Ashfield","MA",2010,247,422,42,5417718,444,1.02489626556017,102.5,0.976744186046512,97.7,0.980132450331126,98,2.5,-2.3,-2
"Ashfield","MA",2011,224,479,44,5578528,489,0.929460580912863,92.9,1.02325581395349,102.3,1.0794701986755,107.9,-7.1,2.3,7.9
"Ashfield","MA",2012,245,459,43,5842052,459,1.01659751037344,101.7,1,100,1.01324503311258,101.3,1.7,0,1.3
"Ashland","MA",2003,4502,712,447,166605442,888,1,100,1,100,1,100,0,0,0
"Ashland","MA",2004,4832,724,474,181974405,880,1.0733007552199,107.3,1.06040268456376,106,0.990990990990991,99.1,7.3,6,-0.9
"Ashland","MA",2005,4936,765,466,196256862,899,1.0964015992892,109.6,1.04250559284116,104.3,1.01238738738739,101.2,9.6,4.3,1.2
"Ashland","MA",2006,4906,751,457,191476097,855,1.08973789426921,109,1.02237136465324,102.2,0.962837837837838,96.3,9,2.2,-3.7
"Ashland","MA",2007,4994,778,469,201983125,861,1.10928476232785,110.9,1.04921700223714,104.9,0.969594594594595,97,10.9,4.9,-3
"Ashland","MA",2008,5164,781,446,209705611,833,1.14704575744114,114.7,0.997762863534676,99.8,0.938063063063063,93.8,14.7,-0.2,-6.2
"Ashland","MA",2009,4998,775,430,201549091,829,1.11017325633052,111,0.961968680089485,96.2,0.933558558558559,93.4,11,-3.8,-6.6
"Ashland","MA",2010,4688,813,425,198232563,856,1.04131497112394,104.1,0.950782997762864,95.1,0.963963963963964,96.4,4.1,-4.9,-3.6
"Ashland","MA",2011,4678,834,439,202952893,851,1.03909373611728,103.9,0.982102908277405,98.2,0.958333333333333,95.8,3.9,-1.8,-4.2
"Ashland","MA",2012,4739,841,432,207273188,841,1.05264326965793,105.3,0.966442953020134,96.6,0.947072072072072,94.7,5.3,-3.4,-5.3
"Athol","MA",2003,3534,546,262,100296249,681,1,100,1,100,1,100,0,0,0
"Athol","MA",2004,3339,577,253,100124993,701,0.944821731748727,94.5,0.965648854961832,96.6,1.02936857562408,102.9,-5.5,-3.4,2.9
"Athol","MA",2005,3375,584,252,102456277,687,0.955008488964346,95.5,0.961832061068702,96.2,1.00881057268722,100.9,-4.5,-3.8,0.9
"Athol","MA",2006,3311,605,261,104232020,689,0.9368986983588,93.7,0.99618320610687,99.6,1.01174743024963,101.2,-6.3,-0.4,1.2
"Athol","MA",2007,3382,624,249,109661122,691,0.956989247311828,95.7,0.950381679389313,95,1.01468428781204,101.5,-4.3,-5,1.5
"Athol","MA",2008,3461,661,243,118927676,705,0.979343520090549,97.9,0.927480916030534,92.7,1.0352422907489,103.5,-2.1,-7.3,3.5
"Athol","MA",2009,3474,635,258,114676777,680,0.9830220713073,98.3,0.984732824427481,98.5,0.998531571218796,99.9,-1.7,-1.5,-0.1
"Athol","MA",2010,3352,672,277,117116229,708,0.948500282965478,94.9,1.05725190839695,105.7,1.03964757709251,104,-5.1,5.7,4
"Athol","MA",2011,3409,698,274,123688492,712,0.964629315223543,96.5,1.04580152671756,104.6,1.04552129221733,104.6,-3.5,4.6,4.6
"Athol","MA",2012,3433,710,273,126734952,710,0.971420486700623,97.1,1.04198473282443,104.2,1.04258443465492,104.3,-2.9,4.2,4.3
"Attleboro","MA",2003,19744,683,1049,701378281,852,1,100,1,100,1,100,0,0,0
"Attleboro","MA",2004,19710,715,1087,732734541,869,0.998277957860616,99.8,1.03622497616778,103.6,1.01995305164319,102,-0.2,3.6,2
"Attleboro","MA",2005,19089,732,1078,726899571,861,0.966825364667747,96.7,1.02764537654909,102.8,1.01056338028169,101.1,-3.3,2.8,1.1
"Attleboro","MA",2006,18639,775,1093,750838738,883,0.944033630470016,94.4,1.0419447092469,104.2,1.03638497652582,103.6,-5.6,4.2,3.6
"Attleboro","MA",2007,18664,792,1088,768573473,877,0.945299837925446,94.5,1.0371782650143,103.7,1.02934272300469,102.9,-5.5,3.7,2.9
"Attleboro","MA",2008,17872,819,1057,760760914,873,0.905186385737439,90.5,1.00762631077216,100.8,1.02464788732394,102.5,-9.5,0.8,2.5
"Attleboro","MA",2009,16506,799,1067,686120955,855,0.836000810372772,83.6,1.01715919923737,101.7,1.00352112676056,100.4,-16.4,1.7,0.4
"Attleboro","MA",2010,16340,848,1121,720278261,893,0.82759319286872,82.8,1.06863679694948,106.9,1.0481220657277,104.8,-17.2,6.9,4.8
"Attleboro","MA",2011,16169,918,1126,771464876,937,0.818932333873582,81.9,1.07340324118208,107.3,1.09976525821596,110,-18.1,7.3,10
"Attleboro","MA",2012,16405,877,1086,747732935,877,0.830885332252836,83.1,1.03527168732126,103.5,1.02934272300469,102.9,-16.9,3.5,2.9
"Auburn","MA",2003,10776,650,609,364436145,811,1,100,1,100,1,100,0,0,0
"Auburn","MA",2004,10681,676,613,375491228,822,0.991184112843356,99.1,1.00656814449918,100.7,1.01356350184957,101.4,-0.9,0.7,1.4
"Auburn","MA",2005,10432,702,613,380567050,825,0.96807720861173,96.8,1.00656814449918,100.7,1.01726263871763,101.7,-3.2,0.7,1.7
"Auburn","MA",2006,10748,730,624,408139626,831,0.997401633259094,99.7,1.02463054187192,102.5,1.02466091245376,102.5,-0.3,2.5,2.5
"Auburn","MA",2007,10696,768,624,427256608,850,0.992576095025984,99.3,1.02463054187192,102.5,1.04808877928483,104.8,-0.7,2.5,4.8
"Auburn","MA",2008,10672,773,615,429199456,824,0.990348923533779,99,1.00985221674877,101,1.01602959309494,101.6,-1,1,1.6
"Auburn","MA",2009,9896,766,615,394273649,820,0.91833704528582,91.8,1.00985221674877,101,1.01109741060419,101.1,-8.2,1,1.1
"Auburn","MA",2010,9913,787,635,405608109,829,0.919914625092799,92,1.04269293924466,104.3,1.02219482120838,102.2,-8,4.3,2.2
"Auburn","MA",2011,10327,792,643,425242058,808,0.958333333333333,95.8,1.05582922824302,105.6,0.996300863131936,99.6,-4.2,5.6,-0.4
"Auburn","MA",2012,10332,817,631,439118164,817,0.958797327394209,95.9,1.03612479474548,103.6,1.00739827373613,100.7,-4.1,3.6,0.7
"Avon","MA",2003,6163,894,263,286459908,1116,1,100,1,100,1,100,0,0,0
"Avon","MA",2004,6135,972,278,310123192,1181,0.995456758072367,99.5,1.05703422053232,105.7,1.05824372759857,105.8,-0.5,5.7,5.8
"Avon","MA",2005,5702,924,272,273831473,1086,0.925198766834334,92.5,1.03422053231939,103.4,0.973118279569892,97.3,-7.5,3.4,-2.7
"Avon","MA",2006,5566,956,270,276686341,1089,0.903131591757261,90.3,1.02661596958175,102.7,0.975806451612903,97.6,-9.7,2.7,-2.4
"Avon","MA",2007,5420,1016,261,286417003,1125,0.879441830277462,87.9,0.992395437262357,99.2,1.00806451612903,100.8,-12.1,-0.8,0.8
"Avon","MA",2008,5483,1047,261,298380524,1116,0.889664124614636,89,0.992395437262357,99.2,1,100,-11,-0.8,0
"Avon","MA",2009,5077,1059,249,279613547,1133,0.823787116663962,82.4,0.946768060836502,94.7,1.01523297491039,101.5,-17.6,-5.3,1.5
"Avon","MA",2010,5160,1054,263,282802447,1110,0.837254583806588,83.7,1,100,0.994623655913978,99.5,-16.3,0,-0.5
"Avon","MA",2011,5312,1070,277,295434125,1092,0.861917897128022,86.2,1.0532319391635,105.3,0.978494623655914,97.8,-13.8,5.3,-2.2
"Avon","MA",2012,5254,1059,268,289452533,1059,0.852506895992212,85.3,1.01901140684411,101.9,0.948924731182796,94.9,-14.7,1.9,-5.1
"Ayer","MA",2003,6234,835,326,270650111,1042,1,100,1,100,1,100,0,0,0
"Ayer","MA",2004,6608,834,333,286456938,1014,1.05999358357395,106,1.02147239263804,102.1,0.973128598848369,97.3,6,2.1,-2.7
"Ayer","MA",2005,7406,820,336,315898307,964,1.18800128328521,118.8,1.03067484662577,103.1,0.925143953934741,92.5,18.8,3.1,-7.5
"Ayer","MA",2006,7315,861,318,327558945,981,1.17340391401989,117.3,0.975460122699387,97.5,0.941458733205374,94.1,17.3,-2.5,-5.9
"Ayer","MA",2007,7433,882,328,340804665,977,1.19233237086943,119.2,1.00613496932515,100.6,0.937619961612284,93.8,19.2,0.6,-6.2
"Ayer","MA",2008,7713,978,337,392363177,1043,1.23724735322425,123.7,1.03374233128834,103.4,1.00095969289827,100.1,23.7,3.4,0.1
"Ayer","MA",2009,8366,1036,346,450904141,1109,1.34199550850176,134.2,1.06134969325153,106.1,1.06429942418426,106.4,34.2,6.1,6.4
