"Municipal","County","State","Year","Residential","Open.Space","Commercial","Industrial","Personal.Property","Total.Assessed","R/O as % of Total Value","CIP as % of Total Value","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Assessed"
"Bourne","Barnstable","MA",2014,3604363498,0,367127612,29950790,104563070,4106004970,87.78,12.22,3654165273,0,372200243,30364622,106007826,4162737965
"Bourne","Barnstable","MA",2015,3586158706,0,355805834,33561700,119995720,4095521960,87.56,12.44,3631398560,0,360294370,33985085,121509481,4147187497
"Bourne","Barnstable","MA",2016,3698572542,0,355887798,33951500,131102370,4219514210,87.65,12.35,3698572542,0,355887798,33951500,131102370,4219514210
"Bourne","Barnstable","MA",2017,3847498941,0,353622119,35127500,138205200,4374453760,87.95,12.05,3847498941,0,353622119,35127500,138205200,4374453760
"Brewster","Barnstable","MA",2003,2105255727,0,115858013,5405000,43301830,2269820570,92.75,7.25,2746065822,0,151123555,7050206,56482295,2960721878
"Brewster","Barnstable","MA",2004,2412448967,0,122625053,9865600,47489480,2592429100,93.06,6.94,3065138376,0,155801329,12534744,60337785,3293812234
"Brewster","Barnstable","MA",2005,3026822332,0,127322428,10423700,55439560,3220008020,94,6,3719705824,0,156468377,12809836,68130479,3957114515
"Brewster","Barnstable","MA",2006,3446053665,0,141716615,8155000,56318470,3652243750,94.35,5.65,4102564494,0,168715177,9708616,67047753,4348036040
"Brewster","Barnstable","MA",2007,3663604330,0,156038020,9314100,32062000,3861018450,94.89,5.11,4240774587,0,180620507,10781459,37113100,4469289653
"Brewster","Barnstable","MA",2008,3659276435,0,159793855,9391500,30530330,3858992120,94.82,5.18,4079144087,0,178128701,10469087,34033399,4301775274
"Brewster","Barnstable","MA",2009,3587865966,0,161870154,10129700,33795470,3793661290,94.58,5.42,4013820212,0,181087505,11332306,37807695,4244047718
"Brewster","Barnstable","MA",2010,3539749545,0,164629445,10086100,38376280,3752841370,94.32,5.68,3896084809,0,181202165,11101435,42239497,4130627906
"Brewster","Barnstable","MA",2011,3227010196,0,151680284,9300200,39616660,3427607340,94.15,5.85,3443178089,0,161840899,9923193,42270463,3657212644
"Brewster","Barnstable","MA",2012,3153569867,0,146327053,8886500,37398990,3346182410,94.24,5.76,3296596789,0,152963566,9289538,39095183,3497945076
"Brewster","Barnstable","MA",2013,3062749028,0,141858222,9755400,37604460,3251967110,94.18,5.82,3155437295,0,146151291,10050629,38742487,3350381702
"Brewster","Barnstable","MA",2014,3117618427,0,147017123,9128100,39350890,3313114540,94.1,5.9,3160694807,0,149048470,9254224,39894604,3358892105
"Brewster","Barnstable","MA",2015,3180645100,0,147080880,9188400,42830310,3379744690,94.11,5.89,3220769348,0,148936324,9304313,43370620,3422380605
"Brewster","Barnstable","MA",2016,3269388067,0,150511013,10683200,44071390,3474653670,94.09,5.91,3269388067,0,150511013,10683200,44071390,3474653670
"Brewster","Barnstable","MA",2017,3410315173,0,147314177,11642000,49886920,3619158270,94.23,5.77,3410315173,0,147314177,11642000,49886920,3619158270
"Chatham","Barnstable","MA",2003,2776375719,0,214719273,10624808,25229879,3026949679,91.72,8.28,3621465256,0,280076786,13858849,32909498,3948310389
"Chatham","Barnstable","MA",2004,4185750418,0,242724514,13741782,31752057,4473968771,93.56,6.44,5318207520,0,308393766,17459629,40342594,5684403509
"Chatham","Barnstable","MA",2005,4958749595,0,257174782,15806944,37296723,5269028044,94.11,5.89,6093879232,0,316045816,19425383,45834483,6475184914
"Chatham","Barnstable","MA",2006,5451938845,0,289532590,17502565,45418605,5804392605,93.93,6.07,6490592690,0,344691708,20836995,54071345,6910192738
"Chatham","Barnstable","MA",2007,6090554615,0,313558515,26341470,22308418,6452763018,94.39,5.61,7050070615,0,362957040,30491349,25822923,7469341926
"Chatham","Barnstable","MA",2008,5990905365,0,320954765,30436670,25254372,6367551172,94.08,5.92,6678305569,0,357781314,33928992,28152074,7098167950
"Chatham","Barnstable","MA",2009,6004324648,0,347582892,30881660,28908316,6411697516,93.65,6.35,6717162754,0,388848204,34547955,32340334,7172899247
"Chatham","Barnstable","MA",2010,5949895817,0,347898048,35056635,31198734,6364049234,93.49,6.51,6548852796,0,382919832,38585674,34339411,7004697713
"Chatham","Barnstable","MA",2011,5440065307,0,342716473,35972020,33322350,5852076150,92.96,7.04,5804479233,0,365674038,38381679,35554516,6244089467
"Chatham","Barnstable","MA",2012,5459707886,0,339064694,36444220,34877010,5870093810,93.01,6.99,5707327328,0,354442625,38097110,36458821,6136325884
"Chatham","Barnstable","MA",2013,5380886064,0,355685721,20640735,34676510,5791889030,92.9,7.1,5543728334,0,366449872,21265388,35725929,5967169522
"Chatham","Barnstable","MA",2014,5372769946,0,349059609,20766215,35667540,5778263310,92.98,7.02,5447005932,0,353882593,21053143,36160361,5858102030
"Chatham","Barnstable","MA",2015,5541766223,0,348162632,20852715,38615420,5949396990,93.15,6.85,5611676318,0,352554748,21115775,39102558,6024449400
"Chatham","Barnstable","MA",2016,5778932039,0,359039486,25188055,40156880,6203316460,93.16,6.84,5778932039,0,359039486,25188055,40156880,6203316460
"Chatham","Barnstable","MA",2017,5998136930,0,370959845,25807625,43681800,6438586200,93.16,6.84,5998136930,0,370959845,25807625,43681800,6438586200
"Dennis","Barnstable","MA",2003,3666004438,722400,232608952,15080600,102233860,4016650250,91.29,8.71,4781884387,942288,303411830,19670922,133352402,5239261829
"Dennis","Barnstable","MA",2004,4691564860,846700,263784150,16723200,86093430,5059012340,92.75,7.25,5960870341,1075775,335151098,21247671,109386055,6427730941
"Dennis","Barnstable","MA",2005,5218353458,817200,300671472,19965800,53752018,5593559948,93.31,6.69,6412910181,1004269,369499529,24536261,66056634,6874006874
"Dennis","Barnstable","MA",2006,5816462064,1150500,348175836,23850800,57212810,6246852010,93.13,6.87,6924561560,1369683,414507132,28394638,68112475,7436945488
"Dennis","Barnstable","MA",2007,6200949945,995500,368213355,23761800,59883330,6653803930,93.21,6.79,7177857807,1152333,426222293,27505273,69317448,7702055154
"Dennis","Barnstable","MA",2008,6239624772,711900,375053658,24657600,64537400,6704585330,93.08,6.92,6955563195,793584,418087548,27486828,71942461,7473873617
"Dennis","Barnstable","MA",2009,6112060169,643000,374631391,24667700,73257800,6585260060,92.82,7.18,6837688720,719337,419107922,27596269,81955023,7367067271
"Dennis","Barnstable","MA",2010,5841481823,596600,370363207,23827200,75170130,6311438960,92.56,7.44,6429525112,656658,407646486,26225808,82737267,6946791331
"Dennis","Barnstable","MA",2011,5590054555,618100,369666405,23750200,77341010,6061430270,92.23,7.77,5964515818,659505,394429267,25341156,82521856,6467467601
"Dennis","Barnstable","MA",2012,5398029939,603400,358649671,24683000,76212090,5858178100,92.16,7.84,5642852041,630767,374915858,25802472,79668611,6123869749
"Dennis","Barnstable","MA",2013,5385094151,595200,354865229,23894000,76659520,5841108100,92.2,7.8,5548063771,613213,365604549,24617106,78979474,6017878114
"Dennis","Barnstable","MA",2014,5430544151,671578,358198771,25236700,75750260,5890401460,92.2,7.8,5505578408,680857,363148032,25585397,76796907,5971789602
"Dennis","Barnstable","MA",2015,5608073468,703392,365293280,32016700,78768840,6084855680,92.18,7.82,5678820038,712265,369901502,32420595,79762519,6161616919
"Dennis","Barnstable","MA",2016,5659961512,731492,368379876,29239500,79580670,6137893050,92.23,7.77,5659961512,731492,368379876,29239500,79580670,6137893050
"Dennis","Barnstable","MA",2017,5974715354,660063,368556883,39058000,98591030,6481581330,92.19,7.81,5974715354,660063,368556883,39058000,98591030,6481581330
"Eastham","Barnstable","MA",2003,1130571770,0,41588160,3867100,32884110,1208911140,93.52,6.48,1474701841,0,54247008,5044191,42893568,1576886609
"Eastham","Barnstable","MA",2004,2227075828,0,71684342,5140700,33706460,2337607330,95.27,4.73,2829612431,0,91078581,6531519,42825761,2970048292
"Eastham","Barnstable","MA",2005,2371353615,0,76009385,5523500,33640829,2486527329,95.37,4.63,2914190820,0,93409035,6787909,41341702,3055729466
"Eastham","Barnstable","MA",2006,2767099470,0,78692740,6194400,39140070,2891126680,95.71,4.29,3294262116,0,93684566,7374501,46596680,3441917863
"Eastham","Barnstable","MA",2007,2914772131,0,83187389,6474800,20691470,3025125790,96.35,3.65,3373970131,0,96292867,7494851,23951238,3501709087
"Eastham","Barnstable","MA",2008,2889346584,0,81671456,8515900,22104760,3001638700,96.26,3.74,3220872006,0,91042490,9493020,24641074,3346048590
"Eastham","Barnstable","MA",2009,2814907929,0,80024771,8223800,23942760,2927099260,96.17,3.83,3149095994,0,89525374,9200136,26785263,3274606768
"Eastham","Barnstable","MA",2010,2780889462,0,83440708,8149000,25383070,2897862240,95.96,4.04,3060832709,0,91840417,8969334,27938302,3189580762
"Eastham","Barnstable","MA",2011,2646405606,0,79825324,7879300,26141630,2760251860,95.88,4.12,2823680510,0,85172587,8407111,27892781,2945152989
"Eastham","Barnstable","MA",2012,2600605580,0,76951430,7665500,25725850,2710948360,95.93,4.07,2718553374,0,80441483,8013161,26892619,2833900638
"Eastham","Barnstable","MA",2013,2571863541,0,75497179,7808600,25322040,2680491360,95.95,4.05,2649696094,0,77781957,8044912,26088363,2761611327
"Eastham","Barnstable","MA",2014,2536458084,0,73438386,7674100,25219880,2642790450,95.98,4.02,2571504526,0,74453090,7780134,25568345,2679306094
"Eastham","Barnstable","MA",2015,2552517311,0,71861939,7629800,25985340,2657994390,96.03,3.97,2584717646,0,72768487,7726051,26313148,2691525332
"Eastham","Barnstable","MA",2016,2619816974,0,71980916,7640300,26098990,2725537180,96.12,3.88,2619816974,0,71980916,7640300,26098990,2725537180
"Eastham","Barnstable","MA",2017,2673655590,0,72583420,9341700,27257050,2782837760,96.08,3.92,2673655590,0,72583420,9341700,27257050,2782837760
"Falmouth","Barnstable","MA",2003,6264933373,1252400,368669777,40830300,105301207,6780987057,92.41,7.59,8171890566,1633613,480887648,53258466,137353406,8845023699
"Falmouth","Barnstable","MA",2004,6942896293,1222400,399394792,43988300,120445775,7507947560,92.49,7.51,8821300744,1553121,507451275,55889359,153032446,9539226946
"Falmouth","Barnstable","MA",2005,9479964258,1830600,579542007,67068900,136301470,10264707235,92.37,7.63,11650065446,2249651,712207570,82421943,167502852,12614447462
"Falmouth","Barnstable","MA",2006,10458674310,2530300,615703183,70771100,152775550,11300454443,92.57,7.43,12451165898,3012350,733001358,84253767,181880959,13453314333
"Falmouth","Barnstable","MA",2007,11425681586,2777100,640047878,75112600,162771218,12306390382,92.87,7.13,13225702272,3214609,740882074,86945963,188414464,14245159381
"Falmouth","Barnstable","MA",2008,11307501583,5732500,678241088,82961700,179101752,12253538623,92.33,7.67,12604931341,6390251,756062892,92480777,199651998,13659517258
"Falmouth","Barnstable","MA",2009,10899153336,5316700,670114194,80525000,193049863,11848159093,92.04,7.96,12193109322,5947903,749670674,90084991,215968893,13254781783
"Falmouth","Barnstable","MA",2010,10288846988,3877700,611416088,76338300,195273690,11175752766,92.1,7.9,11324592302,4268056,672965390,84023032,214931268,12300780048
"Falmouth","Barnstable","MA",2011,10196026282,3504000,590585951,72056800,183094344,11045267377,92.34,7.66,10879028003,3738723,630147562,76883672,195359294,11785157253
"Falmouth","Barnstable","MA",2012,9758565141,3314900,568619409,70768200,178594045,10579861695,92.27,7.73,10201154838,3465244,594408558,73977819,186693994,11059700453
"Falmouth","Barnstable","MA",2013,9783235733,3289200,574980651,72537600,180898159,10614941343,92.2,7.8,10079306733,3388741,592381346,74732812,186372697,10936182329
"Falmouth","Barnstable","MA",2014,9926397342,3248800,578777042,73842400,178513638,10760779222,92.28,7.72,10063551158,3293689,586774050,74862686,180980175,10909461758
"Falmouth","Barnstable","MA",2015,10163699470,3425200,605660141,79392800,193320043,11045497654,92.05,7.95,10291915849,3468409,613300622,80394350,195758800,11184838030
"Falmouth","Barnstable","MA",2016,10268959256,3232100,604755692,77683600,239818381,11194449029,91.76,8.24,10268959256,3232100,604755692,77683600,239818381,11194449029
"Falmouth","Barnstable","MA",2017,10384849550,3251100,607421068,80184800,244381580,11320088098,91.77,8.23,10384849550,3251100,607421068,80184800,244381580,11320088098
"Harwich","Barnstable","MA",2003,3040782578,0,191782642,19158400,82046670,3333770290,91.21,8.79,3966353827,0,250158568,24989946,107020517,4348522859
"Harwich","Barnstable","MA",2004,3901234657,0,217336943,22042600,70760200,4211374400,92.64,7.36,4956715862,0,276137574,28006238,89904411,5350764085
"Harwich","Barnstable","MA",2005,4237802944,0,236309606,25151700,75104258,4574368508,92.64,7.36,5207897446,0,290404299,30909289,92296711,5621507744
"Harwich","Barnstable","MA",2006,4669815549,0,256590121,27914000,76029550,5030349220,92.83,7.17,5559466371,0,305473339,33231922,90514009,5988685641
"Harwich","Barnstable","MA",2007,5059750538,0,270633552,32411700,46236960,5409032750,93.54,6.46,5856871967,0,313269607,37517893,53521207,6261180674
"Harwich","Barnstable","MA",2008,4862651347,0,279565583,33621000,51404500,5227242430,93.03,6.97,5420594984,0,311643112,37478694,57302684,5827019474
"Harwich","Barnstable","MA",2009,4863309939,0,281477201,34247500,60282580,5239317220,92.82,7.18,5440685889,0,314894394,38313390,67439375,5861333048
"Harwich","Barnstable","MA",2010,4586390128,0,263347052,32410500,62764060,4944911740,92.75,7.25,5048087351,0,289857357,35673161,69082317,5442700187
"Harwich","Barnstable","MA",2011,4302286678,0,254909182,30476500,64157150,4651829510,92.49,7.51,4590484170,0,271984796,32518031,68454848,4963441845
"Harwich","Barnstable","MA",2012,4257186934,0,254536416,22985400,63646450,4598355200,92.58,7.42,4450267274,0,266080654,24027879,66533069,4806908876
"Harwich","Barnstable","MA",2013,4154166443,0,237620107,18169700,69888320,4479844570,92.73,7.27,4279884380,0,244811227,18719571,72003357,4615418535
"Harwich","Barnstable","MA",2014,4205723813,0,239364277,19467100,70368150,4534923340,92.74,7.26,4263834631,0,242671592,19736078,71340432,4597582734
"Harwich","Barnstable","MA",2015,4362218987,0,245771003,19809600,72314360,4700113950,92.81,7.19,4417248942,0,248871436,20059501,73226615,4759406493
"Harwich","Barnstable","MA",2016,4461686152,0,251670218,26499900,74153530,4814009800,92.68,7.32,4461686152,0,251670218,26499900,74153530,4814009800
"Harwich","Barnstable","MA",2017,4617995392,0,259151168,28645900,77454040,4983246500,92.67,7.33,4617995392,0,259151168,28645900,77454040,4983246500
"Mashpee","Barnstable","MA",2003,2468612845,2253100,177297815,14054100,72656060,2734873920,90.35,9.65,3220023712,2938912,231264765,18331969,94771538,3567330896
"Mashpee","Barnstable","MA",2004,2541272895,2003800,182264365,14425400,77208320,2817174780,90.28,9.72,3228815689,2545929,231576090,18328200,98097074,3579362983
"Mashpee","Barnstable","MA",2005,4086223238,3725000,261041982,20854700,53120300,4424965220,92.43,7.57,5021618949,4577706,320798274,25628643,65280306,5437903879
"Mashpee","Barnstable","MA",2006,4356232935,3902600,284557485,22179300,57020850,4723893170,92.3,7.7,5186142847,4646088,338768791,26404699,67883944,5623846369
"Mashpee","Barnstable","MA",2007,4759066185,4323700,306096175,20446600,56903230,5146835890,92.55,7.45,5508817306,5004863,354319070,23667791,65867859,5957676889
"Mashpee","Barnstable","MA",2008,4672336921,3347000,322719949,24260100,59617700,5082281670,92,8,5208443763,3731037,359749036,27043719,66458272,5665425827
"Mashpee","Barnstable","MA",2009,4558229119,3287900,335150831,27968700,63310180,4987946730,91.45,8.55,5099385636,3678242,374940199,31289166,70826414,5580119657
"Mashpee","Barnstable","MA",2010,4275890499,2825000,318773551,26932600,52279640,4676701290,91.49,8.51,4706330718,3109384,350863465,29643819,57542464,5147489849
"Mashpee","Barnstable","MA",2011,4075412867,1836500,295445083,23864300,58112560,4454671310,91.53,8.47,4348412752,1959522,315236077,25462899,62005349,4753076599
"Mashpee","Barnstable","MA",2012,4073637011,1796800,293156639,24549700,57299090,4450439240,91.57,8.43,4258392633,1878292,306452457,25663126,59897831,4652284340
"Mashpee","Barnstable","MA",2013,4025689935,1797600,284115485,24468200,55294060,4391365280,91.71,8.29,4147519775,1852001,292713699,25208683,56967429,4524261588
"Mashpee","Barnstable","MA",2014,4032739047,1818900,288639723,23185500,53957460,4400340630,91.69,8.31,4088459721,1844032,292627881,23505856,54702994,4461140484
"Mashpee","Barnstable","MA",2015,4193724080,1715100,301363490,25723600,55757850,4578284120,91.64,8.36,4246628450,1736736,305165229,26048107,56461242,4636039764
"Mashpee","Barnstable","MA",2016,4328487444,1736500,337004226,40014200,58664080,4765906450,90.86,9.14,4328487444,1736500,337004226,40014200,58664080,4765906450
"Mashpee","Barnstable","MA",2017,4516609730,1727800,347787210,37404500,60183760,4963713000,91.03,8.97,4516609730,1727800,347787210,37404500,60183760,4963713000
"Orleans","Barnstable","MA",2003,2294011496,0,174331805,10053700,34052130,2512449131,91.31,8.69,2992276180,0,227395943,13113904,44417117,3277203144
"Orleans","Barnstable","MA",2004,2879107910,0,198014000,11816000,39452770,3128390680,92.03,7.97,3658052155,0,251586798,15012825,50126739,3974778517
"Orleans","Barnstable","MA",2005,3084629905,0,214501195,10166600,26837515,3336135215,92.46,7.54,3790746388,0,263603627,12493882,32981011,4099824908
"Orleans","Barnstable","MA",2006,3562766412,0,216583118,8816300,27043440,3815209270,93.38,6.62,4241512293,0,257844565,10495901,32195510,4542048270
"Orleans","Barnstable","MA",2007,3568888628,0,239147062,9847100,29306570,3847189360,92.77,7.23,4131137217,0,276822684,11398428,33923575,4453281905
"Orleans","Barnstable","MA",2008,3640591750,0,244538250,9589900,32727530,3927447430,92.7,7.3,4058315510,0,272596721,10690251,36482707,4378085188
"Orleans","Barnstable","MA",2009,3593788279,0,242255361,8692400,42480110,3887216150,92.45,7.55,4020445627,0,271016106,9724369,47523382,4348709484
"Orleans","Barnstable","MA",2010,3493272772,0,238607708,8201500,43779010,3783860990,92.32,7.68,3844929368,0,262627583,9027119,48186103,4164770172
"Orleans","Barnstable","MA",2011,3321382898,0,233106322,7772700,44633420,3606895340,92.08,7.92,3543872540,0,248721427,8293370,47623281,3848510618
"Orleans","Barnstable","MA",2012,3318697565,0,230665255,7699300,43318420,3600380540,92.18,7.82,3469213684,0,241126841,8048494,45283082,3763672101
"Orleans","Barnstable","MA",2013,3270370561,0,229044469,8008600,43596510,3551020140,92.1,7.9,3369342098,0,235976064,8250965,44915875,3658485003
"Orleans","Barnstable","MA",2014,3307794903,0,233239957,8236700,43238940,3592510500,92.07,7.93,3353498966,0,236462652,8350507,43836376,3642148501
"Orleans","Barnstable","MA",2015,3329579522,0,233161068,8072900,44024730,3614838220,92.11,7.89,3371582597,0,236102425,8174741,44580108,3660439870
"Orleans","Barnstable","MA",2016,3438508933,0,236353357,7103500,45137320,3727103110,92.26,7.74,3438508933,0,236353357,7103500,45137320,3727103110
"Orleans","Barnstable","MA",2017,3538643766,0,240165194,7990700,48574270,3835373930,92.26,7.74,3538643766,0,240165194,7990700,48574270,3835373930
"Provincetown","Barnstable","MA",2003,1320061800,0,370884800,1396500,29613825,1721956925,76.66,23.34,1721869959,0,483776892,1821575,38627855,2246096281
"Provincetown","Barnstable","MA",2004,1516318500,0,411278100,1569800,31964900,1961131300,77.32,22.68,1926559313,0,522549619,1994510,40613021,2491716463
"Provincetown","Barnstable","MA",2005,1636276486,0,410649814,1639400,30709860,2079275560,78.69,21.31,2010843884,0,504653507,2014682,37739792,2555251865
"Provincetown","Barnstable","MA",2006,1971265339,0,460434861,1851200,19496730,2453048130,80.36,19.64,2346812898,0,548152727,2203874,23211070,2920380568
"Provincetown","Barnstable","MA",2007,2112981409,0,461852891,1940000,20712770,2597487070,81.35,18.65,2445863978,0,534613956,2245631,23975894,3006699459
"Provincetown","Barnstable","MA",2008,2126280768,0,458570132,1940000,21823920,2608614820,81.51,18.49,2370251544,0,511186754,2162597,24328010,2907928905
"Provincetown","Barnstable","MA",2009,2084902958,0,442020842,1899900,22695300,2551519000,81.71,18.29,2332424264,0,494497901,2125458,25389704,2854437326
"Provincetown","Barnstable","MA",2010,1983140288,0,416541412,1785800,22836910,2424304410,81.8,18.2,2182776677,0,458473304,1965571,25135829,2668351380
"Provincetown","Barnstable","MA",2011,1853551590,0,383996660,1607800,22924760,2262080810,81.94,18.06,1977715543,0,409719463,1715502,24460422,2413610930
"Provincetown","Barnstable","MA",2012,1863498019,0,379927531,1592500,22413050,2267431100,82.19,17.81,1948015057,0,397158754,1664726,23429571,2370268108
"Provincetown","Barnstable","MA",2013,1888428961,0,381214239,1610900,24907050,2296161150,82.24,17.76,1945578667,0,392750962,1659651,25660814,2365650095
"Provincetown","Barnstable","MA",2014,1996862139,0,393497761,1709400,26144560,2418213860,82.58,17.42,2024452941,0,398934751,1733019,26505801,2451626512
"Provincetown","Barnstable","MA",2015,2037565917,0,393982183,1713600,26780640,2460042340,82.83,17.17,2063270074,0,398952319,1735217,27118481,2491076091
"Provincetown","Barnstable","MA",2016,2152938142,0,403458258,1984700,29057270,2587438370,83.21,16.79,2152938142,0,403458258,1984700,29057270,2587438370
"Provincetown","Barnstable","MA",2017,2271996437,0,408879463,2038600,29482570,2712397070,83.76,16.24,2271996437,0,408879463,2038600,29482570,2712397070
"Sandwich","Barnstable","MA",2003,2371597450,0,161940350,55124800,232725200,2821387800,84.06,15.94,3093478202,0,211232704,71904010,303563462,3680178379
"Sandwich","Barnstable","MA",2004,2891802145,0,183591055,59545300,236281400,3371219900,85.78,14.22,3674180823,0,233261717,75655314,300207464,4283305318
"Sandwich","Barnstable","MA",2005,3397699126,0,187806874,62074900,229808700,3877389600,87.63,12.37,4175481690,0,230798589,76284744,282415241,4764980265
"Sandwich","Barnstable","MA",2006,3779931721,0,202693379,72047600,277046100,4331718800,87.26,12.74,4500049963,0,241308680,85773454,329826405,5156958502
"Sandwich","Barnstable","MA",2007,3950274614,0,214097386,76434100,280026700,4520832800,87.38,12.62,4572607380,0,247826641,88475654,324142567,5233052241
"Sandwich","Barnstable","MA",2008,3947189506,0,219905194,80407400,286889100,4534391200,87.05,12.95,4400092483,0,245137253,89633395,319806934,5054670064
"Sandwich","Barnstable","MA",2009,3768165586,0,214108914,75986000,289206100,4347466600,86.67,13.33,4215525144,0,239528091,85007117,323540874,4863601226
"Sandwich","Barnstable","MA",2010,3486941405,0,199808495,68915900,275178800,4030844600,86.51,13.49,3837960642,0,219922577,75853443,302880170,4436616832
"Sandwich","Barnstable","MA",2011,3310950727,0,190979973,60135000,267241100,3829306800,86.46,13.54,3532741548,0,203773158,64163266,285142793,4085820765
"Sandwich","Barnstable","MA",2012,3262505841,0,190374259,56402900,259219800,3768502800,86.57,13.43,3410473442,0,199008488,58960996,270976448,3939419373
"Sandwich","Barnstable","MA",2013,3170635103,0,181510797,53151000,245170700,3650467600,86.86,13.14,3266588337,0,187003876,54759514,252590324,3760942051
"Sandwich","Barnstable","MA",2014,3160669948,0,185699752,53830300,229497600,3629697600,87.08,12.92,3204341174,0,188265580,54574078,232668586,3679849418
"Sandwich","Barnstable","MA",2015,3222928237,0,194293563,55161400,211334700,3683717900,87.49,12.51,3263585892,0,196744601,55857268,214000714,3730188476
"Sandwich","Barnstable","MA",2016,3360310794,0,202139606,57153200,203529700,3823133300,87.89,12.11,3360310794,0,202139606,57153200,203529700,3823133300
"Sandwich","Barnstable","MA",2017,3455914216,0,209467366,58400698,196086100,3919868380,88.16,11.84,3455914216,0,209467366,58400698,196086100,3919868380
"Truro","Barnstable","MA",2003,1210921762,0,70292908,1256800,24100650,1306572120,92.68,7.32,1579509236,0,91689076,1639352,31436547,1704274211
