JURISDICTIONCODE,NAME,Year,Residential,Open_Space,Commercial,Industrial,Personal_Property,Total,Res_as_a___of_Total,CIP
006,Alford,2010,"242,919,097",0,"2,051,781","27,499","4,108,000","249,106,377",97.52,2.48
006,Alford,2011,"248,003,297",0,"2,055,893","27,499","3,756,654","253,843,343",97.70,2.30
006,Alford,2012,"251,261,497",0,"1,597,846","27,499","3,786,276","256,673,118",97.89,2.11
006,Alford,2013,"256,573,599",0,"1,601,572","30,000","3,867,990","262,073,161",97.90,2.10
006,Alford,2014,"263,225,610",0,"1,639,009","30,000","4,146,683","269,041,302",97.84,2.16
006,Alford,2015,"265,139,910",0,"1,705,522","30,000","4,164,676","271,040,108",97.82,2.18
006,Alford,2016,"267,378,586",0,"1,690,003","30,000","4,330,115","273,428,704",97.79,2.21
006,Alford,2017,"269,247,816",0,"1,697,385","30,000","4,701,744","275,676,945",97.67,2.33
007,Amesbury,2003,"1,148,620,000",0,"113,354,880","83,431,300","35,101,450","1,380,507,630",83.20,16.80
007,Amesbury,2004,"1,358,910,775",0,"125,312,975","85,852,600","35,289,450","1,605,365,800",84.65,15.35
007,Amesbury,2005,"1,572,893,438",0,"127,858,842","86,454,600","32,004,230","1,819,211,110",86.46,13.54
007,Amesbury,2006,"1,763,846,361",0,"134,672,079","91,579,760","32,427,870","2,022,526,070",87.21,12.79
007,Amesbury,2007,"1,844,922,210",0,"133,863,040","98,836,500","31,076,840","2,108,698,590",87.49,12.51
007,Amesbury,2008,"1,762,887,693",0,"149,523,527","101,570,180","31,977,433","2,045,958,833",86.16,13.84
007,Amesbury,2009,"1,697,130,620",0,"145,912,320","96,999,630","37,177,775","1,977,220,345",85.83,14.17
007,Amesbury,2010,"1,632,389,706",0,"143,902,844","95,158,230","36,141,665","1,907,592,445",85.57,14.43
007,Amesbury,2011,"1,553,273,302",0,"138,088,178","97,656,060","61,948,533","1,850,966,073",83.92,16.08
007,Amesbury,2012,"1,543,369,026",0,"136,957,354","94,304,060","67,269,603","1,841,900,043",83.79,16.21
007,Amesbury,2013,"1,478,695,853",0,"138,642,632","95,180,185","62,402,765","1,774,921,435",83.31,16.69
007,Amesbury,2014,"1,464,593,499",0,"138,203,916","95,089,225","61,127,705","1,759,014,345",83.26,16.74
007,Amesbury,2015,"1,548,406,689",0,"139,143,921","95,923,650","60,608,567","1,844,082,827",83.97,16.03
007,Amesbury,2016,"1,611,367,672",0,"142,710,063","97,637,475","65,469,939","1,917,185,149",84.05,15.95
007,Amesbury,2017,"1,675,943,007",0,"151,397,953","100,863,000","65,878,297","1,994,082,257",84.05,15.95
008,Amherst,2003,"1,269,406,690",0,"133,142,710","4,628,100","41,391,500","1,448,569,000",87.63,12.37
008,Amherst,2004,"1,307,490,907",0,"131,439,493","4,029,700","42,985,900","1,485,946,000",87.99,12.01
008,Amherst,2005,"1,536,352,054",0,"136,041,446","4,473,700","36,889,700","1,713,756,900",89.65,10.35
008,Amherst,2006,"1,832,502,365",0,"147,780,235","4,900,800","42,438,362","2,027,621,762",90.38,9.62
008,Amherst,2007,"1,848,463,295",0,"147,436,305","4,811,600","45,210,430","2,045,921,630",90.35,9.65
008,Amherst,2008,"1,886,900,759",0,"142,799,941","4,811,600","50,079,360","2,084,591,660",90.52,9.48
008,Amherst,2009,"2,000,917,881",0,"147,637,219","4,563,700","51,143,300","2,204,262,100",90.77,9.23
008,Amherst,2010,"1,918,464,577",0,"154,294,823","4,563,700","50,051,910","2,127,375,010",90.18,9.82
008,Amherst,2011,"1,912,485,770",0,"149,671,530","4,317,000","50,685,600","2,117,159,900",90.33,9.67
008,Amherst,2012,"1,836,413,460",0,"146,292,440","4,557,000","56,507,700","2,043,770,600",89.85,10.15
008,Amherst,2013,"1,839,983,064",0,"148,642,836","4,557,000","56,828,160","2,050,011,060",89.75,10.25
008,Amherst,2014,"1,851,630,904",0,"150,328,496","4,557,000","56,147,300","2,062,663,700",89.77,10.23
008,Amherst,2015,"1,966,756,470",0,"156,271,630","4,669,400","62,830,000","2,190,527,500",89.78,10.22
008,Amherst,2016,"1,975,561,465",0,"158,148,535","4,669,400","62,086,900","2,200,466,300",89.78,10.22
008,Amherst,2017,"1,993,310,284",0,"156,410,516","4,669,400","81,326,380","2,235,716,580",89.16,10.84
009,Andover,2003,"4,467,789,501","8,931,200","641,178,403","685,192,600","110,559,980","5,913,651,684",75.70,24.30
009,Andover,2004,"4,747,196,486","8,756,400","586,983,115","663,066,600","107,565,301","6,113,567,902",77.79,22.21
009,Andover,2005,"5,020,174,746","9,404,900","575,889,705","635,749,200","109,324,908","6,350,543,459",79.20,20.80
009,Andover,2006,"5,505,185,901","13,976,900","556,557,746","635,623,100","94,200,625","6,805,544,272",81.10,18.90
009,Andover,2007,"5,856,115,241","12,584,400","582,821,925","640,188,000","99,325,718","7,191,035,284",81.61,18.39
009,Andover,2008,"5,804,052,251","11,936,700","585,151,793","642,310,600","136,301,731","7,179,753,075",81.01,18.99
009,Andover,2009,"5,754,718,281","11,195,300","583,679,742","649,552,900","161,324,140","7,160,470,363",80.52,19.48
009,Andover,2010,"5,462,980,161","10,866,600","566,418,366","624,853,500","172,538,617","6,837,657,244",80.05,19.95
009,Andover,2011,"5,259,023,861","10,694,100","552,946,894","592,561,900","201,324,807","6,616,551,562",79.64,20.36
009,Andover,2012,"5,440,621,421","8,010,900","547,695,778","578,692,200","223,484,947","6,798,505,246",80.14,19.86
009,Andover,2013,"5,441,912,945","8,391,900","544,010,554","574,064,300","234,340,227","6,802,719,926",80.12,19.88
009,Andover,2014,"5,474,892,385","8,409,800","541,616,314","578,490,500","237,117,137","6,840,526,136",80.16,19.84
009,Andover,2015,"5,793,267,930","7,958,400","580,548,306","601,623,300","246,548,798","7,229,946,734",80.24,19.76
009,Andover,2016,"6,110,208,385","7,256,700","573,623,228","603,476,100","247,911,769","7,542,476,182",81.11,18.89
009,Andover,2017,"6,184,310,780","7,244,800","577,433,480","601,695,200","294,625,929","7,665,310,189",80.77,19.23
010,Arlington,2003,"4,185,308,522","76,200","239,374,357","16,932,100","58,444,380","4,500,135,559",93.01,6.99
010,Arlington,2004,"5,627,884,519",0,"271,051,747","18,791,800","72,886,600","5,990,614,666",93.95,6.05
010,Arlington,2005,"5,650,865,334",0,"270,099,532","18,791,800","67,553,170","6,007,309,836",94.07,5.93
010,Arlington,2006,"6,122,484,385",0,"269,489,678","20,197,900","71,584,770","6,483,756,733",94.43,5.57
010,Arlington,2007,"6,635,259,255",0,"289,620,695","21,784,000","65,057,570","7,011,721,520",94.63,5.37
010,Arlington,2008,"6,497,342,842",0,"293,832,142","21,739,500","70,349,800","6,883,264,284",94.39,5.61
010,Arlington,2009,"6,382,182,512",0,"304,834,211","21,787,300","81,968,320","6,790,772,343",93.98,6.02
010,Arlington,2010,"6,482,931,507",0,"294,051,850","20,969,800","94,783,100","6,892,736,257",94.05,5.95
010,Arlington,2011,"6,510,546,607",0,"296,363,250","20,969,800","98,709,740","6,926,589,397",93.99,6.01
010,Arlington,2012,"6,534,177,068",0,"297,247,489","20,969,800","102,400,210","6,954,794,567",93.95,6.05
010,Arlington,2013,"6,750,291,829",0,"332,259,203","16,149,400","102,576,650","7,201,277,082",93.74,6.26
010,Arlington,2014,"6,924,743,377",0,"331,293,424","16,149,400","105,443,220","7,377,629,421",93.86,6.14
010,Arlington,2015,"7,318,205,556",0,"332,008,695","16,149,400","103,748,620","7,770,112,271",94.18,5.82
010,Arlington,2016,"8,002,595,342",0,"378,899,077","17,588,600","114,815,530","8,513,898,549",93.99,6.01
010,Arlington,2017,"8,427,530,080",0,"389,586,036","20,065,800","115,034,490","8,952,216,406",94.14,5.86
011,Ashburnham,2003,"403,800,950","218,100","9,003,350","3,489,200","2,920,635","419,432,235",96.33,3.67
011,Ashburnham,2004,"465,824,730","218,100","8,939,770","3,527,800","2,973,795","481,484,195",96.79,3.21
011,Ashburnham,2005,"542,223,490","301,600","10,331,010","4,113,800","2,708,768","559,678,668",96.94,3.06
011,Ashburnham,2006,"605,246,780","326,600","11,380,820","4,977,300","3,472,418","625,403,918",96.83,3.17
011,Ashburnham,2007,"638,947,400","327,500","12,644,900","4,638,400","3,686,705","660,244,905",96.82,3.18
011,Ashburnham,2008,"647,193,970","329,100","12,806,830","4,475,700","4,779,135","669,584,735",96.71,3.29
011,Ashburnham,2009,"663,427,825",0,"15,421,075","5,165,700","7,001,494","691,016,094",96.01,3.99
011,Ashburnham,2010,"600,605,155",0,"14,494,445","4,947,700","7,492,082","627,539,382",95.71,4.29
011,Ashburnham,2011,"578,710,815",0,"14,244,685","5,067,900","8,753,465","606,776,865",95.37,4.63
011,Ashburnham,2012,"548,559,790",0,"13,708,810","4,772,100","8,730,728","575,771,428",95.27,4.73
011,Ashburnham,2013,"545,555,920",0,"13,916,830","4,577,100","8,731,825","572,781,675",95.25,4.75
011,Ashburnham,2014,"535,366,169",0,"12,962,705","4,261,200","7,837,245","560,427,319",95.53,4.47
011,Ashburnham,2015,"536,171,494",0,"12,804,080","4,111,300","10,838,623","563,925,497",95.08,4.92
011,Ashburnham,2016,"537,984,279",0,"13,294,895","4,131,300","10,435,703","565,846,177",95.08,4.92
011,Ashburnham,2017,"545,329,574",0,"13,555,600","4,291,300","10,852,315","574,028,789",95.00,5.00
012,Ashby,2003,"217,615,600",0,"7,186,600","687,100","3,264,500","228,753,800",95.13,4.87
012,Ashby,2004,"241,746,500",0,"7,428,700","880,800","3,599,200","253,655,200",95.31,4.69
012,Ashby,2005,"281,100,400",0,"8,155,700","1,071,700","3,913,500","294,241,300",95.53,4.47
012,Ashby,2006,"325,026,200",0,"8,713,000","1,154,600","4,094,100","338,987,900",95.88,4.12
012,Ashby,2007,"332,686,900",0,"12,153,700","1,171,100","3,991,400","350,003,100",95.05,4.95
012,Ashby,2008,"332,834,200",0,"12,297,300","1,102,300","4,152,964","350,386,764",94.99,5.01
012,Ashby,2009,"332,841,290",0,"12,020,110","1,120,400","5,821,475","351,803,275",94.61,5.39
012,Ashby,2010,"303,045,953",0,"8,945,276","1,007,700","6,194,976","319,193,905",94.94,5.06
012,Ashby,2011,"285,989,400",0,"7,107,000","952,200","8,273,155","302,321,755",94.60,5.40
012,Ashby,2012,"265,657,772",0,"7,949,167","714,600","8,079,285","282,400,824",94.07,5.93
012,Ashby,2013,"265,047,200",0,"8,655,200","701,700","8,516,277","282,920,377",93.68,6.32
012,Ashby,2014,"248,727,214",0,"8,656,286","640,100","9,170,052","267,193,652",93.09,6.91
012,Ashby,2015,"249,013,224",0,"8,442,155","661,300","9,264,288","267,380,967",93.13,6.87
012,Ashby,2016,"251,057,747",0,"8,560,653","666,700","9,526,012","269,811,112",93.05,6.95
012,Ashby,2017,"252,813,116",0,"8,808,362","666,700","9,391,448","271,679,626",93.06,6.94
013,Ashfield,2003,"126,337,424",0,"6,928,874","1,218,794","3,928,910","138,414,002",91.28,8.72
013,Ashfield,2004,"134,658,910",0,"6,752,463","1,194,668","4,290,930","146,896,971",91.67,8.33
013,Ashfield,2005,"162,709,373",0,"8,138,017","1,425,698","4,479,670","176,752,758",92.05,7.95
013,Ashfield,2006,"198,593,677",0,"9,251,399","1,849,730","4,673,741","214,368,547",92.64,7.36
013,Ashfield,2007,"204,350,772",0,"9,110,733","1,779,706","5,698,177","220,939,388",92.49,7.51
013,Ashfield,2008,"210,305,701",0,"8,714,580","1,826,458","5,142,332","225,989,071",93.06,6.94
013,Ashfield,2009,"207,924,195",0,"9,672,054","1,741,484","6,756,926","226,094,659",91.96,8.04
013,Ashfield,2010,"205,203,932",0,"8,655,416","969,334","6,274,243","221,102,925",92.81,7.19
013,Ashfield,2011,"205,798,643",0,"8,496,462","969,334","7,014,022","222,278,461",92.59,7.41
013,Ashfield,2012,"202,819,973",0,"8,400,678","982,408","7,630,247","219,833,306",92.26,7.74
013,Ashfield,2013,"203,751,677",0,"8,344,599","951,828","7,341,293","220,389,397",92.45,7.55
013,Ashfield,2014,"198,103,818",0,"8,378,179","952,532","8,238,606","215,673,135",91.85,8.15
013,Ashfield,2015,"203,968,503",0,"8,191,809","973,858","10,901,501","224,035,671",91.04,8.96
013,Ashfield,2016,"204,621,363",0,"8,236,899","973,858","11,282,496","225,114,616",90.90,9.10
013,Ashfield,2017,"215,351,408",0,"8,485,030","982,006","15,563,586","240,382,030",89.59,10.41
014,Ashland,2003,"1,538,759,110","12,036,063","78,210,190","53,703,937","25,897,700","1,708,607,000",90.76,9.24
014,Ashland,2004,"1,578,668,028","9,314,000","80,231,519","52,010,900","29,035,230","1,749,259,677",90.78,9.22
014,Ashland,2005,"1,773,289,500","10,098,400","91,312,300","54,125,800","31,332,570","1,960,158,570",90.98,9.02
014,Ashland,2006,"2,110,206,300","1,413,300","113,727,900","41,004,200","35,067,300","2,301,419,000",91.75,8.25
014,Ashland,2007,"2,201,338,000","835,100","116,920,100","43,916,800","36,129,000","2,399,139,000",91.79,8.21
014,Ashland,2008,"2,205,246,600","737,200","117,497,200","44,511,900","39,237,640","2,407,230,540",91.64,8.36
014,Ashland,2009,"2,124,422,300","422,300","117,004,300","44,370,700","38,062,060","2,324,281,660",91.42,8.58
014,Ashland,2010,"2,006,673,000","321,300","111,666,000","42,063,300","39,820,250","2,200,543,850",91.20,8.80
014,Ashland,2011,"1,957,335,900","314,900","109,497,300","40,078,500","42,556,260","2,149,782,860",91.06,8.94
014,Ashland,2012,"1,929,956,300","314,900","109,069,000","38,854,800","45,048,440","2,123,243,440",90.91,9.09
014,Ashland,2013,"1,906,087,400","314,900","109,120,200","38,573,400","46,960,170","2,101,056,070",90.74,9.26
014,Ashland,2014,"1,940,827,500","314,900","110,098,500","37,754,700","49,830,900","2,138,826,500",90.76,9.24
014,Ashland,2015,"2,022,100,859","273,600","113,448,919","35,906,400","52,583,970","2,224,313,748",90.92,9.08
014,Ashland,2016,"2,133,936,200","285,200","131,600,766","35,904,200","50,499,030","2,352,225,396",90.73,9.27
014,Ashland,2017,"2,258,966,961","285,200","142,471,796","37,714,400","52,196,290","2,491,634,647",90.67,9.33
015,Athol,2003,"327,232,147",0,"31,132,453","12,096,600","13,180,824","383,642,024",85.30,14.70
015,Athol,2004,"516,234,334",0,"43,685,766","15,903,700","13,211,250","589,035,050",87.64,12.36
015,Athol,2005,"619,669,493",0,"47,722,907","16,546,100","13,214,648","697,153,148",88.89,11.11
015,Athol,2006,"671,671,818",0,"48,577,782","16,289,300","12,993,950","749,532,850",89.61,10.39
015,Athol,2007,"771,446,362",0,"54,160,738","16,602,300","14,237,145","856,446,545",90.08,9.92
015,Athol,2008,"768,609,132",0,"53,560,868","16,724,500","14,225,971","853,120,471",90.09,9.91
015,Athol,2009,"730,511,653",0,"52,074,147","16,595,000","18,422,517","817,603,317",89.35,10.65
015,Athol,2010,"639,640,253",0,"50,961,347","15,265,600","18,535,838","724,403,038",88.30,11.70
015,Athol,2011,"618,146,631",0,"49,157,169","15,314,100","19,390,432","702,008,332",88.05,11.95
015,Athol,2012,"579,187,096",0,"48,555,204","15,706,000","19,333,898","662,782,198",87.39,12.61
015,Athol,2013,"551,330,371",0,"48,521,011","15,526,200","19,241,022","634,618,604",86.88,13.12
015,Athol,2014,"530,036,331",0,"47,809,717","14,010,169","23,780,507","615,636,724",86.10,13.90
015,Athol,2015,"529,515,971",0,"55,096,002","13,912,669","23,757,816","622,282,458",85.09,14.91
015,Athol,2016,"530,178,571",0,"56,583,327","13,912,669","24,080,765","624,755,332",84.86,15.14
015,Athol,2017,"556,097,035",0,"61,944,486","14,239,000","25,243,833","657,524,354",84.57,15.43
016,Attleboro,2003,"2,124,248,249",0,"237,971,351","130,992,200","66,256,402","2,559,468,202",83.00,17.00
016,Attleboro,2004,"2,199,176,919",0,"244,147,681","138,449,100","79,166,526","2,660,940,226",82.65,17.35
016,Attleboro,2005,"3,260,228,969",0,"310,870,531","171,847,400","82,350,839","3,825,297,739",85.23,14.77
016,Attleboro,2006,"3,618,590,850",0,"311,300,950","173,495,500","85,918,898","4,189,306,198",86.38,13.62
016,Attleboro,2007,"3,805,267,645",0,"326,786,255","212,034,900","90,958,615","4,435,047,415",85.80,14.20
016,Attleboro,2008,"3,987,455,263",0,"380,114,377","227,936,606","102,871,389","4,698,377,635",84.87,15.13
016,Attleboro,2009,"3,820,397,850",0,"389,202,492","236,708,600","117,050,838","4,563,359,780",83.72,16.28
016,Attleboro,2010,"3,548,851,803",0,"372,303,132","228,492,900","118,162,538","4,267,810,373",83.15,16.85
016,Attleboro,2011,"3,318,976,429",0,"377,315,516","228,625,400","113,992,485","4,038,909,830",82.18,17.82
016,Attleboro,2012,"3,245,043,883",0,"389,576,369","226,229,200","116,187,870","3,977,037,322",81.59,18.41
016,Attleboro,2013,"3,116,705,691",0,"405,223,836","226,630,400","118,309,978","3,866,869,905",80.60,19.40
016,Attleboro,2014,"3,007,081,109",0,"398,941,958","219,926,200","115,181,408","3,741,130,675",80.38,19.62
016,Attleboro,2015,"3,175,775,768",0,"403,913,661","222,982,700","117,800,058","3,920,472,187",81.00,19.00
016,Attleboro,2016,"3,282,673,491",0,"406,919,563","218,023,600","122,234,119","4,029,850,773",81.46,18.54
016,Attleboro,2017,"3,559,600,747",0,"418,763,281","223,133,700","130,343,883","4,331,841,611",82.17,17.83
017,Auburn,2003,"846,233,456","2,855,700","239,204,724","87,033,820","26,423,794","1,201,751,494",70.65,29.35
017,Auburn,2004,"1,136,839,666","3,159,300","250,926,446","102,215,580","32,853,310","1,525,994,302",74.71,25.29
017,Auburn,2005,"1,247,284,629","2,884,400","300,305,377","111,763,980","32,770,150","1,695,008,536",73.76,26.24
017,Auburn,2006,"1,427,427,261","3,819,000","333,581,440","121,745,180","38,776,140","1,925,349,021",74.34,25.66
017,Auburn,2007,"1,555,529,868",0,"384,141,972","144,161,900","38,840,860","2,122,674,600",73.28,26.72
017,Auburn,2008,"1,557,995,634",0,"375,341,260","140,576,300","48,964,560","2,122,877,754",73.39,26.61
017,Auburn,2009,"1,500,360,659",0,"372,353,085","150,513,100","56,739,520","2,079,966,364",72.13,27.87
017,Auburn,2010,"1,326,664,929",0,"341,714,197","140,535,600","53,519,260","1,862,433,986",71.23,28.77
017,Auburn,2011,"1,297,388,619",0,"332,213,523","138,807,100","57,133,200","1,825,542,442",71.07,28.93
017,Auburn,2012,"1,289,813,934",0,"331,588,017","140,645,800","60,476,300","1,822,524,051",70.77,29.23
017,Auburn,2013,"1,275,580,965",0,"329,718,830","142,020,000","65,380,280","1,812,700,075",70.37,29.63
017,Auburn,2014,"1,281,204,881",0,"347,357,208","139,308,300","58,227,740","1,826,098,129",70.16,29.84
017,Auburn,2015,"1,332,100,174",0,"346,344,098","140,389,200","63,969,780","1,882,803,252",70.75,29.25
017,Auburn,2016,"1,361,781,137",0,"355,591,771","140,972,700","72,838,010","1,931,183,618",70.52,29.48
