Municipal,Fiscal_Year,Total_Budget,Residential,Open_Space,Commercial,Industrial,Personal_Property,Total_Levy,Inflation_Adjusted_Residential,Inflation_Adjusted_Open_Space,Inflation_Adjusted_Commercial,Inflation_Adjusted_Industrial,Inflation_Adjusted_Personal_Property,Inflation_Adjusted_Total_Levy,Percentage_of_Residential,Percentage_of_Open_Space,Percentage_of_Commercial,Percentage_of_Industrial,Percentage_of_Personal_Property,Total_Levy_Pct_Change,Total_Levy_Million,Residential_Million,Open_Space_Million,Commercial_Million,Industrial_Million,Personal_Property_Million
Adams,2010,13690519.94,6290748,0,625539,499283,396873,7812443,7244244,0,720353,574960,457027,8996584,80.52,0,8.01,6.39,5.08,13.6,9,7.24,0,0.72,0.57,0.46
Adams,2011,13437737.3,6616422,0,648160,523077,410307,8197966,7386135,0,723563,583929,458040,9151666,80.71,0,7.91,6.38,5,15.6,9.15,7.39,0,0.72,0.58,0.46
Adams,2012,13056942.29,7082262,0,695169,566323,452072,8795826,7745871,0,760306,619388,494431,9619997,80.52,0,7.9,6.44,5.14,21.5,9.62,7.75,0,0.76,0.62,0.49
Adams,2013,13596816.38,7029068,0,709379,565641,467335,8771423,7576712,0,764648,609711,503746,9454817,80.14,0,8.09,6.45,5.33,19.4,9.45,7.58,0,0.76,0.61,0.5
Adams,2014,14288126,7694799,0,799004,599402,510966,9604171,8161910,0,847507,635789,541984,10187190,80.12,0,8.32,6.24,5.32,28.7,10.19,8.16,0,0.85,0.64,0.54
Adams,2015,15086055,8290914,0,866526,677750,543261,10378451,8783786,0,918039,718040,575556,10995421,79.89,0,8.35,6.53,5.23,38.9,11,8.78,0,0.92,0.72,0.58
Adams,2016,15350136,8467474,0,911712,726278,624556,10730020,10124624,0,1090141,868416,746786,12829968,78.91,0,8.5,6.77,5.82,62,12.83,10.12,0,1.09,0.87,0.75
Adams,2017,15546735,8989219,0,840272,704867,597350,11131708,9208779,0,860795,722083,611940,11403597,80.75,0,7.55,6.33,5.37,44,11.4,9.21,0,0.86,0.72,0.61
Adams,2018,16521067,9307481,0,880161,736423,623413,11547478,9307481,0,880161,736423,623413,11547478,80.6,0,7.62,6.38,5.4,45.8,11.55,9.31,0,0.88,0.74,0.62
Agawam,2003,64099999.3,19694097,0,4249884,6645206,2605508,33194695,26876770,0,5799868,9068792,3555768,45301197,59.33,0,12.8,20.02,7.85,0,45.3,26.88,0,5.8,9.07,3.56
Agawam,2004,64047815.26,21138113,0,4465889,5966605,3611218,35181825,28099143,0,5936559,7931478,4800435,46767615,60.08,0,12.69,16.96,10.26,3.2,46.77,28.1,0,5.94,7.93,4.8
Agawam,2005,66210859.23,22530691,0,5610169,6156878,3671606,37969344,28968839,0,7213276,7916207,4720768,48819089,59.34,0,14.78,16.22,9.67,7.8,48.82,28.97,0,7.21,7.92,4.72
Agawam,2006,70524557.13,23466856,0,6203753,6632569,3100473,39403651,29229622,0,7727211,8261332,3861858,49080023,59.56,0,15.74,16.83,7.87,8.3,49.08,29.23,0,7.73,8.26,3.86
Agawam,2007,74304342.13,25234456,0,6100445,6565265,2974145,40874311,30560854,0,7388105,7951037,3601917,49501913,61.74,0,14.92,16.06,7.28,9.3,49.5,30.56,0,7.39,7.95,3.6
Agawam,2008,77666007.27,26298504,0,6143989,6629662,3010887,42083042,30671837,0,7165709,7732147,3511585,49081278,62.49,0,14.6,15.75,7.15,8.3,49.08,30.67,0,7.17,7.73,3.51
Agawam,2009,80528424.6,27624866,0,6226323,6030292,2740846,42622327,32333804,0,7287663,7058216,3208051,49887733,64.81,0,14.61,14.15,6.43,10.1,49.89,32.33,0,7.29,7.06,3.21
Agawam,2010,80578879.02,28786614,0,6435977,6236613,2802625,44261829,33149834,0,7411485,7181904,3227422,50970646,65.04,0,14.54,14.09,6.33,12.5,50.97,33.15,0,7.41,7.18,3.23
Agawam,2011,81642942.78,29881875,0,6454974,6273258,2994978,45605085,33358146,0,7205905,7003050,3343395,50910496,65.52,0,14.15,13.76,6.57,12.4,50.91,33.36,0,7.21,7,3.34
Agawam,2012,84000550.14,30887173,0,6688174,6243820,3314339,47133506,33781307,0,7314857,6828867,3624893,51549924,65.53,0,14.19,13.25,7.03,13.8,51.55,33.78,0,7.31,6.83,3.62
Agawam,2013,90634593.67,32014931,0,6826799,5985464,5231141,50058335,34509258,0,7358684,6451800,5638706,53958449,63.96,0,13.64,11.96,10.45,19.1,53.96,34.51,0,7.36,6.45,5.64
Agawam,2014,92263452,31856275,0,6982326,6015547,6884755,51738903,33790102,0,7406186,6380719,7302692,54879700,61.57,0,13.5,11.63,13.31,21.1,54.88,33.79,0,7.41,6.38,7.3
Agawam,2015,95263871,32368273,0,7078707,6089191,8228598,53764769,34292477,0,7499516,6451176,8717765,56960935,60.2,0,13.17,11.33,15.3,25.7,56.96,34.29,0,7.5,6.45,8.72
Agawam,2016,96322636,33761538,0,7656694,5631696,8325903,55375831,40368933,0,9155168,6733863,9955347,66213311,60.97,0,13.83,10.17,15.04,46.2,66.21,40.37,0,9.16,6.73,9.96
Agawam,2017,100495322,34831314,0,7957334,5937890,8754015,57480553,35682061,0,8151690,6082922,8967830,58884502,60.6,0,13.84,10.33,15.23,30,58.88,35.68,0,8.15,6.08,8.97
Agawam,2018,103527395,36696018,0,8198440,6063477,8718745,59676680,36696018,0,8198440,6063477,8718745,59676680,61.49,0,13.74,10.16,14.61,31.7,59.68,36.7,0,8.2,6.06,8.72
Alford,2003,974340.96,787670,0,10960,140,15272,814042,1074943,0,14957,191,20842,1110933,96.76,0,1.35,0.02,1.88,0,1.11,1.07,0,0.01,0,0.02
Alford,2004,1024945.29,817595,0,9660,140,19996,847391,1086839,0,12841,186,26581,1126447,96.48,0,1.14,0.02,2.36,1.4,1.13,1.09,0,0.01,0,0.03
Alford,2005,1231546.18,868642,0,9432,0,16564,894638,1116857,0,12127,0,21297,1150281,97.09,0,1.05,0,1.85,3.5,1.15,1.12,0,0.01,0,0.02
Alford,2006,1040390.55,900134,0,9342,136,17126,926738,1121180,0,11636,169,21332,1154317,97.13,0,1.01,0.01,1.85,3.9,1.15,1.12,0,0.01,0,0.02
Alford,2007,1121606.96,941894,0,9144,137,20540,971715,1140706,0,11074,166,24876,1176821,96.93,0,0.94,0.01,2.11,5.9,1.18,1.14,0,0.01,0,0.02
Alford,2008,1356563.57,988956,0,9814,113,14704,1013587,1153415,0,11446,132,17149,1182142,97.57,0,0.97,0.01,1.45,6.4,1.18,1.15,0,0.01,0,0.02
Alford,2009,1231996,1036495,0,8861,117,17525,1062998,1213176,0,10371,137,20512,1244197,97.51,0,0.83,0.01,1.65,12,1.24,1.21,0,0.01,0,0.02
Alford,2010,1346364.7,1093136,0,9233,124,18486,1120979,1258824,0,10632,143,21288,1290887,97.52,0,0.82,0.01,1.65,16.2,1.29,1.26,0,0.01,0,0.02
Alford,2011,1466647.38,1066414,0,8840,118,16154,1091526,1190474,0,9868,132,18033,1218507,97.7,0,0.81,0.01,1.48,9.7,1.22,1.19,0,0.01,0,0.02
Alford,2012,1419387.72,1105551,0,7031,121,16660,1129363,1209141,0,7690,132,18221,1235185,97.89,0,0.62,0.01,1.48,11.2,1.24,1.21,0,0.01,0,0.02
Alford,2013,1277315.26,1116095,0,6967,131,16826,1140019,1203051,0,7510,141,18137,1228839,97.9,0,0.61,0.01,1.48,10.6,1.23,1.2,0,0.01,0,0.02
Alford,2014,1435082,1131870,0,7048,129,17831,1156878,1200580,0,7476,137,18913,1227106,97.84,0,0.61,0.01,1.54,10.5,1.23,1.2,0,0.01,0,0.02
Alford,2015,1380257,1140102,0,7334,129,17908,1165473,1207878,0,7770,137,18973,1234757,97.82,0,0.63,0.01,1.54,11.1,1.23,1.21,0,0.01,0,0.02
Alford,2016,1516597,1229941,0,7774,138,19919,1257772,1470650,0,9295,165,23817,1503928,97.79,0,0.62,0.01,1.58,35.4,1.5,1.47,0,0.01,0,0.02
Alford,2017,1581602,1373164,0,8657,153,23979,1405953,1406703,0,8868,157,24565,1440293,97.67,0,0.62,0.01,1.71,29.6,1.44,1.41,0,0.01,0,0.02
Alford,2018,1694909,1390303,0,8903,154,25804,1425164,1390303,0,8903,154,25804,1425164,97.55,0,0.62,0.01,1.81,28.3,1.43,1.39,0,0.01,0,0.03
Amesbury,2003,44676119.52,19756264,0,1949704,1435018,603745,23744731,26961610,0,2660784,1958386,823938,32404718,83.2,0,8.21,6.04,2.54,0,32.4,26.96,0,2.66,1.96,0.82
Amesbury,2004,46504281.67,21416434,0,1974932,1353037,556162,25300565,28469119,0,2625300,1798608,739313,33632340,84.65,0,7.81,5.35,2.2,3.8,33.63,28.47,0,2.63,1.8,0.74
Amesbury,2005,47357904.01,22398003,0,1820710,1231114,455740,25905567,28798235,0,2340978,1582905,585968,33308086,86.46,0,7.03,4.75,1.76,2.8,33.31,28.8,0,2.34,1.58,0.59
Amesbury,2006,50484926.46,23970672,0,1830194,1244569,440695,27486130,29857160,0,2279636,1550198,548917,34235911,87.21,0,6.66,4.53,1.6,5.7,34.24,29.86,0,2.28,1.55,0.55
Amesbury,2007,50933052.23,24279176,0,2070861,1529001,480759,28359797,29403937,0,2507971,1851737,582236,34345880,85.61,0,7.3,5.39,1.7,6,34.35,29.4,0,2.51,1.85,0.58
Amesbury,2008,54610148.18,25738160,0,2571805,1747007,550012,30606984,30018310,0,2999486,2037527,641477,35696799,84.09,0,8.4,5.71,1.8,10.2,35.7,30.02,0,3,2.04,0.64
Amesbury,2009,55843673.69,28053569,0,2411931,1603404,614549,32683453,32835583,0,2823069,1876720,719305,38254678,85.83,0,7.38,4.91,1.88,18.1,38.25,32.84,0,2.82,1.88,0.72
Amesbury,2010,55951772.67,29007565,0,2557154,1690962,642237,33897918,33404275,0,2944745,1947263,739582,39035865,85.57,0,7.54,4.99,1.89,20.5,39.04,33.4,0,2.94,1.95,0.74
Amesbury,2011,55353099.71,28673425,0,2549108,1802731,1143570,34168834,32009112,0,2845655,2012449,1276606,38143823,83.92,0,7.46,5.28,3.35,17.7,38.14,32.01,0,2.85,2.01,1.28
Amesbury,2012,57004210.83,29524649,0,2619994,1804037,1286868,35235548,32291114,0,2865488,1973076,1407448,38537125,83.79,0,7.44,5.12,3.65,18.9,38.54,32.29,0,2.87,1.97,1.41
Amesbury,2013,58162402.83,29928804,0,2806127,1926447,1263032,35924410,32260598,0,3024756,2076539,1361437,38723330,83.31,0,7.81,5.36,3.52,19.5,38.72,32.26,0,3.02,2.08,1.36
Amesbury,2014,60495015,30712526,0,2898136,1994021,1281848,36886531,32576922,0,3074067,2115068,1359662,39125719,83.26,0,7.86,5.41,3.48,20.7,39.13,32.58,0,3.07,2.12,1.36
Amesbury,2015,61335914,31804273,0,2858016,1970272,1244900,37877461,33694948,0,3027917,2087399,1318906,40129170,83.97,0,7.55,5.2,3.29,23.8,40.13,33.69,0,3.03,2.09,1.32
Amesbury,2016,63628082,32678536,0,2894160,1980088,1327730,38880514,39073979,0,3460570,2367607,1587577,46489732,84.05,0,7.44,5.09,3.41,43.5,46.49,39.07,0,3.46,2.37,1.59
Amesbury,2017,65176506,33435063,0,3020389,2012217,1314272,39781941,34251707,0,3094161,2061365,1346373,40753606,84.05,0,7.59,5.06,3.3,25.8,40.75,34.25,0,3.09,2.06,1.35
Amesbury,2018,67553666,34650974,0,2925320,1971637,1279665,40827596,34650974,0,2925320,1971637,1279665,40827596,84.87,0,7.17,4.83,3.13,26,40.83,34.65,0,2.93,1.97,1.28
Amherst,2003,56672544.6,21719548,0,2278072,79187,708209,24785016,29640927,0,3108912,108067,966501,33824408,87.63,0,9.19,0.32,2.86,0,33.82,29.64,0,3.11,0.11,0.97
Amherst,2004,59485598.4,22750342,0,2287047,70117,747955,25855461,30242298,0,3040199,93207,994265,34369970,87.99,0,8.85,0.27,2.89,1.6,34.37,30.24,0,3.04,0.09,0.99
Amherst,2005,59718854.65,25641716,0,2270532,74666,615689,28602603,32968840,0,2919337,96002,791622,36775800,89.65,0,7.94,0.26,2.15,8.7,36.78,32.97,0,2.92,0.1,0.79
Amherst,2006,63824132.74,27597486,0,2225570,73806,639122,30535984,34374613,0,2772104,91931,796071,38034719,90.38,0,7.29,0.24,2.09,12.4,38.03,34.37,0,2.77,0.09,0.8
Amherst,2007,67403878.16,28983904,0,2311801,75446,708900,32080051,35101722,0,2799768,91371,858532,38851392,90.35,0,7.21,0.24,2.21,14.9,38.85,35.1,0,2.8,0.09,0.86
Amherst,2008,70166213.39,30228150,0,2287655,77082,802271,33395158,35254967,0,2668083,89900,935685,38948635,90.52,0,6.85,0.23,2.4,15.1,38.95,35.25,0,2.67,0.09,0.94
Amherst,2009,73422737.42,31654521,0,2335621,72198,809087,34871427,37050354,0,2733751,84505,947004,40815614,90.77,0,6.7,0.21,2.32,20.7,40.82,37.05,0,2.73,0.08,0.95
Amherst,2010,71427931.42,32517975,0,2615297,77355,848380,36059007,37446762,0,3011701,89080,976970,41524512,90.18,0,7.25,0.21,2.35,22.8,41.52,37.45,0,3.01,0.09,0.98
Amherst,2011,72456981.18,34807241,0,2724022,78569,922478,38532310,38856498,0,3040918,87709,1029793,43014919,90.33,0,7.07,0.2,2.39,27.2,43.01,38.86,0,3.04,0.09,1.03
Amherst,2012,75179227.65,36250802,0,2887813,89955,1115462,40344032,39647509,0,3158402,98384,1219981,44124275,89.85,0,7.16,0.22,2.76,30.5,44.12,39.65,0,3.16,0.1,1.22
Amherst,2013,77689577.51,37517255,0,3030827,92917,1158726,41799725,40440276,0,3266963,100156,1249004,45056399,89.75,0,7.25,0.22,2.77,33.2,45.06,40.44,0,3.27,0.1,1.25
Amherst,2014,80255790,38828700,0,3152389,95560,1177409,43254058,41185787,0,3343754,101361,1248883,45879785,89.77,0,7.29,0.22,2.72,35.6,45.88,41.19,0,3.34,0.1,1.25
Amherst,2015,82597290,40397178,0,3209819,95909,1290528,44993434,42798678,0,3400634,101611,1367246,47668168,89.78,0,7.13,0.21,2.87,40.9,47.67,42.8,0,3.4,0.1,1.37
Amherst,2016,84635578,41921414,0,3355912,99085,1317484,46693895,50125760,0,4012690,118477,1575326,55832253,89.78,0,7.19,0.21,2.82,65.1,55.83,50.13,0,4.01,0.12,1.58
Amherst,2017,90497442,43513963,0,3414442,101933,1775355,48805693,44576782,0,3497839,104423,1818718,49997761,89.16,0,7,0.21,3.64,47.8,50,44.58,0,3.5,0.1,1.82
Amherst,2018,89602922,45205953,0,3664975,99641,1742226,50712795,45205953,0,3664975,99641,1742226,50712795,89.14,0,7.23,0.2,3.44,49.9,50.71,45.21,0,3.66,0.1,1.74
Andover,2003,110625297.2,51960392,103870,10605091,11333086,1828662,75831101,70910968,141753,14472894,15466398,2495597,103487610,68.52,0.14,13.99,14.95,2.41,0,103.49,70.91,0.14,14.47,15.47,2.5
Andover,2004,111810612.8,54450344,100436,10642004,12021397,1950159,79164340,72381485,133511,14146542,15980185,2592369,105234092,68.78,0.13,13.44,15.19,2.46,1.7,105.23,72.38,0.13,14.15,15.98,2.59
Andover,2005,114893386.4,57782211,108250,10366015,11443486,1967848,81667810,74293485,139182,13328105,14713464,2530161,105004397,70.75,0.13,12.69,14.01,2.41,1.5,105,74.29,0.14,13.33,14.71,2.53
Andover,2006,120383474.3,62759119,159337,9990212,11409435,1690901,86009004,78170903,198465,12443513,14211255,2106136,107130273,72.97,0.19,11.62,13.27,1.97,3.5,107.13,78.17,0.2,12.44,14.21,2.11
Andover,2007,128185806.2,65881296,141575,10683126,11734646,1820640,90261283,79787282,171458,12938082,14211553,2204934,109313308,72.99,0.16,11.84,13,2.02,5.6,109.31,79.79,0.17,12.94,14.21,2.2
Andover,2008,133966088.5,67849371,139540,11193954,12287402,2607452,94077719,79132441,162745,13055462,14330746,3041061,109722455,72.12,0.15,11.9,13.06,2.77,6,109.72,79.13,0.16,13.06,14.33,3.04
Andover,2009,138674534.7,69977374,136135,11661921,12978067,3223256,97976753,81905725,159341,13649813,15190310,3772693,114677881,71.42,0.14,11.9,13.25,3.29,10.8,114.68,81.91,0.16,13.65,15.19,3.77
Andover,2010,136619405.4,72056708,143330,12081704,13328125,3680249,101290116,82978427,165055,13912942,15348284,4238069,116642776,71.14,0.14,11.93,13.16,3.63,12.7,116.64,82.98,0.17,13.91,15.35,4.24
Andover,2011,139893172.3,74257417,151001,12419187,13308940,4521755,104658300,82896062,168568,13863958,14857219,5047788,116833594,70.95,0.14,11.87,12.72,4.32,12.9,116.83,82.9,0.17,13.86,14.86,5.05
