"Municipal","County","State","Year","Residential","Open.Space","Commercial","Industrial","Personal.Property","Total.Assessed","R/O as % of Total Value","CIP as % of Total Value","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Assessed","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property","Total_Assessed_Pct_Change","Total_Assessed_Million","Residential_Million","Open_Space_Million","Commercial_Million","Industrial_Million","Personal_Property_Million"
"Barnstable","Barnstable","MA",2017,11609385779,0,1291731901,80275500,249000650,13230393830,87.75,12.25,11892942374,0,1323282158,82236211,255082434,13553543177,87.75,0,9.76,0.61,1.88,32.2,13553.54,11892.94,0,1323.28,82.24,255.08
"Barnstable","Barnstable","MA",2018,11966381614,0,1304032686,78707200,263193250,13612314750,87.91,12.09,11966381614,0,1304032686,78707200,263193250,13612314750,87.91,0,9.58,0.58,1.93,32.8,13612.31,11966.38,0,1304.03,78.71,263.19
"Bourne","Barnstable","MA",2003,2600848928,806100,263052832,20572900,64764890,2950045650,88.19,11.81,3549409629,1100094,358991345,28076083,88385420,4025962571,88.16,0.03,8.92,0.7,2.2,0,4025.96,3549.41,1.1,358.99,28.08,88.39
"Bourne","Barnstable","MA",2004,3032972582,454780,285432968,22982800,73250330,3415093460,88.82,11.18,4031766258,604544,379429414,30551307,97372528,4539724052,88.81,0.01,8.36,0.67,2.14,12.8,4539.72,4031.77,0.6,379.43,30.55,97.37
"Bourne","Barnstable","MA",2005,3572807952,609460,319706968,26922220,80046050,4000092650,89.33,10.67,4593738282,783613,411063275,34615248,102919219,5143119637,89.32,0.02,7.99,0.67,2,27.7,5143.12,4593.74,0.78,411.06,34.62,102.92
"Bourne","Barnstable","MA",2006,4073243219,280600,355491436,31210720,70262030,4530488005,89.91,10.09,5073511334,349507,442789623,38875150,87516307,5643041922,89.91,0.01,7.85,0.69,1.55,40.2,5643.04,5073.51,0.35,442.79,38.88,87.52
"Bourne","Barnstable","MA",2007,4298715115,311500,376809785,34114210,72729670,4782680280,89.89,10.11,5206072365,377250,456345433,41314914,88081186,5792191148,89.88,0.01,7.88,0.71,1.52,43.9,5792.19,5206.07,0.38,456.35,41.31,88.08
"Bourne","Barnstable","MA",2008,4377051879,316000,385936461,33163110,81476190,4877943640,89.74,10.26,5104937535,368549,450116101,38677998,95025344,5689125528,89.73,0.01,7.91,0.68,1.67,41.3,5689.13,5104.94,0.37,450.12,38.68,95.03
"Bourne","Barnstable","MA",2009,4089345385,0,400553265,33376210,92112520,4615387380,88.6,11.4,4786415637,0,468831617,39065522,107814030,5402126807,88.6,0,8.68,0.72,2,34.2,5402.13,4786.42,0,468.83,39.07,107.81
"Bourne","Barnstable","MA",2010,4085719149,0,394574831,33374510,96212450,4609880940,88.63,11.37,4704996324,0,454380994,38433123,110795482,5308605923,88.63,0,8.56,0.72,2.09,31.9,5308.61,4705,0,454.38,38.43,110.8
"Bourne","Barnstable","MA",2011,3870024721,0,391147829,33203910,99747500,4394123960,88.07,11.93,4320239254,0,436651527,37066646,111351502,4905308929,88.07,0,8.9,0.76,2.27,21.8,4905.31,4320.24,0,436.65,37.07,111.35
"Bourne","Barnstable","MA",2012,3578236558,0,378290712,31454500,100014230,4087996000,87.53,12.47,3913517981,0,413736621,34401792,109385582,4471041977,87.53,0,9.25,0.77,2.45,11.1,4471.04,3913.52,0,413.74,34.4,109.39
"Bourne","Barnstable","MA",2013,3577954295,0,374249795,31253700,99433210,4082891000,87.63,12.37,3856717631,0,403408111,33688719,107180188,4400994649,87.63,0,9.17,0.77,2.44,9.3,4400.99,3856.72,0,403.41,33.69,107.18
"Bourne","Barnstable","MA",2014,3604363498,0,367127612,29950790,104563070,4106004970,87.78,12.22,3823165488,0,389414002,31768945,110910545,4355258980,87.78,0,8.94,0.73,2.55,8.2,4355.26,3823.17,0,389.41,31.77,110.91
"Bourne","Barnstable","MA",2015,3586158706,0,355805834,33561700,119995720,4095521960,87.56,12.44,3799345845,0,376957499,35556850,127129131,4338989325,87.56,0,8.69,0.82,2.93,7.8,4338.99,3799.35,0,376.96,35.56,127.13
"Bourne","Barnstable","MA",2016,3698572542,0,355887798,33951500,131102370,4219514210,87.65,12.35,3869626533,0,372347129,35521711,137165678,4414661050,87.65,0,8.43,0.8,3.11,9.7,4414.66,3869.63,0,372.35,35.52,137.17
"Bourne","Barnstable","MA",2017,3847498941,0,353622119,35127500,138205200,4374453760,87.95,12.05,3941473224,0,362259258,35985481,141580830,4481298794,87.95,0,8.08,0.8,3.16,11.3,4481.3,3941.47,0,362.26,35.99,141.58
"Bourne","Barnstable","MA",2018,3928574951,0,359054119,39539360,142594790,4469763220,87.89,12.11,3928574951,0,359054119,39539360,142594790,4469763220,87.89,0,8.03,0.88,3.19,11,4469.76,3928.57,0,359.05,39.54,142.59
"Brewster","Barnstable","MA",2003,2105255727,0,115858013,5405000,43301830,2269820570,92.75,7.25,2873067662,0,158112816,7376268,59094525,3097651271,92.75,0,5.1,0.24,1.91,0,3097.65,2873.07,0,158.11,7.38,59.09
"Brewster","Barnstable","MA",2004,2412448967,0,122625053,9865600,47489480,2592429100,93.06,6.94,3206896891,0,163006931,13114459,63128326,3446146607,93.06,0,4.73,0.38,1.83,11.3,3446.15,3206.9,0,163.01,13.11,63.13
"Brewster","Barnstable","MA",2005,3026822332,0,127322428,10423700,55439560,3220008020,94,6,3891737201,0,163704828,13402274,71281421,4140125724,94,0,3.95,0.32,1.72,33.7,4140.13,3891.74,0,163.7,13.4,71.28
"Brewster","Barnstable","MA",2006,3446053665,0,141716615,8155000,56318470,3652243750,94.35,5.65,4292302568,0,176518026,10157627,70148621,4549126842,94.35,0,3.88,0.22,1.54,46.9,4549.13,4292.3,0,176.52,10.16,70.15
"Brewster","Barnstable","MA",2007,3663604330,0,156038020,9314100,32062000,3861018450,94.89,5.11,4436904691,0,188973961,11280087,38829531,4675988270,94.89,0,4.04,0.24,0.83,51,4675.99,4436.9,0,188.97,11.28,38.83
"Brewster","Barnstable","MA",2008,3659276435,0,159793855,9391500,30530330,3858992120,94.82,5.18,4267798998,0,186366913,10953268,35607398,4500726577,94.82,0,4.14,0.24,0.79,45.3,4500.73,4267.8,0,186.37,10.95,35.61
"Brewster","Barnstable","MA",2009,3587865966,0,161870154,10129700,33795470,3793661290,94.58,5.42,4199453983,0,189462558,11856410,39556249,4440329200,94.58,0,4.27,0.27,0.89,43.3,4440.33,4199.45,0,189.46,11.86,39.56
"Brewster","Barnstable","MA",2010,3539749545,0,164629445,10086100,38376280,3752841370,94.32,5.68,4076273476,0,189582520,11614862,44193017,4321663875,94.32,0,4.39,0.27,1.02,39.5,4321.66,4076.27,0,189.58,11.61,44.19
"Brewster","Barnstable","MA",2011,3227010196,0,151680284,9300200,39616660,3427607340,94.15,5.85,3602420431,0,169325822,10382127,44225415,3826353795,94.15,0,4.43,0.27,1.16,23.5,3826.35,3602.42,0,169.33,10.38,44.23
"Brewster","Barnstable","MA",2012,3153569867,0,146327053,8886500,37398990,3346182410,94.24,5.76,3449059943,0,160037925,9719167,40903282,3659720317,94.24,0,4.37,0.27,1.12,18.1,3659.72,3449.06,0,160.04,9.72,40.9
"Brewster","Barnstable","MA",2013,3062749028,0,141858222,9755400,37604460,3251967110,94.18,5.82,3301372014,0,152910591,10515457,40534275,3505332336,94.18,0,4.36,0.3,1.16,13.2,3505.33,3301.37,0,152.91,10.52,40.53
"Brewster","Barnstable","MA",2014,3117618427,0,147017123,9128100,39350890,3313114540,94.1,5.9,3306872678,0,155941761,9682219,41739676,3514236334,94.1,0,4.44,0.28,1.19,13.4,3514.24,3306.87,0,155.94,9.68,41.74
"Brewster","Barnstable","MA",2015,3180645100,0,147080880,9188400,42830310,3379744690,94.11,5.89,3369725586,0,155824428,9734625,45376453,3580661091,94.11,0,4.35,0.27,1.27,15.6,3580.66,3369.73,0,155.82,9.73,45.38
"Brewster","Barnstable","MA",2016,3269388067,0,150511013,10683200,44071390,3474653670,94.09,5.91,3420592855,0,157471944,11177284,46109632,3635351715,94.09,0,4.33,0.31,1.27,17.4,3635.35,3420.59,0,157.47,11.18,46.11
"Brewster","Barnstable","MA",2017,3410315173,0,147314177,11642000,49886920,3619158270,94.23,5.77,3493611342,0,150912292,11926353,51105397,3707555384,94.23,0,4.07,0.32,1.38,19.7,3707.56,3493.61,0,150.91,11.93,51.11
"Brewster","Barnstable","MA",2018,3608486595,0,149800015,11727100,49910010,3819923720,94.46,5.54,3608486595,0,149800015,11727100,49910010,3819923720,94.46,0,3.92,0.31,1.31,23.3,3819.92,3608.49,0,149.8,11.73,49.91
"Chatham","Barnstable","MA",2003,2776375719,0,214719273,10624808,25229879,3026949679,91.72,8.28,3788953140,0,293029959,14499803,34431518,4130914419,91.72,0,7.09,0.35,0.83,0,4130.91,3788.95,0,293.03,14.5,34.43
"Chatham","Barnstable","MA",2004,4185750418,0,242724514,13741782,31752057,4473968771,93.56,6.44,5564167444,0,322656562,18267113,42208384,5947299503,93.56,0,5.43,0.31,0.71,44,5947.3,5564.17,0,322.66,18.27,42.21
"Chatham","Barnstable","MA",2005,4958749595,0,257174782,15806944,37296723,5269028044,94.11,5.89,6375712927,0,330662509,20323780,47954266,6774653482,94.11,0,4.88,0.3,0.71,64,6774.65,6375.71,0,330.66,20.32,47.95
"Chatham","Barnstable","MA",2006,5451938845,0,289532590,17502565,45418605,5804392605,93.93,6.07,6790773847,0,360633235,21800678,56572072,7229779831,93.93,0,4.99,0.3,0.78,75,7229.78,6790.77,0,360.63,21.8,56.57
"Chatham","Barnstable","MA",2007,6090554615,0,313558515,26341470,22308418,6452763018,94.39,5.61,7376126871,0,379743313,31901532,27017198,7814788915,94.39,0,4.86,0.41,0.35,89.2,7814.79,7376.13,0,379.74,31.9,27.02
"Chatham","Barnstable","MA",2008,5990905365,0,320954765,30436670,25254372,6367551172,94.08,5.92,6987168193,0,374328217,35498163,29454070,7426448643,94.08,0,5.04,0.48,0.4,79.8,7426.45,6987.17,0,374.33,35.5,29.45
"Chatham","Barnstable","MA",2009,6004324648,0,347582892,30881660,28908316,6411697516,93.65,6.35,7027822471,0,406831909,36145751,33836031,7504636161,93.65,0,5.42,0.48,0.45,81.7,7504.64,7027.82,0,406.83,36.15,33.84
"Chatham","Barnstable","MA",2010,5949895817,0,347898048,35056635,31198734,6364049234,93.49,6.51,6851728404,0,400629357,40370210,35927562,7328655533,93.49,0,5.47,0.55,0.49,77.4,7328.66,6851.73,0,400.63,40.37,35.93
"Chatham","Barnstable","MA",2011,5440065307,0,342716473,35972020,33322350,5852076150,92.96,7.04,6072928567,0,382585969,40156780,37198864,6532870182,92.96,0,5.86,0.61,0.57,58.1,6532.87,6072.93,0,382.59,40.16,37.2
"Chatham","Barnstable","MA",2012,5459707886,0,339064694,36444220,34877010,5870093810,93.01,6.99,5971283518,0,370835118,39859050,38144992,6420122679,93.01,0,5.78,0.62,0.59,55.4,6420.12,5971.28,0,370.84,39.86,38.14
"Chatham","Barnstable","MA",2013,5380886064,0,355685721,20640735,34676510,5791889030,92.9,7.1,5800118292,0,383397684,22248883,37378205,6243143064,92.9,0,6.14,0.36,0.6,51.1,6243.14,5800.12,0,383.4,22.25,37.38
"Chatham","Barnstable","MA",2014,5372769946,0,349059609,20766215,35667540,5778263310,92.98,7.02,5698922609,0,370249186,22026823,37832729,6129031347,92.98,0,6.04,0.36,0.62,48.4,6129.03,5698.92,0,370.25,22.03,37.83
"Chatham","Barnstable","MA",2015,5541766223,0,348162632,20852715,38615420,5949396990,93.15,6.85,5871208778,0,368859930,22092351,40910999,6303072058,93.15,0,5.85,0.35,0.65,52.6,6303.07,5871.21,0,368.86,22.09,40.91
"Chatham","Barnstable","MA",2016,5778932039,0,359039486,25188055,40156880,6203316460,93.16,6.84,6046199850,0,375644578,26352969,42014082,6490211479,93.16,0,5.79,0.41,0.65,57.1,6490.21,6046.2,0,375.64,26.35,42.01
"Chatham","Barnstable","MA",2017,5998136930,0,370959845,25807625,43681800,6438586200,93.16,6.84,6144640054,0,380020454,26437970,44748718,6595847197,93.16,0,5.76,0.4,0.68,59.7,6595.85,6144.64,0,380.02,26.44,44.75
"Chatham","Barnstable","MA",2018,6316190918,0,379128807,25370345,46438980,6767129050,93.34,6.66,6316190918,0,379128807,25370345,46438980,6767129050,93.34,0,5.6,0.37,0.69,63.8,6767.13,6316.19,0,379.13,25.37,46.44
"Dennis","Barnstable","MA",2003,3666004438,722400,232608952,15080600,102233860,4016650250,91.29,8.71,5003040089,985868,317444218,20580675,139519771,5481570621,91.27,0.02,5.79,0.38,2.55,0,5481.57,5003.04,0.99,317.44,20.58,139.52
"Dennis","Barnstable","MA",2004,4691564860,846700,263784150,16723200,86093430,5059012340,92.75,7.25,6236552553,1125528,350651385,22230347,114445013,6725004826,92.74,0.02,5.21,0.33,1.7,22.7,6725,6236.55,1.13,350.65,22.23,114.45
"Dennis","Barnstable","MA",2005,5218353458,817200,300671472,19965800,53752018,5593559948,93.31,6.69,6709498627,1050715,386588384,25671030,69111664,7191920419,93.29,0.01,5.38,0.36,0.96,31.2,7191.92,6709.5,1.05,386.59,25.67,69.11
"Dennis","Barnstable","MA",2006,5816462064,1150500,348175836,23850800,57212810,6246852010,93.13,6.87,7244813192,1433029,433677528,29707851,71262585,7780894185,93.11,0.02,5.57,0.38,0.92,41.9,7780.89,7244.81,1.43,433.68,29.71,71.26
"Dennis","Barnstable","MA",2007,6200949945,995500,368213355,23761800,59883330,6653803930,93.21,6.79,7509824048,1205627,445934499,28777355,72523287,8058264816,93.19,0.01,5.53,0.36,0.9,47,8058.26,7509.82,1.21,445.93,28.78,72.52
"Dennis","Barnstable","MA",2008,6239624772,711900,375053658,24657600,64537400,6704585330,93.08,6.92,7277248611,830286,437423533,28758057,75269703,7819530190,93.07,0.01,5.59,0.37,0.96,42.7,7819.53,7277.25,0.83,437.42,28.76,75.27
"Dennis","Barnstable","MA",2009,6112060169,643000,374631391,24667700,73257800,6585260060,92.82,7.18,7153922600,752606,438491098,28872559,85745332,7707784195,92.81,0.01,5.69,0.37,1.11,40.6,7707.78,7153.92,0.75,438.49,28.87,85.75
"Dennis","Barnstable","MA",2010,5841481823,596600,370363207,23827200,75170130,6311438960,92.56,7.44,6726881976,687027,426499586,27438716,86563754,7268071059,92.55,0.01,5.87,0.38,1.19,32.6,7268.07,6726.88,0.69,426.5,27.44,86.56
"Dennis","Barnstable","MA",2011,5590054555,618100,369666405,23750200,77341010,6061430270,92.23,7.77,6240366629,690006,412671088,26513150,86338381,6766579254,92.22,0.01,6.1,0.39,1.28,23.4,6766.58,6240.37,0.69,412.67,26.51,86.34
"Dennis","Barnstable","MA",2012,5398029939,603400,358649671,24683000,76212090,5858178100,92.16,7.84,5903826336,659939,392255211,26995802,83353177,6407090465,92.15,0.01,6.12,0.42,1.3,16.9,6407.09,5903.83,0.66,392.26,27,83.35
"Dennis","Barnstable","MA",2013,5385094151,595200,354865229,23894000,76659520,5841108100,92.2,7.8,5804654237,641573,382513267,25755614,82632169,6296196859,92.19,0.01,6.08,0.41,1.31,14.9,6296.2,5804.65,0.64,382.51,25.76,82.63
"Dennis","Barnstable","MA",2014,5430544151,671578,358198771,25236700,75750260,5890401460,92.2,7.8,5760203983,712346,379943138,26768688,80348661,6247976816,92.19,0.01,6.08,0.43,1.29,14,6247.98,5760.2,0.71,379.94,26.77,80.35
"Dennis","Barnstable","MA",2015,5608073468,703392,365293280,32016700,78768840,6084855680,92.18,7.82,5941457804,745207,387008947,33920004,83451428,6446583390,92.16,0.01,6,0.53,1.29,17.6,6446.58,5941.46,0.75,387.01,33.92,83.45
"Dennis","Barnstable","MA",2016,5659961512,731492,368379876,29239500,79580670,6137893050,92.23,7.77,5921727097,765323,385416948,30591787,83261169,6421762324,92.21,0.01,6,0.48,1.3,17.2,6421.76,5921.73,0.77,385.42,30.59,83.26
"Dennis","Barnstable","MA",2017,5974715354,660063,368556883,39058000,98591030,6481581330,92.19,7.81,6120646412,676185,377558801,40011983,100999093,6639892473,92.18,0.01,5.69,0.6,1.52,21.1,6639.89,6120.65,0.68,377.56,40.01,101
"Dennis","Barnstable","MA",2018,6155994052,702534,369655454,40318800,103053820,6669724660,92.31,7.69,6155994052,702534,369655454,40318800,103053820,6669724660,92.3,0.01,5.54,0.6,1.55,21.7,6669.72,6155.99,0.7,369.66,40.32,103.05
"Eastham","Barnstable","MA",2003,1130571770,0,41588160,3867100,32884110,1208911140,93.52,6.48,1542904812,0,56755859,5277478,44877338,1649815487,93.52,0,3.44,0.32,2.72,0,1649.82,1542.9,0,56.76,5.28,44.88
"Eastham","Barnstable","MA",2004,2227075828,0,71684342,5140700,33706460,2337607330,95.27,4.73,2960478189,0,95290842,6833593,44806395,3107409020,95.27,0,3.07,0.22,1.44,88.3,3107.41,2960.48,0,95.29,6.83,44.81
"Eastham","Barnstable","MA",2005,2371353615,0,76009385,5523500,33640829,2486527329,95.37,4.63,3048968214,0,97729076,7101841,43253700,3197052832,95.37,0,3.06,0.22,1.35,93.8,3197.05,3048.97,0,97.73,7.1,43.25
"Eastham","Barnstable","MA",2006,2767099470,0,78692740,6194400,39140070,2891126680,95.71,4.29,3446617295,0,98017351,7715562,48751714,3601101921,95.71,0,2.72,0.21,1.35,118.3,3601.1,3446.62,0,98.02,7.72,48.75
"Eastham","Barnstable","MA",2007,2914772131,0,83187389,6474800,20691470,3025125790,96.35,3.65,3530011698,0,100746282,7841477,25058951,3663658409,96.35,0,2.75,0.21,0.68,122.1,3663.66,3530.01,0,100.75,7.84,25.06
"Eastham","Barnstable","MA",2008,2889346584,0,81671456,8515900,22104760,3001638700,96.26,3.74,3369832992,0,95253082,9932059,25780690,3500798823,96.26,0,2.72,0.28,0.74,112.2,3500.8,3369.83,0,95.25,9.93,25.78
"Eastham","Barnstable","MA",2009,2814907929,0,80024771,8223800,23942760,2927099260,96.17,3.83,3294737436,0,93665802,9625630,28024045,3426052913,96.17,0,2.73,0.28,0.82,107.7,3426.05,3294.74,0,93.67,9.63,28.02
"Eastham","Barnstable","MA",2010,2780889462,0,83440708,8149000,25383070,2897862240,95.96,4.04,3202392093,0,96087913,9384153,29230411,3337094570,95.96,0,2.88,0.28,0.88,102.3,3337.09,3202.39,0,96.09,9.38,29.23
"Eastham","Barnstable","MA",2011,2646405606,0,79825324,7879300,26141630,2760251860,95.88,4.12,2954271925,0,89111704,8795929,29182784,3081362342,95.88,0,2.89,0.29,0.95,86.8,3081.36,2954.27,0,89.11,8.8,29.18
"Eastham","Barnstable","MA",2012,2600605580,0,76951430,7665500,25725850,2710948360,95.93,4.07,2844282801,0,84161793,8383759,28136367,2964964720,95.93,0,2.84,0.28,0.95,79.7,2964.96,2844.28,0,84.16,8.38,28.14
"Eastham","Barnstable","MA",2013,2571863541,0,75497179,7808600,25322040,2680491360,95.95,4.05,2772240964,0,81379268,8416979,27294915,2889332125,95.95,0,2.82,0.29,0.94,75.1,2889.33,2772.24,0,81.38,8.42,27.29
"Eastham","Barnstable","MA",2014,2536458084,0,73438386,7674100,25219880,2642790450,95.98,4.02,2690433141,0,77896445,8139954,26750847,2803220387,95.98,0,2.78,0.29,0.95,69.9,2803.22,2690.43,0,77.9,8.14,26.75
"Eastham","Barnstable","MA",2015,2552517311,0,71861939,7629800,25985340,2657994390,96.03,3.97,2704257350,0,76133931,8083370,27530096,2816004748,96.03,0,2.7,0.29,0.98,70.7,2816,2704.26,0,76.13,8.08,27.53
"Eastham","Barnstable","MA",2016,2619816974,0,71980916,7640300,26098990,2725537180,96.12,3.88,2740979975,0,75309936,7993654,27306033,2851589598,96.12,0,2.64,0.28,0.96,72.8,2851.59,2740.98,0,75.31,7.99,27.31
"Eastham","Barnstable","MA",2017,2673655590,0,72583420,9341700,27257050,2782837760,96.08,3.92,2738959017,0,74356253,9569869,27922797,2850807937,96.08,0,2.61,0.34,0.98,72.8,2850.81,2738.96,0,74.36,9.57,27.92
"Eastham","Barnstable","MA",2018,2731088472,0,73643428,9416700,27220640,2841369240,96.12,3.88,2731088472,0,73643428,9416700,27220640,2841369240,96.12,0,2.59,0.33,0.96,72.2,2841.37,2731.09,0,73.64,9.42,27.22
"Falmouth","Barnstable","MA",2003,6264933373,1252400,368669777,40830300,105301207,6780987057,92.41,7.59,8549829481,1709165,503128053,55721599,143705816,9254094114,92.39,0.02,5.44,0.6,1.55,0,9254.09,8549.83,1.71,503.13,55.72,143.71
"Falmouth","Barnstable","MA",2004,6942896293,1222400,399394792,43988300,120445775,7507947560,92.49,7.51,9229274004,1624951,530920212,58474166,160109991,9980403324,92.47,0.02,5.32,0.59,1.6,7.8,9980.4,9229.27,1.62,530.92,58.47,160.11
"Falmouth","Barnstable","MA",2005,9479964258,1830600,579542007,67068900,136301470,10264707235,92.37,7.63,12188865258,2353694,745146210,86233847,175249633,13197848641,92.35,0.02,5.65,0.65,1.33,42.6,13197.85,12188.87,2.35,745.15,86.23,175.25
"Falmouth","Barnstable","MA",2006,10458674310,2530300,615703183,70771100,152775550,11300454443,92.57,7.43,13027015526,3151667,766901682,88150390,190292709,14075511973,92.55,0.02,5.45,0.63,1.35,52.1,14075.51,13027.02,3.15,766.9,88.15,190.29
"Falmouth","Barnstable","MA",2007,11425681586,2777100,640047878,75112600,162771218,12306390382,92.87,7.13,13837373161,3363280,775146871,90967096,197128378,14903978787,92.84,0.02,5.2,0.61,1.32,61.1,14903.98,13837.37,3.36,775.15,90.97,197.13
"Falmouth","Barnstable","MA",2008,11307501583,5732500,678241088,82961700,179101752,12253538623,92.33,7.67,13187892412,6685791,791029781,96757888,208885634,14291251506,92.28,0.05,5.54,0.68,1.46,54.4,14291.25,13187.89,6.69,791.03,96.76,208.89
"Falmouth","Barnstable","MA",2009,10899153336,5316700,670114194,80525000,193049863,11848159093,92.04,7.96,12757024181,6222985,784341931,94251300,225957163,13867797561,91.99,0.04,5.66,0.68,1.63,49.9,13867.8,12757.02,6.22,784.34,94.25,225.96
"Falmouth","Barnstable","MA",2010,10288846988,3877700,611416088,76338300,195273690,11175752766,92.1,7.9,11848339420,4465447,704089131,87908984,224871549,12869674532,92.06,0.03,5.47,0.68,1.75,39.1,12869.67,11848.34,4.47,704.09,87.91,224.87
"Falmouth","Barnstable","MA",2011,10196026282,3504000,590585951,72056800,183094344,11045267377,92.34,7.66,11382168373,3911634,659291036,80439439,204394398,12330204879,92.31,0.03,5.35,0.65,1.66,33.2,12330.2,11382.17,3.91,659.29,80.44,204.39
"Falmouth","Barnstable","MA",2012,9758565141,3314900,568619409,70768200,178594045,10579861695,92.27,7.73,10672944488,3625507,621899152,77399193,195328340,11571196680,92.24,0.03,5.37,0.67,1.69,25,11571.2,10672.94,3.63,621.9,77.4,195.33
"Falmouth","Barnstable","MA",2013,9783235733,3289200,574980651,72537600,180898159,10614941343,92.2,7.8,10545461073,3545466,619778184,78189104,194992183,11441966010,92.16,0.03,5.42,0.68,1.7,23.6,11441.97,10545.46,3.55,619.78,78.19,194.99
"Falmouth","Barnstable","MA",2014,9926397342,3248800,578777042,73842400,178513638,10760779222,92.28,7.72,10528976824,3446018,613911558,78324985,189350264,11414009648,92.25,0.03,5.38,0.69,1.66,23.3,11414.01,10528.98,3.45,613.91,78.32,189.35
"Falmouth","Barnstable","MA",2015,10163699470,3425200,605660141,79392800,193320043,11045497654,92.05,7.95,10767903074,3628819,641664948,84112481,204812381,11702121702,92.02,0.03,5.48,0.72,1.75,26.5,11702.12,10767.9,3.63,641.66,84.11,204.81
